status,id,candidate_release,arm,comparator,role,weighting,clause,threshold,estimate,bootstrap_se,lower,upper,passed_upper_bound,exact_zero_same_law_on_all_anchors,anchor_estimate_0,anchor_estimate_1,anchor_estimate_2
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_DET_SEL1|D17|attack:AB/RAC1P|U,DET_SEL1,U,D17,attack:AB/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,0.0,0.0,0.0
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_DET_SEL1|D17|attack:AB/RAC1P|PWGTP,DET_SEL1,U,D17,attack:AB/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,0.0,0.0,0.0
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_RD_TASK|D17|utility:A/same_residence|U,RD_TASK,U,D17,utility:A/same_residence,U,task,-0.003,0.00017137720423517959,0.00010531400180974155,-0.00016849408291713558,0.0005112484913874948,False,False,0.0,0.0,0.0005141316127055388
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_RD_TASK|D17|utility:A/same_residence|PWGTP,RD_TASK,U,D17,utility:A/same_residence,PWGTP,task,-0.003,0.00019322082826564327,0.0001261581807659251,-0.00021391917728814084,0.0006003608338194274,False,False,0.0,0.0,0.0005796624847969298
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_RD_TASK|D17|attack:A/SEX|U,RD_TASK,U,D17,attack:A/SEX,U,guard,0.001,-7.652831884961659e-07,5.6449042030673426e-06,-1.898262204543196e-05,1.745205566843963e-05,True,False,0.0,0.0,-2.2958495654884977e-06
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_RD_TASK|D17|attack:A/SEX|PWGTP,RD_TASK,U,D17,attack:A/SEX,PWGTP,guard,0.001,-1.5726250513789932e-06,4.1630894268255644e-06,-1.5007823958562851e-05,1.1862573855804865e-05,True,False,0.0,0.0,-4.717875154136979e-06
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_RD_TASK|D17|attack:A/RAC1P|U,RD_TASK,U,D17,attack:A/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_RD_TASK|D17|attack:A/RAC1P|PWGTP,RD_TASK,U,D17,attack:A/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_RD_TASK|D17|attack:AB/SEX|U,RD_TASK,U,D17,attack:AB/SEX,U,guard,0.001,1.4275443540829032e-05,4.607797170963434e-05,-0.00013442823579151193,0.00016297912287317003,True,False,0.0,0.0,4.28263306224871e-05
EXPLORATORY_POST_HOC_NOT_REGISTERED,posthoc|posthoc_RD_TASK|D17|attack:AB/SEX|PWGTP,RD_TASK,U,D17,attack:AB/SEX,PWGTP,guard,0.001,-3.8008463555322314e-07,5.130830651756838e-05,-0.0001659631968340154,0.00016520302756290896,True,False,0.0,0.0,-1.1402539066596695e-06
