method,purpose,attribute,activity_acc,is_active_acc,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pairs_passing,train_time_s
Standard (no privacy),activity_recognition,subject_id,1.0,1.0,0.1467,0.114,0.0327,0.0546,False,,33.6
Standard (no privacy),health_monitoring,subject_id,1.0,1.0,0.1467,0.114,0.0327,0.0546,False,,33.6
Standard (no privacy),health_monitoring,activity,1.0,1.0,1.0,0.1813,0.8187,0.9982,False,0/3,33.6
Adversarial-only (LAFTR),activity_recognition,subject_id,0.198,0.5133,0.102,0.114,-0.012,0.0476,True,,238.2
Adversarial-only (LAFTR),health_monitoring,subject_id,0.198,0.5133,0.1067,0.114,-0.0073,0.0476,True,,238.2
Adversarial-only (LAFTR),health_monitoring,activity,0.198,0.5133,0.6973,0.1813,0.516,0.2617,False,2/3,238.2
PCRL (ours),activity_recognition,subject_id,1.0,0.4867,0.1313,0.114,0.0173,0.049,True,,506.8
PCRL (ours),health_monitoring,subject_id,1.0,0.4867,0.1227,0.114,0.0087,0.0498,True,,506.8
PCRL (ours),health_monitoring,activity,1.0,0.4867,0.9673,0.1813,0.786,0.7673,False,2/3,506.8
