commute_loss,condition,increment/A/RAC1P,increment/A/SEX,increment/A/commute_over20,increment/A/public_coverage,increment/AB/RAC1P,increment/AB/SEX,increment/B/RAC1P,increment/B/SEX,increment/B/civilian_at_work,increment/B/income_binary,increment/B/same_residence,recovery/A/RAC1P,recovery/A/SEX,recovery/A/commute_over20,recovery/A/public_coverage,recovery/AB/RAC1P,recovery/AB/SEX,recovery/B/RAC1P,recovery/B/SEX,recovery/B/civilian_at_work,recovery/B/income_binary,recovery/B/same_residence,residence_gain_vs_H,residence_loss,residence_reference_01_pass,seed,source_allowance_pass,source_minus_Epca/civilian_at_work,source_minus_Epca/income_binary,source_minus_Epca/public_coverage,weight
0.6903134455382539,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019686413052045104,0.0038572222479579255,0.006650174659113883,0.045341249829387587,0.03999977218151152,0.006522608943295705,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.0,0.5262273841030627,False,0,True,-0.0008120519630945844,0.004824287992111986,0.005658262292363436,unweighted
0.6903134455382539,A0,0.05479541425763168,0.034031427528984914,-0.003837965884846861,0.016700524306087816,0.03587764170894636,0.031366040833647135,0.0,0.0,0.0,0.0,0.0,0.07448182730967678,0.03788864977694284,0.002812208774267022,0.0620417741354754,0.07587741389045788,0.03788864977694284,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.02765675057256395,0.49857063353049874,True,0,True,-0.012366414119340141,0.0005486912432035029,0.005658262292363436,unweighted
0.6903134455382539,J,0.0,-0.0010695103226091573,-0.00010746576897779914,0.006110985667929669,0.0,0.0024776667047555767,0.0,0.0,0.0,0.0,0.0,0.019686413052045104,0.002787711925348768,0.006542708890136084,0.051452235497317256,0.03999977218151152,0.009000275648051281,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.017592713354155465,0.5086346707489072,True,0,True,-0.01512019427649608,-0.000532434190835096,0.005658262292363436,unweighted
0.6903134455382539,leace_A0,0.0,0.005832705617236811,-0.002302340586444851,0.009620311970383932,0.0,0.0031673189218990316,0.0,0.0,0.0,0.0,0.0,0.019686413052045104,0.009689927865194736,0.004347834072669032,0.05496156179977152,0.03999977218151152,0.009689927865194736,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.02062870229446423,0.5055986818085985,True,0,True,0.00265428496128689,0.0024055659608328006,0.005658262292363436,unweighted
0.6903134455382539,splince_A0,0.0,-0.005010202169813183,-0.0017859320567324977,0.009436709012387356,0.0,1.958361226850336e-05,0.0,0.0,0.0,0.0,0.0,0.019686413052045104,-0.0011529799218552572,0.004864242602381386,0.05477795884177494,0.03999977218151152,0.006542192555564208,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.01852564957620073,0.507701734526862,True,0,True,0.004279559175540348,0.004073852468235106,0.005658262292363436,unweighted
0.6903134455382539,optnet16_C1,0.0005674586730877174,0.0017367466324259562,0.0009320406989554719,0.0,0.0,-0.002593954380037622,0.0,0.0,0.0,0.0,0.0,0.02025387172513282,0.005593968880383882,0.007582215358069355,0.045341249829387587,0.03999977218151152,0.003928654563258083,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.014762858886796293,0.5114645252162664,True,0,True,0.008391939760079015,0.006080625700481956,0.005658262292363436,unweighted
0.6903134455382539,ref_A0,0.05479541425763168,0.034031427528984914,-0.003837965884846861,0.016700524306087816,0.03587764170894636,0.031366040833647135,0.0,0.0,0.0,0.0,0.0,0.07448182730967678,0.03788864977694284,0.002812208774267022,0.0620417741354754,0.07587741389045788,0.03788864977694284,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.02765675057256395,0.49857063353049874,True,0,True,-0.012366414119340141,0.0005486912432035029,0.005658262292363436,unweighted
0.6903134455382539,ref_J,0.0,-0.0010695103226091573,-0.00010746576897779914,0.006110985667929669,0.0,0.0024776667047555767,0.0,0.0,0.0,0.0,0.0,0.019686413052045104,0.002787711925348768,0.006542708890136084,0.051452235497317256,0.03999977218151152,0.009000275648051281,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.017592713354155465,0.5086346707489072,True,0,True,-0.01512019427649608,-0.000532434190835096,0.005658262292363436,unweighted
0.6903134455382539,N_A0_g000_L1_b100,0.01940261519037656,0.022053253985787613,-0.005013709132365984,0.012409641587566966,0.006901540415581442,0.022848441907955097,0.0,0.0,0.0,0.0,0.0,0.039089028242421664,0.02591047623374554,0.001636465526747899,0.05775089141695455,0.04690131259709296,0.0293710508512508,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.02238871701227796,0.5038386670907847,True,0,True,-0.011476786899403457,0.0035908194452130004,0.005658262292363436,unweighted
0.6903134455382539,N_A0_g000_L1_b300,0.0,0.00576292300261716,-0.002697748412536116,0.006620297231405781,0.0,0.007843187049062506,0.0,0.0,0.0,0.0,0.0,0.019686413052045104,0.009620145250575085,0.003952426246577767,0.05196154706079337,0.03999977218151152,0.01436579599235821,0.02782658132752136,7.361495685442865e-05,0.1261309185801246,0.1149020322216483,-0.001705897420858249,0.018316008267788786,0.5079113758352739,True,0,True,-0.006325165571017366,0.009716719100536786,0.005658262292363436,unweighted
