condition,group,increment/A/RAC1P,increment/A/SEX,increment/AB/RAC1P,increment/AB/SEX,residence_gain_vs_H,source_allowance_all_anchors,weight
N_A0_g010_L1_b300,"Track N, A0 init",0.0049283996535913754,0.005411381467003003,0.009482014224162874,0.007069179292877019,0.01791782637501138,True,person_weighted
N_A0_g010_L2_b100,"Track N, A0 init",0.018653089226013792,0.011597561314667826,0.01973284485730627,0.017868937106693128,0.022334193850338746,True,person_weighted
N_A0_g010_L2_b300,"Track N, A0 init",0.00569420544143906,0.003959362257512293,0.006065220483227662,0.005134726689355736,0.01897516588512547,True,person_weighted
N_A0_g010_C1_b100,"Track N, A0 init",0.008469298991973906,0.009738329444101357,0.009749626143573739,0.010691594471172072,0.020737551303790385,True,person_weighted
N_A0_g010_C1_b300,"Track N, A0 init",0.00238503604129936,0.007247500390322366,0.007074508903623193,0.008972656169866053,0.021447747245901483,True,person_weighted
N_A0_g010_none,"Track N, A0 init",0.049811231182315785,0.029219812950844377,0.04275040097246944,0.026616948469599205,0.02830693332934479,True,person_weighted
N_A0_g100_L1_b100,"Track N, A0 init",0.0345141283687076,0.021371765644655854,0.034786210844085876,0.020101784384850663,0.026170856145450876,True,person_weighted
N_A0_g100_L1_b300,"Track N, A0 init",0.021896446458872527,0.008609871761495561,0.022431321849218405,0.014177431510738395,0.022837271731018554,True,person_weighted
N_A0_g100_L2_b100,"Track N, A0 init",0.023255936508965663,0.012370790408243884,0.024026471905501667,0.018363697237554044,0.023136060970338657,True,person_weighted
N_A0_g100_L2_b300,"Track N, A0 init",0.012823053090228539,0.008589648781738365,0.014537641399334778,0.013460665042524375,0.013933477017937826,True,person_weighted
N_A0_g100_C1_b100,"Track N, A0 init",0.02022966288555968,0.008040813560627988,0.016783792379784446,0.014001330269258316,0.01887241151435966,True,person_weighted
N_A0_g100_C1_b300,"Track N, A0 init",0.020330384305361198,0.013422070932659643,0.018299762036431428,0.015183666101426926,0.020661772200342914,True,person_weighted
N_A0_g100_none,"Track N, A0 init",0.049811231182315785,0.029219812950844377,0.04275040097246944,0.026616948469599205,0.02830693332934479,True,person_weighted
N_J_g000_L1_b100,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g000_L1_b300,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g000_L2_b100,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g000_L2_b300,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g000_C1_b100,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g000_C1_b300,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g000_none,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g001_L1_b100,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g001_L1_b300,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g001_L2_b100,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g001_L2_b300,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g001_C1_b100,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g001_C1_b300,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g001_none,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g010_L1_b100,"Track N, J init",-0.0004565112127176511,0.006793791130025577,0.000470667424211868,0.00617665378051202,0.017302612006827384,True,person_weighted
N_J_g010_L1_b300,"Track N, J init",0.001409551877614194,0.010175783354435475,0.007124260872152381,0.009739221080601693,0.013359193411645265,True,person_weighted
N_J_g010_L2_b100,"Track N, J init",0.0003575673799297944,0.007675515519785107,0.0018507722295300066,0.008753031658889484,0.013515899224362823,True,person_weighted
N_J_g010_L2_b300,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g010_C1_b100,"Track N, J init",0.0033620087235749865,0.008680510763621382,0.008203464999132567,0.00824718824777837,0.01402066919607122,True,person_weighted
N_J_g010_C1_b300,"Track N, J init",-0.00025366400511820747,0.0005089305362701765,0.0,0.006315829175776888,0.019516442668622087,True,person_weighted
N_J_g010_none,"Track N, J init",0.00249392835617653,0.006176665512632962,0.007601332831947083,0.008168912245862692,0.019093669803790903,True,person_weighted
N_J_g100_L1_b100,"Track N, J init",0.007420748828771935,0.011859599396014072,0.01314626888327545,0.01500066819757954,0.01945358794032631,True,person_weighted
