historical_release,role,target,report_audit_budget,actual_audit_budget,original_scope,split,causal_replacement,respects_new_individual_policy,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary
E_pca,transfer,same_residence,,,primary,validation,False,not established,3,3,True,0.50000368584492,0.007773119087393621,0.50000368584492,0.007773119087393621,3,True,False
E_pca,transfer,same_residence,,,primary,development_evaluation,False,not established,3,3,True,0.48741126333890444,0.0055948746360797484,0.48741126333890444,0.0055948746360797484,3,True,False
E_pca,transfer,same_residence,,,primary,validation_person_weighted,False,not established,3,3,True,0.4757201936999232,0.012149450751109705,0.4757201936999232,0.012149450751109705,3,True,False
E_pca,transfer,same_residence,,,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.4645135609136985,0.011719954029920968,0.4645135609136985,0.011719954029920968,3,True,False
E_pca,transfer,commute_over20,,,primary,validation,False,not established,3,3,True,0.6782471806019297,0.0012136035566207104,0.6782471806019297,0.0012136035566207104,3,True,False
E_pca,transfer,commute_over20,,,primary,development_evaluation,False,not established,3,3,True,0.6875700235899669,0.008575073407366554,0.6875700235899669,0.008575073407366554,3,True,False
E_pca,transfer,commute_over20,,,primary,validation_person_weighted,False,not established,3,3,True,0.6771989625650585,0.0024337506443303,0.6771989625650585,0.0024337506443303,3,True,False
E_pca,transfer,commute_over20,,,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.6906153768628257,0.007991439719974002,0.6906153768628257,0.007991439719974002,3,True,False
E_pca,transfer,income_binary,,,primary,validation,False,not established,3,3,True,0.3069787498327274,0.001134654982256861,0.3069787498327274,0.001134654982256861,3,True,False
E_pca,transfer,income_binary,,,primary,development_evaluation,False,not established,3,3,True,0.2985783851339483,0.008780763421131326,0.2985783851339483,0.008780763421131326,3,True,False
E_pca,transfer,income_binary,,,primary,validation_person_weighted,False,not established,3,3,True,0.30273781899515334,0.011409883464277341,0.30273781899515334,0.011409883464277341,3,True,False
E_pca,transfer,income_binary,,,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.31056783599222526,0.008790613231753874,0.31056783599222526,0.008790613231753874,3,True,False
E_pca,transfer,civilian_at_work,,,primary,validation,False,not established,3,3,True,0.30470123730169146,0.008147211879364234,0.30470123730169146,0.008147211879364234,3,True,False
E_pca,transfer,civilian_at_work,,,primary,development_evaluation,False,not established,3,3,True,0.28840714026201003,0.005005340121502933,0.28840714026201003,0.005005340121502933,3,True,False
E_pca,transfer,civilian_at_work,,,primary,validation_person_weighted,False,not established,3,3,True,0.303016371903724,0.0028131777381385464,0.303016371903724,0.0028131777381385464,3,True,False
E_pca,transfer,civilian_at_work,,,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.27725593206200944,0.012455349012080537,0.27725593206200944,0.012455349012080537,3,True,False
E_pca,transfer,public_coverage,,,primary,validation,False,not established,3,3,True,0.48678611368964353,0.0019494012229440926,0.48678611368964353,0.0019494012229440926,3,True,False
E_pca,transfer,public_coverage,,,primary,development_evaluation,False,not established,3,3,True,0.5046232959833368,0.011549505809896457,0.5046232959833368,0.011549505809896457,3,True,False
E_pca,transfer,public_coverage,,,primary,validation_person_weighted,False,not established,3,3,True,0.49945407424748056,0.002774713520871097,0.49945407424748056,0.002774713520871097,3,True,False
E_pca,transfer,public_coverage,,,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.5141108163339847,0.01307955372391889,0.5141108163339847,0.01307955372391889,3,True,False
E_pca,audit,SEX,120,120,primary,validation,False,not established,3,3,True,0.6548028716175999,0.005947303231178002,0.6548028716175999,0.005947303231178002,3,True,False
E_pca,audit,SEX,120,120,primary,development_evaluation,False,not established,3,3,True,0.6552177940259082,0.011326075511597037,0.6552177940259082,0.011326075511597037,3,True,False
E_pca,audit,SEX,120,120,primary,validation_person_weighted,False,not established,3,3,True,0.6570872135028587,0.011125148417882204,0.6570872135028587,0.011125148417882204,3,True,False
E_pca,audit,SEX,120,120,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.6605105767938839,0.009960336591991645,0.6605105767938839,0.009960336591991645,3,True,False
E_pca,audit,SEX,120,120,pooled,validation,False,not established,3,3,True,0.6548028716175999,0.005947303231178002,0.6548028716175999,0.005947303231178002,3,True,False
E_pca,audit,SEX,120,120,pooled,development_evaluation,False,not established,3,3,True,0.6552177940259082,0.011326075511597037,0.6552177940259082,0.011326075511597037,3,True,False
E_pca,audit,SEX,120,120,pooled,validation_person_weighted,False,not established,3,3,True,0.6570872135028587,0.011125148417882204,0.6570872135028587,0.011125148417882204,3,True,False
E_pca,audit,SEX,120,120,pooled,development_evaluation_person_weighted,False,not established,3,3,True,0.6605105767938839,0.009960336591991645,0.6605105767938839,0.009960336591991645,3,True,False
E_pca,audit,SEX,360,120,primary,validation,False,not established,3,3,True,0.6548028716175999,0.005947303231178002,0.6548028716175999,0.005947303231178002,3,True,False
E_pca,audit,SEX,360,120,primary,development_evaluation,False,not established,3,3,True,0.6552177940259082,0.011326075511597037,0.6552177940259082,0.011326075511597037,3,True,False
E_pca,audit,SEX,360,120,primary,validation_person_weighted,False,not established,3,3,True,0.6570872135028587,0.011125148417882204,0.6570872135028587,0.011125148417882204,3,True,False
E_pca,audit,SEX,360,120,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.6605105767938839,0.009960336591991645,0.6605105767938839,0.009960336591991645,3,True,False
E_pca,audit,SEX,360,120,pooled,validation,False,not established,3,3,True,0.6548028716175999,0.005947303231178002,0.6548028716175999,0.005947303231178002,3,True,False
E_pca,audit,SEX,360,120,pooled,development_evaluation,False,not established,3,3,True,0.6552177940259082,0.011326075511597037,0.6552177940259082,0.011326075511597037,3,True,False
E_pca,audit,SEX,360,120,pooled,validation_person_weighted,False,not established,3,3,True,0.6570872135028587,0.011125148417882204,0.6570872135028587,0.011125148417882204,3,True,False
E_pca,audit,SEX,360,120,pooled,development_evaluation_person_weighted,False,not established,3,3,True,0.6605105767938839,0.009960336591991645,0.6605105767938839,0.009960336591991645,3,True,False
E_pca,audit,RAC1P,120,120,primary,validation,False,not established,3,3,True,1.2088317516186462,0.010692771900136925,1.2088317516186462,0.010692771900136925,3,True,False
E_pca,audit,RAC1P,120,120,primary,development_evaluation,False,not established,3,3,True,1.200398592500788,0.022577739593776548,1.200398592500788,0.022577739593776548,3,True,False
E_pca,audit,RAC1P,120,120,primary,validation_person_weighted,False,not established,3,3,True,1.2148205680943913,0.012640411959579875,1.2148205680943913,0.012640411959579875,3,True,False
E_pca,audit,RAC1P,120,120,primary,development_evaluation_person_weighted,False,not established,3,3,True,1.203587046841611,0.0398683513575199,1.203587046841611,0.0398683513575199,3,True,False
E_pca,audit,RAC1P,120,120,pooled,validation,False,not established,3,3,True,1.2088317516186462,0.010692771900136925,1.2088317516186462,0.010692771900136925,3,True,False
E_pca,audit,RAC1P,120,120,pooled,development_evaluation,False,not established,3,3,True,1.200398592500788,0.022577739593776548,1.200398592500788,0.022577739593776548,3,True,False
E_pca,audit,RAC1P,120,120,pooled,validation_person_weighted,False,not established,3,3,True,1.2148205680943913,0.012640411959579875,1.2148205680943913,0.012640411959579875,3,True,False
E_pca,audit,RAC1P,120,120,pooled,development_evaluation_person_weighted,False,not established,3,3,True,1.203587046841611,0.0398683513575199,1.203587046841611,0.0398683513575199,3,True,False
E_pca,audit,RAC1P,360,120,primary,validation,False,not established,3,3,True,1.2088317516186462,0.010692771900136925,1.2088317516186462,0.010692771900136925,3,True,False
E_pca,audit,RAC1P,360,120,primary,development_evaluation,False,not established,3,3,True,1.200398592500788,0.022577739593776548,1.200398592500788,0.022577739593776548,3,True,False
E_pca,audit,RAC1P,360,120,primary,validation_person_weighted,False,not established,3,3,True,1.2148205680943913,0.012640411959579875,1.2148205680943913,0.012640411959579875,3,True,False
E_pca,audit,RAC1P,360,120,primary,development_evaluation_person_weighted,False,not established,3,3,True,1.203587046841611,0.0398683513575199,1.203587046841611,0.0398683513575199,3,True,False
E_pca,audit,RAC1P,360,120,pooled,validation,False,not established,3,3,True,1.2088317516186462,0.010692771900136925,1.2088317516186462,0.010692771900136925,3,True,False
E_pca,audit,RAC1P,360,120,pooled,development_evaluation,False,not established,3,3,True,1.200398592500788,0.022577739593776548,1.200398592500788,0.022577739593776548,3,True,False
E_pca,audit,RAC1P,360,120,pooled,validation_person_weighted,False,not established,3,3,True,1.2148205680943913,0.012640411959579875,1.2148205680943913,0.012640411959579875,3,True,False
E_pca,audit,RAC1P,360,120,pooled,development_evaluation_person_weighted,False,not established,3,3,True,1.203587046841611,0.0398683513575199,1.203587046841611,0.0398683513575199,3,True,False
PCA16,transfer,same_residence,,,primary,validation,False,not established,3,3,True,0.5059077907737977,0.006330894495842102,0.5059077907737977,0.006330894495842102,3,True,False
PCA16,transfer,same_residence,,,primary,development_evaluation,False,not established,3,3,True,0.49506237885212184,0.0020953262000779813,0.49506237885212184,0.0020953262000779813,3,True,False
PCA16,transfer,same_residence,,,primary,validation_person_weighted,False,not established,3,3,True,0.4815755746217212,0.0034752928361455842,0.4815755746217212,0.0034752928361455842,3,True,False
PCA16,transfer,same_residence,,,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.4745443868011035,0.009318421413443703,0.4745443868011035,0.009318421413443703,3,True,False
PCA16,transfer,commute_over20,,,primary,validation,False,not established,3,3,True,0.6786267231018039,0.0026081313763441387,0.6786267231018039,0.0026081313763441387,3,True,False
PCA16,transfer,commute_over20,,,primary,development_evaluation,False,not established,3,3,True,0.6855266797080752,0.003931382597762458,0.6855266797080752,0.003931382597762458,3,True,False
PCA16,transfer,commute_over20,,,primary,validation_person_weighted,False,not established,3,3,True,0.6762592226009861,0.002058949002551504,0.6762592226009861,0.002058949002551504,3,True,False
PCA16,transfer,commute_over20,,,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.6876589713199487,0.003119115229340729,0.6876589713199487,0.003119115229340729,3,True,False
PCA16,transfer,income_binary,,,primary,validation,False,not established,3,3,True,0.3064421075417789,0.003364776191309949,0.3064421075417789,0.003364776191309949,3,True,False
PCA16,transfer,income_binary,,,primary,development_evaluation,False,not established,3,3,True,0.29440761922038344,0.007519978525509695,0.29440761922038344,0.007519978525509695,3,True,False
PCA16,transfer,income_binary,,,primary,validation_person_weighted,False,not established,3,3,True,0.3051158154761378,0.008915586768618176,0.3051158154761378,0.008915586768618176,3,True,False
PCA16,transfer,income_binary,,,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.3043201806573294,0.00913897150704891,0.3043201806573294,0.00913897150704891,3,True,False
PCA16,transfer,civilian_at_work,,,primary,validation,False,not established,3,3,True,0.30248294917683866,0.007852726860177158,0.30248294917683866,0.007852726860177158,3,True,False
PCA16,transfer,civilian_at_work,,,primary,development_evaluation,False,not established,3,3,True,0.2900353401613533,0.007223483181237189,0.2900353401613533,0.007223483181237189,3,True,False
PCA16,transfer,civilian_at_work,,,primary,validation_person_weighted,False,not established,3,3,True,0.2995923871407246,0.0031263108874766774,0.2995923871407246,0.0031263108874766774,3,True,False
PCA16,transfer,civilian_at_work,,,primary,development_evaluation_person_weighted,False,not established,3,3,True,0.27803817865086095,0.010756574271592444,0.27803817865086095,0.010756574271592444,3,True,False
PCA16,transfer,public_coverage,,,primary,validation,False,not established,3,3,True,0.48993617457393,0.002588269752639406,0.48993617457393,0.002588269752639406,3,True,False
PCA16,transfer,public_coverage,,,primary,development_evaluation,False,not established,3,3,True,0.5057039848136515,0.008631274532600578,0.5057039848136515,0.008631274532600578,3,True,False
