comparison,left,right,role,view,target,audit_budget,scope,split,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary,signed_gain_difference_mean,signed_gain_difference_observed_mean
J_minus_I,F_J,F_I,native,B,public_coverage,,native,development_evaluation,3,3,True,0.001151351913631471,0.002194855712960455,0.001151351913631471,0.002194855712960455,3,True,False,,
J_minus_I,F_J,F_I,native,B,public_coverage,,native,source_validation_person_weighted,3,3,True,0.0006790427369370485,0.0035324918900395204,0.0006790427369370485,0.0035324918900395204,3,True,False,,
J_minus_I,F_J,F_I,native,B,public_coverage,,native,development_evaluation_person_weighted,3,3,True,0.0011092462227921078,0.0033741919472275146,0.0011092462227921078,0.0033741919472275146,3,True,False,,
J_minus_I,F_J,F_I,audit,A,public_coverage,120,standard_independent,validation,3,3,True,-0.0035171442352073443,0.002817724343998671,-0.0035171442352073443,0.002817724343998671,3,True,False,0.0035171442352073443,0.0035171442352073443
J_minus_I,F_J,F_I,audit,A,public_coverage,120,standard_independent,development_evaluation,3,3,True,-0.004502599043795574,0.005287440238696115,-0.004502599043795574,0.005287440238696115,3,True,False,0.004502599043795574,0.004502599043795574
J_minus_I,F_J,F_I,audit,A,public_coverage,120,standard_independent,validation_person_weighted,3,3,True,-0.0015217442742410288,0.004534552763424836,-0.0015217442742410288,0.004534552763424836,3,True,False,0.0015217442742410288,0.0015217442742410288
J_minus_I,F_J,F_I,audit,A,public_coverage,120,standard_independent,development_evaluation_person_weighted,3,3,True,-0.00341566576543569,0.004788900749294386,-0.00341566576543569,0.004788900749294386,3,True,False,0.00341566576543569,0.00341566576543569
J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_independent,validation,3,3,True,-0.0035171442352073443,0.002817724343998671,-0.0035171442352073443,0.002817724343998671,3,True,False,0.0035171442352073443,0.0035171442352073443
J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_independent,development_evaluation,3,3,True,-0.004502599043795574,0.005287440238696115,-0.004502599043795574,0.005287440238696115,3,True,False,0.004502599043795574,0.004502599043795574
J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_independent,validation_person_weighted,3,3,True,-0.0015217442742410288,0.004534552763424836,-0.0015217442742410288,0.004534552763424836,3,True,False,0.0015217442742410288,0.0015217442742410288
J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_independent,development_evaluation_person_weighted,3,3,True,-0.00341566576543569,0.004788900749294386,-0.00341566576543569,0.004788900749294386,3,True,False,0.00341566576543569,0.00341566576543569
J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_catchup,validation,3,3,True,-0.001254045879685158,0.00436295824644996,-0.001254045879685158,0.00436295824644996,3,True,False,0.001254045879685158,0.001254045879685158
J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_catchup,development_evaluation,3,3,True,-0.005707912926797991,0.006130682641201148,-0.005707912926797991,0.006130682641201148,3,True,False,0.005707912926797991,0.005707912926797991
J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_catchup,validation_person_weighted,3,3,True,-0.002880902416239728,0.002999449623347664,-0.002880902416239728,0.002999449623347664,3,True,False,0.002880902416239728,0.002880902416239728
J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_catchup,development_evaluation_person_weighted,3,3,True,-0.007060322719964707,0.006528513950283922,-0.007060322719964707,0.006528513950283922,3,True,False,0.007060322719964707,0.007060322719964707
J_minus_I,F_J,F_I,audit,A,public_coverage,360,standard_independent,validation,3,3,True,-0.0035171442352073443,0.002817724343998671,-0.0035171442352073443,0.002817724343998671,3,True,False,0.0035171442352073443,0.0035171442352073443
J_minus_I,F_J,F_I,audit,A,public_coverage,360,standard_independent,development_evaluation,3,3,True,-0.004502599043795574,0.005287440238696115,-0.004502599043795574,0.005287440238696115,3,True,False,0.004502599043795574,0.004502599043795574
J_minus_I,F_J,F_I,audit,A,public_coverage,360,standard_independent,validation_person_weighted,3,3,True,-0.0015217442742410288,0.004534552763424836,-0.0015217442742410288,0.004534552763424836,3,True,False,0.0015217442742410288,0.0015217442742410288
J_minus_I,F_J,F_I,audit,A,public_coverage,360,standard_independent,development_evaluation_person_weighted,3,3,True,-0.00341566576543569,0.004788900749294386,-0.00341566576543569,0.004788900749294386,3,True,False,0.00341566576543569,0.00341566576543569
J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_independent,validation,3,3,True,-0.0035171442352073443,0.002817724343998671,-0.0035171442352073443,0.002817724343998671,3,True,False,0.0035171442352073443,0.0035171442352073443
J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_independent,development_evaluation,3,3,True,-0.004502599043795574,0.005287440238696115,-0.004502599043795574,0.005287440238696115,3,True,False,0.004502599043795574,0.004502599043795574
J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_independent,validation_person_weighted,3,3,True,-0.0015217442742410288,0.004534552763424836,-0.0015217442742410288,0.004534552763424836,3,True,False,0.0015217442742410288,0.0015217442742410288
J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_independent,development_evaluation_person_weighted,3,3,True,-0.00341566576543569,0.004788900749294386,-0.00341566576543569,0.004788900749294386,3,True,False,0.00341566576543569,0.00341566576543569
J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_catchup,validation,3,3,True,-0.001254045879685158,0.00436295824644996,-0.001254045879685158,0.00436295824644996,3,True,False,0.001254045879685158,0.001254045879685158
J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_catchup,development_evaluation,3,3,True,-0.005707912926797991,0.006130682641201148,-0.005707912926797991,0.006130682641201148,3,True,False,0.005707912926797991,0.005707912926797991
J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_catchup,validation_person_weighted,3,3,True,-0.002880902416239728,0.002999449623347664,-0.002880902416239728,0.002999449623347664,3,True,False,0.002880902416239728,0.002880902416239728
J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_catchup,development_evaluation_person_weighted,3,3,True,-0.007060322719964707,0.006528513950283922,-0.007060322719964707,0.006528513950283922,3,True,False,0.007060322719964707,0.007060322719964707
J_minus_I,F_J,F_I,audit,A,commute_over20,120,standard_independent,validation,3,3,True,-0.0006283605364073205,0.0019907516852988535,-0.0006283605364073205,0.0019907516852988535,3,True,False,0.0006283605364073205,0.0006283605364073205
J_minus_I,F_J,F_I,audit,A,commute_over20,120,standard_independent,development_evaluation,3,3,True,-0.0011988899614363928,0.00035271605099205996,-0.0011988899614363928,0.00035271605099205996,3,True,False,0.0011988899614363928,0.0011988899614363928
J_minus_I,F_J,F_I,audit,A,commute_over20,120,standard_independent,validation_person_weighted,3,3,True,-0.0010026893180354879,0.0016003790232452515,-0.0010026893180354879,0.0016003790232452515,3,True,False,0.0010026893180354879,0.0010026893180354879
J_minus_I,F_J,F_I,audit,A,commute_over20,120,standard_independent,development_evaluation_person_weighted,3,3,True,-0.0007709467968038582,0.0015002088970358625,-0.0007709467968038582,0.0015002088970358625,3,True,False,0.0007709467968038582,0.0007709467968038582
J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_independent,validation,3,3,True,-0.000531746276250411,0.0019532994277078027,-0.000531746276250411,0.0019532994277078027,3,True,False,0.000531746276250411,0.000531746276250411
J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_independent,development_evaluation,3,3,True,-0.0004037082962059513,0.0011273077713586978,-0.0004037082962059513,0.0011273077713586978,3,True,False,0.0004037082962059513,0.0004037082962059513
J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_independent,validation_person_weighted,3,3,True,-0.0009630606249403003,0.0016410893772633398,-0.0009630606249403003,0.0016410893772633398,3,True,False,0.0009630606249403003,0.0009630606249403003
J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_independent,development_evaluation_person_weighted,3,3,True,6.804421555125136e-05,0.0028965615491835547,6.804421555125136e-05,0.0028965615491835547,3,True,False,-6.804421555125136e-05,-6.804421555125136e-05
J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_catchup,validation,3,3,True,-0.000531746276250411,0.0019532994277078027,-0.000531746276250411,0.0019532994277078027,3,True,False,0.000531746276250411,0.000531746276250411
J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_catchup,development_evaluation,3,3,True,-0.0004037082962059513,0.0011273077713586978,-0.0004037082962059513,0.0011273077713586978,3,True,False,0.0004037082962059513,0.0004037082962059513
J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_catchup,validation_person_weighted,3,3,True,-0.0009630606249403003,0.0016410893772633398,-0.0009630606249403003,0.0016410893772633398,3,True,False,0.0009630606249403003,0.0009630606249403003
J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_catchup,development_evaluation_person_weighted,3,3,True,6.804421555125136e-05,0.0028965615491835547,6.804421555125136e-05,0.0028965615491835547,3,True,False,-6.804421555125136e-05,-6.804421555125136e-05
