seed,condition,view,target,split,log_loss
1,I,A,income_binary,development_evaluation,0.723455903521141
1,I,A,income_binary,development_evaluation_person_weighted,0.738336574558387
1,I,A,civilian_at_work,source_validation,0.6855752506666766
1,I,A,civilian_at_work,source_validation_person_weighted,0.6834061868037645
1,I,A,civilian_at_work,development_evaluation,0.676691206512808
1,I,A,civilian_at_work,development_evaluation_person_weighted,0.6771994833748042
1,I,B,public_coverage,source_validation,0.7343810802850755
1,I,B,public_coverage,source_validation_person_weighted,0.7411617995038005
1,I,B,public_coverage,development_evaluation,0.7328943908246854
1,I,B,public_coverage,development_evaluation_person_weighted,0.7334146281846451
1,W,A,income_binary,source_validation,0.2876068478732386
1,W,A,income_binary,source_validation_person_weighted,0.2896588876535899
1,W,A,income_binary,development_evaluation,0.27389396809652977
1,W,A,income_binary,development_evaluation_person_weighted,0.28222111404400496
1,W,A,civilian_at_work,source_validation,0.32054386848737926
1,W,A,civilian_at_work,source_validation_person_weighted,0.31772127881522355
1,W,A,civilian_at_work,development_evaluation,0.2810298788738469
1,W,A,civilian_at_work,development_evaluation_person_weighted,0.2749275020757516
1,W,B,public_coverage,source_validation,0.4930073520826188
1,W,B,public_coverage,source_validation_person_weighted,0.49861982343337885
1,W,B,public_coverage,development_evaluation,0.5125593401246095
1,W,B,public_coverage,development_evaluation_person_weighted,0.5163532248230577
1,F_I,A,income_binary,source_validation,0.3010484047931322
1,F_I,A,income_binary,source_validation_person_weighted,0.3013479809405087
1,F_I,A,income_binary,development_evaluation,0.28212201316730845
1,F_I,A,income_binary,development_evaluation_person_weighted,0.29228469599406864
1,F_I,A,civilian_at_work,source_validation,0.34734678206758746
1,F_I,A,civilian_at_work,source_validation_person_weighted,0.3488461988127493
1,F_I,A,civilian_at_work,development_evaluation,0.3097824040862781
1,F_I,A,civilian_at_work,development_evaluation_person_weighted,0.30700621118460847
1,F_I,B,public_coverage,source_validation,0.5366329945518526
1,F_I,B,public_coverage,source_validation_person_weighted,0.5291288075856311
1,F_I,B,public_coverage,development_evaluation,0.5649236293773072
1,F_I,B,public_coverage,development_evaluation_person_weighted,0.5696343509563708
1,F_Iplus,A,income_binary,source_validation,0.30057837185414493
1,F_Iplus,A,income_binary,source_validation_person_weighted,0.301287715737335
1,F_Iplus,A,income_binary,development_evaluation,0.28230470082437914
1,F_Iplus,A,income_binary,development_evaluation_person_weighted,0.2929889851698
1,F_Iplus,A,civilian_at_work,source_validation,0.34626353728699377
1,F_Iplus,A,civilian_at_work,source_validation_person_weighted,0.3488346282849606
1,F_Iplus,A,civilian_at_work,development_evaluation,0.31252871174859403
1,F_Iplus,A,civilian_at_work,development_evaluation_person_weighted,0.31167961802223393
1,F_Iplus,B,public_coverage,source_validation,0.5391685695222282
1,F_Iplus,B,public_coverage,source_validation_person_weighted,0.5342666444849207
1,F_Iplus,B,public_coverage,development_evaluation,0.5620608610285414
1,F_Iplus,B,public_coverage,development_evaluation_person_weighted,0.5660328661900209
1,F_J,A,income_binary,source_validation,0.30038265777629675
1,F_J,A,income_binary,source_validation_person_weighted,0.30116215695656756
1,F_J,A,income_binary,development_evaluation,0.28128522693095814
1,F_J,A,income_binary,development_evaluation_person_weighted,0.29052899193518233
1,F_J,A,civilian_at_work,source_validation,0.3498059105701202
1,F_J,A,civilian_at_work,source_validation_person_weighted,0.3532297200073268
1,F_J,A,civilian_at_work,development_evaluation,0.3131303639442147
1,F_J,A,civilian_at_work,development_evaluation_person_weighted,0.3115881993092019
1,F_J,B,public_coverage,source_validation,0.5366615040377706
1,F_J,B,public_coverage,source_validation_person_weighted,0.5286526148128308
1,F_J,B,public_coverage,development_evaluation,0.5638283728964602
1,F_J,B,public_coverage,development_evaluation_person_weighted,0.5675571475241871
1,P_I,A,income_binary,source_validation,0.30106752357666444
1,P_I,A,income_binary,source_validation_person_weighted,0.30156600740317585
1,P_I,A,income_binary,development_evaluation,0.28231846616131295
1,P_I,A,income_binary,development_evaluation_person_weighted,0.2928516190512872
1,P_I,A,civilian_at_work,source_validation,0.34706154340572104
1,P_I,A,civilian_at_work,source_validation_person_weighted,0.3473442085414354
1,P_I,A,civilian_at_work,development_evaluation,0.309103392580837
1,P_I,A,civilian_at_work,development_evaluation_person_weighted,0.3059309781544573
1,P_I,B,public_coverage,source_validation,0.5383775842978843
1,P_I,B,public_coverage,source_validation_person_weighted,0.5323721683763791
1,P_I,B,public_coverage,development_evaluation,0.5593172348453933
1,P_I,B,public_coverage,development_evaluation_person_weighted,0.5647807190275851
1,P_Iplus,A,income_binary,source_validation,0.30211120578276157
1,P_Iplus,A,income_binary,source_validation_person_weighted,0.3040570543024844
1,P_Iplus,A,income_binary,development_evaluation,0.2833315342577682
