seed,diagnostic_path,group,source_record,interface,condition,coefficients,losses,state_unchanged,rng_unchanged,source_raw_l2,individual_raw_l2,extra_local_raw_l2,coalition_raw_l2,source_individual_raw_dot,source_individual_raw_cosine,source_coalition_raw_dot,source_coalition_raw_cosine,source_extra_local_raw_dot,source_extra_local_raw_cosine,individual_extra_local_raw_dot,individual_extra_local_raw_cosine,extra_local_coalition_raw_dot,extra_local_coalition_raw_cosine,individual_coalition_raw_dot,individual_coalition_raw_cosine,source_applied_l2,individual_applied_l2,extra_local_applied_l2,coalition_applied_l2,source_individual_applied_dot,source_individual_applied_cosine,source_coalition_applied_dot,source_coalition_applied_cosine,source_extra_local_applied_dot,source_extra_local_applied_cosine,individual_extra_local_applied_dot,individual_extra_local_applied_cosine,extra_local_coalition_applied_dot,extra_local_coalition_applied_cosine,individual_coalition_applied_dot,individual_coalition_applied_cosine,combined_protection_l2,objective_l2
0,diagnostics/I/F,A_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3621022701263428,""extra_local"":2.7807061672210693,""coalition"":1.391977310180664}",True,True,0.16302548348903656,0.024800147861242294,0.04960187152028084,0.03259296342730522,0.0007195536745712161,0.17797271606998075,0.0008866336429491639,0.16686484916075903,7.393042324110866e-05,0.009142598173515502,0.0008498849347233772,0.6908882356703915,-0.0004162536934018135,-0.25747566446498366,-0.00014465302228927612,-0.1789572891747762,0.16302548348903656,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.16302548348903656
0,diagnostics/I/F,B_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3621022701263428,""extra_local"":2.7807061672210693,""coalition"":1.391977310180664}",True,True,0.22092032432556152,0.019087936729192734,0.04386132210493088,0.031058764085173607,0.0007958485512062907,0.1887277538264758,-0.0014150398783385754,-0.20622857322209426,0.0020657330751419067,0.21318508286888366,0.0005139072309248149,0.6138242237474277,0.0001656195381656289,0.12157539265934457,3.863023084704764e-05,0.06516046077235504,0.22092032432556152,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.22092032432556152
0,diagnostics/I/F,A_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3621022701263428,""extra_local"":2.7807061672210693,""coalition"":1.391977310180664}",True,True,0.09998538345098495,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.09998538345098495,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.09998538345098495
0,diagnostics/I/F,B_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3621022701263428,""extra_local"":2.7807061672210693,""coalition"":1.391977310180664}",True,True,0.16226114332675934,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.16226114332675934,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.16226114332675934
0,diagnostics/I/F,all_mappers,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3621022701263428,""extra_local"":2.7807061672210693,""coalition"":1.391977310180664}",True,True,0.2745598554611206,0.03129531443119049,0.06621299684047699,0.04502163454890251,0.0015154022257775068,0.1763646593593329,-0.0005284062935970724,-0.04274739810007596,0.0021396635565906763,0.1176969496551847,0.001363792223855853,0.6581511518521045,-0.00025063418434001505,-0.08407672792128686,-0.00010602278780424967,-0.07524863768616663,0.2745598554611206,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.2745598554611206
0,diagnostics/I/P,A_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3387327194213867,""extra_local"":2.7385120391845703,""coalition"":1.3723620176315308}",True,True,0.16302548348903656,0.009838258847594261,0.007971400395035744,0.011633079499006271,-0.0004910423303954303,-0.3061577027450449,0.0009045717888511717,0.4769719573189647,-0.0008894021157175303,-0.6843969059640069,5.8787230955203995e-05,0.7496009625444104,3.4920635698654223e-06,0.03765761588143573,6.251502054510638e-05,0.546224829054881,0.16302548348903656,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.16302548348903656
0,diagnostics/I/P,B_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3387327194213867,""extra_local"":2.7385120391845703,""coalition"":1.3723620176315308}",True,True,0.22092032432556152,0.007354449480772018,0.009444830007851124,0.006039231549948454,0.00140674551948905,0.8658241583900781,0.0010139592923223972,0.7599817551160398,0.002022801199927926,0.969445468055703,6.494343688245863e-05,0.9349555274637843,4.4862077629659325e-05,0.7865087446967831,3.1938332540448755e-05,0.7190852626874109,0.22092032432556152,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.22092032432556152
0,diagnostics/I/P,A_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3387327194213867,""extra_local"":2.7385120391845703,""coalition"":1.3723620176315308}",True,True,0.09998538345098495,0.006994051393121481,0.00586652522906661,0.006740316282957792,-0.0003305519057903439,-0.4726877306905011,4.297021951060742e-05,0.06376036284918978,-0.000367720058420673,-0.6269022971865976,3.269454464316368e-05,0.7968297331644679,7.578884833492339e-06,0.19166556297849668,2.501311246305704e-05,0.530589486956264,0.09998538345098495,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.09998538345098495
0,diagnostics/I/P,B_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3387327194213867,""extra_local"":2.7385120391845703,""coalition"":1.3723620176315308}",True,True,0.16226114332675934,0.005207899957895279,0.006610522512346506,0.005244527943432331,0.000581329979468137,0.6879320695150734,0.0005336612230166793,0.6271114230376389,0.0010407089721411467,0.970239560053655,2.652310286066495e-05,0.7704170898470867,2.3557349777547643e-05,0.679491828093954,8.940822226577438e-06,0.3273470436337578,0.16226114332675934,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.16226114332675934
0,diagnostics/I/P,all_mappers,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,,"{""source"":1.0,""individual"":0.0,""extra_local"":0.0,""coalition"":0.0}","{""source"":0.7062222957611084,""individual"":1.3387327194213867,""extra_local"":2.7385120391845703,""coalition"":1.3723620176315308}",True,True,0.2745598554611206,0.01228329073637724,0.012359127402305603,0.013107282109558582,0.0009157032473012805,0.2715207254745788,0.001918531022965908,0.533112838956985,0.001133398967795074,0.3340088438176602,0.00012373068602755666,0.8150324126985504,4.8354140744777396e-05,0.2984923562376804,9.445335308555514e-05,0.5866647600180219,0.2745598554611206,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.2745598554611206
