metric,condition,role,view,target,audit_budget,scope,split,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary
log_loss,F_I,audit,A,public_coverage,120,expanded_independent,validation_person_weighted,3,3,True,0.49954644058377484,0.017085894303422867,0.49954644058377484,0.017085894303422867,3,True,False
log_loss,F_I,audit,A,public_coverage,120,expanded_independent,development_evaluation_person_weighted,3,3,True,0.5199588187984509,0.01295290759093671,0.5199588187984509,0.01295290759093671,3,True,False
log_loss,F_I,audit,A,public_coverage,120,expanded_catchup,validation,3,3,True,0.4956953820214514,0.00837802158974868,0.4956953820214514,0.00837802158974868,3,True,False
log_loss,F_I,audit,A,public_coverage,120,expanded_catchup,development_evaluation,3,3,True,0.5183725297496234,0.011660137095280593,0.5183725297496234,0.011660137095280593,3,True,False
log_loss,F_I,audit,A,public_coverage,120,expanded_catchup,validation_person_weighted,3,3,True,0.4995290388868487,0.015884000974475586,0.4995290388868487,0.015884000974475586,3,True,False
log_loss,F_I,audit,A,public_coverage,120,expanded_catchup,development_evaluation_person_weighted,3,3,True,0.5235144561839242,0.014322588885401406,0.5235144561839242,0.014322588885401406,3,True,False
log_loss,F_I,audit,A,public_coverage,360,standard_independent,validation,3,3,True,0.49901463051512107,0.01085514520955208,0.49901463051512107,0.01085514520955208,3,True,False
log_loss,F_I,audit,A,public_coverage,360,standard_independent,development_evaluation,3,3,True,0.5168001782208446,0.012265063857477774,0.5168001782208446,0.012265063857477774,3,True,False
log_loss,F_I,audit,A,public_coverage,360,standard_independent,validation_person_weighted,3,3,True,0.49954644058377484,0.017085894303422867,0.49954644058377484,0.017085894303422867,3,True,False
log_loss,F_I,audit,A,public_coverage,360,standard_independent,development_evaluation_person_weighted,3,3,True,0.5199588187984509,0.01295290759093671,0.5199588187984509,0.01295290759093671,3,True,False
log_loss,F_I,audit,A,public_coverage,360,expanded_independent,validation,3,3,True,0.49901463051512107,0.01085514520955208,0.49901463051512107,0.01085514520955208,3,True,False
log_loss,F_I,audit,A,public_coverage,360,expanded_independent,development_evaluation,3,3,True,0.5168001782208446,0.012265063857477774,0.5168001782208446,0.012265063857477774,3,True,False
log_loss,F_I,audit,A,public_coverage,360,expanded_independent,validation_person_weighted,3,3,True,0.49954644058377484,0.017085894303422867,0.49954644058377484,0.017085894303422867,3,True,False
log_loss,F_I,audit,A,public_coverage,360,expanded_independent,development_evaluation_person_weighted,3,3,True,0.5199588187984509,0.01295290759093671,0.5199588187984509,0.01295290759093671,3,True,False
log_loss,F_I,audit,A,public_coverage,360,expanded_catchup,validation,3,3,True,0.4956953820214514,0.00837802158974868,0.4956953820214514,0.00837802158974868,3,True,False
log_loss,F_I,audit,A,public_coverage,360,expanded_catchup,development_evaluation,3,3,True,0.5183725297496234,0.011660137095280593,0.5183725297496234,0.011660137095280593,3,True,False
log_loss,F_I,audit,A,public_coverage,360,expanded_catchup,validation_person_weighted,3,3,True,0.4995290388868487,0.015884000974475586,0.4995290388868487,0.015884000974475586,3,True,False
log_loss,F_I,audit,A,public_coverage,360,expanded_catchup,development_evaluation_person_weighted,3,3,True,0.5235144561839242,0.014322588885401406,0.5235144561839242,0.014322588885401406,3,True,False
log_loss,F_I,audit,A,commute_over20,120,standard_independent,validation,3,3,True,0.6811906101829137,0.005022598217364992,0.6811906101829137,0.005022598217364992,3,True,False
log_loss,F_I,audit,A,commute_over20,120,standard_independent,development_evaluation,3,3,True,0.6865082722455813,0.005693323264868011,0.6865082722455813,0.005693323264868011,3,True,False
