seed,comparison,left,right,role,view,target,audit_budget,scope,split,left_loss,right_loss,left_minus_right,present,signed_gain_left_minus_right
0,J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_catchup,validation_person_weighted,0.5053801816114837,0.5081355699847693,-0.0027553883732855944,True,0.0027553883732855944
0,J_minus_I,F_J,F_I,audit,A,public_coverage,120,expanded_catchup,development_evaluation_person_weighted,0.5396708603187992,0.5392388022403136,0.0004320580784855643,True,-0.0004320580784855643
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,standard_independent,validation,0.5025653681648717,0.5058439710342207,-0.003278602869349001,True,0.003278602869349001
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,standard_independent,development_evaluation,0.5275934633503803,0.5309589353282954,-0.0033654719779151465,True,0.0033654719779151465
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,standard_independent,validation_person_weighted,0.5071241291742269,0.5107489901235972,-0.003624860949370312,True,0.003624860949370312
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,standard_independent,development_evaluation_person_weighted,0.534073599294276,0.5346218079557941,-0.000548208661518057,True,0.000548208661518057
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_independent,validation,0.5025653681648717,0.5058439710342207,-0.003278602869349001,True,0.003278602869349001
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_independent,development_evaluation,0.5275934633503803,0.5309589353282954,-0.0033654719779151465,True,0.0033654719779151465
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_independent,validation_person_weighted,0.5071241291742269,0.5107489901235972,-0.003624860949370312,True,0.003624860949370312
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_independent,development_evaluation_person_weighted,0.534073599294276,0.5346218079557941,-0.000548208661518057,True,0.000548208661518057
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_catchup,validation,0.4997567192761609,0.49825763402297857,0.0014990852531823196,True,-0.0014990852531823196
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_catchup,development_evaluation,0.5326732032606349,0.531310628322115,0.0013625749385199892,True,-0.0013625749385199892
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_catchup,validation_person_weighted,0.5053801816114837,0.5081355699847693,-0.0027553883732855944,True,0.0027553883732855944
0,J_minus_I,F_J,F_I,audit,A,public_coverage,360,expanded_catchup,development_evaluation_person_weighted,0.5396708603187992,0.5392388022403136,0.0004320580784855643,True,-0.0004320580784855643
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,standard_independent,validation,0.6844659197901904,0.6867114271939108,-0.002245507403720315,True,0.002245507403720315
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,standard_independent,development_evaluation,0.6910950956775994,0.6919126876333767,-0.0008175919557772415,True,0.0008175919557772415
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,standard_independent,validation_person_weighted,0.690675522480568,0.6935179845865895,-0.0028424621060215705,True,0.0028424621060215705
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,standard_independent,development_evaluation_person_weighted,0.6896028364533404,0.69174842675079,-0.00214559029744954,True,0.00214559029744954
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_independent,validation,0.6844659197901904,0.6867114271939108,-0.002245507403720315,True,0.002245507403720315
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_independent,development_evaluation,0.6910950956775994,0.6919126876333767,-0.0008175919557772415,True,0.0008175919557772415
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_independent,validation_person_weighted,0.690675522480568,0.6935179845865895,-0.0028424621060215705,True,0.0028424621060215705
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_independent,development_evaluation_person_weighted,0.6896028364533404,0.69174842675079,-0.00214559029744954,True,0.00214559029744954
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_catchup,validation,0.6844659197901904,0.6867114271939108,-0.002245507403720315,True,0.002245507403720315
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_catchup,development_evaluation,0.6910950956775994,0.6919126876333767,-0.0008175919557772415,True,0.0008175919557772415
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_catchup,validation_person_weighted,0.690675522480568,0.6935179845865895,-0.0028424621060215705,True,0.0028424621060215705
0,J_minus_I,F_J,F_I,audit,A,commute_over20,120,expanded_catchup,development_evaluation_person_weighted,0.6896028364533404,0.69174842675079,-0.00214559029744954,True,0.00214559029744954
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,standard_independent,validation,0.6844659197901904,0.6867114271939108,-0.002245507403720315,True,0.002245507403720315
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,standard_independent,development_evaluation,0.6910950956775994,0.6919126876333767,-0.0008175919557772415,True,0.0008175919557772415
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,standard_independent,validation_person_weighted,0.690675522480568,0.6935179845865895,-0.0028424621060215705,True,0.0028424621060215705
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,standard_independent,development_evaluation_person_weighted,0.6896028364533404,0.69174842675079,-0.00214559029744954,True,0.00214559029744954
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_independent,validation,0.6844659197901904,0.6867114271939108,-0.002245507403720315,True,0.002245507403720315
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_independent,development_evaluation,0.6910950956775994,0.6919126876333767,-0.0008175919557772415,True,0.0008175919557772415
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_independent,validation_person_weighted,0.690675522480568,0.6935179845865895,-0.0028424621060215705,True,0.0028424621060215705
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_independent,development_evaluation_person_weighted,0.6896028364533404,0.69174842675079,-0.00214559029744954,True,0.00214559029744954
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_catchup,validation,0.6844659197901904,0.6867114271939108,-0.002245507403720315,True,0.002245507403720315
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_catchup,development_evaluation,0.6910950956775994,0.6919126876333767,-0.0008175919557772415,True,0.0008175919557772415
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_catchup,validation_person_weighted,0.690675522480568,0.6935179845865895,-0.0028424621060215705,True,0.0028424621060215705
0,J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_catchup,development_evaluation_person_weighted,0.6896028364533404,0.69174842675079,-0.00214559029744954,True,0.00214559029744954
0,J_minus_I,F_J,F_I,audit,A,SEX,120,standard_independent,validation,0.6811323650517053,0.6813621610127,-0.00022979596099470534,True,0.00022979596099470534
0,J_minus_I,F_J,F_I,audit,A,SEX,120,standard_independent,development_evaluation,0.6879056971078485,0.6876858035536428,0.00021989355420570789,True,-0.00021989355420570789
0,J_minus_I,F_J,F_I,audit,A,SEX,120,standard_independent,validation_person_weighted,0.679468517063415,0.6781802480818053,0.0012882689816097193,True,-0.0012882689816097193
0,J_minus_I,F_J,F_I,audit,A,SEX,120,standard_independent,development_evaluation_person_weighted,0.6866581290263435,0.6858685135894134,0.0007896154369301245,True,-0.0007896154369301245
0,J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_independent,validation,0.6811323650517053,0.6813621610127,-0.00022979596099470534,True,0.00022979596099470534
0,J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_independent,development_evaluation,0.6879056971078485,0.6876858035536428,0.00021989355420570789,True,-0.00021989355420570789
