comparison,left,right,role,view,target,audit_budget,scope,historical_scope,historical_actual_audit_budget,split,causal_replacement,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary,signed_gain_difference_mean
contextual_learned_minus_historical,F_J,E_pca,utility,B,commute_over20,,utility,primary,,validation,False,3,3,True,0.01113999971217646,0.0009873418941218047,0.01113999971217646,0.0009873418941218047,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,B,commute_over20,,utility,primary,,validation,False,3,3,True,0.012966219739539006,0.0007587386254221347,0.012966219739539006,0.0007587386254221347,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,B,commute_over20,,utility,primary,,validation,False,3,3,True,0.012952025702946143,0.0007322622109140342,0.012952025702946143,0.0007322622109140342,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,B,commute_over20,,utility,primary,,validation,False,3,3,True,0.012969022251237047,0.0008235355779586937,0.012969022251237047,0.0008235355779586937,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation,False,3,3,True,0.0029236729619415516,0.007302233081889459,0.0029236729619415516,0.007302233081889459,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation,False,3,3,True,0.00308387671151004,0.008299391210905279,0.00308387671151004,0.008299391210905279,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation,False,3,3,True,0.004166251163567243,0.006300539080392372,0.004166251163567243,0.006300539080392372,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation,False,3,3,True,0.005407450300760101,0.007996883423025873,0.005407450300760101,0.007996883423025873,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation,False,3,3,True,0.00541270859122996,0.007994173655432306,0.00541270859122996,0.007994173655432306,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation,False,3,3,True,0.005166304940153317,0.008234615834107008,0.005166304940153317,0.008234615834107008,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,B,commute_over20,,utility,primary,,validation_person_weighted,False,3,3,True,0.01143660006437667,0.0010130296190806285,0.01143660006437667,0.0010130296190806285,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,B,commute_over20,,utility,primary,,validation_person_weighted,False,3,3,True,0.009344726023756097,0.00356129143888797,0.009344726023756097,0.00356129143888797,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,B,commute_over20,,utility,primary,,validation_person_weighted,False,3,3,True,0.010004740941373899,0.0012537827857246671,0.010004740941373899,0.0012537827857246671,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,B,commute_over20,,utility,primary,,validation_person_weighted,False,3,3,True,0.014124140588592867,0.0021181342509923894,0.014124140588592867,0.0021181342509923894,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,B,commute_over20,,utility,primary,,validation_person_weighted,False,3,3,True,0.014240566366748605,0.002077589506782002,0.014240566366748605,0.002077589506782002,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,B,commute_over20,,utility,primary,,validation_person_weighted,False,3,3,True,0.014217752273100329,0.002012976610304797,0.014217752273100329,0.002012976610304797,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.0002663836220176963,0.006884408916859011,0.0002663836220176963,0.006884408916859011,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.00022639275397495773,0.007856959425760434,-0.00022639275397495773,0.007856959425760434,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.0007084983738575209,0.005864294925139331,0.0007084983738575209,0.005864294925139331,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.0019185846782647416,0.00784353488479237,0.0019185846782647416,0.00784353488479237,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.001732474554702934,0.00822524986666856,0.001732474554702934,0.00822524986666856,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.0015296158682978438,0.008342410963407477,0.0015296158682978438,0.008342410963407477,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,income_binary,,utility,primary,,validation,False,3,3,True,-0.013330154380695939,0.008183810026816724,-0.013330154380695939,0.008183810026816724,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,income_binary,,utility,primary,,validation,False,3,3,True,-0.012452482992983812,0.0057752017535815025,-0.012452482992983812,0.0057752017535815025,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,income_binary,,utility,primary,,validation,False,3,3,True,-0.011276730619865302,0.00526902470741226,-0.011276730619865302,0.00526902470741226,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,income_binary,,utility,primary,,validation,False,3,3,True,-0.006055207522829602,0.005075784217792836,-0.006055207522829602,0.005075784217792836,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,income_binary,,utility,primary,,validation,False,3,3,True,-0.005553892003409851,0.004260127505007654,-0.005553892003409851,0.004260127505007654,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,income_binary,,utility,primary,,validation,False,3,3,True,-0.0059888681205574334,0.005200163196171128,-0.0059888681205574334,0.005200163196171128,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation,False,3,3,True,-0.005749268586106156,0.0033426898864606608,-0.005749268586106156,0.0033426898864606608,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation,False,3,3,True,-0.005531170635289647,0.00321703648861363,-0.005531170635289647,0.00321703648861363,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation,False,3,3,True,-0.004756686657854781,0.004104235665486883,-0.004756686657854781,0.004104235665486883,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation,False,3,3,True,-0.0029846262807215473,0.00921530621865097,-0.0029846262807215473,0.00921530621865097,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation,False,3,3,True,-0.002298650276549352,0.008827396583511936,-0.002298650276549352,0.008827396583511936,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation,False,3,3,True,-0.0033859489053761536,0.0071951500717849365,-0.0033859489053761536,0.0071951500717849365,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,income_binary,,utility,primary,,validation_person_weighted,False,3,3,True,-0.011891747046261947,0.010033463527313262,-0.011891747046261947,0.010033463527313262,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,income_binary,,utility,primary,,validation_person_weighted,False,3,3,True,-0.010617824923058017,0.009345429055918094,-0.010617824923058017,0.009345429055918094,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,income_binary,,utility,primary,,validation_person_weighted,False,3,3,True,-0.009793316910349884,0.008527265677651295,-0.009793316910349884,0.008527265677651295,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,income_binary,,utility,primary,,validation_person_weighted,False,3,3,True,-0.0061814398701123445,0.003820967657204754,-0.0061814398701123445,0.003820967657204754,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,income_binary,,utility,primary,,validation_person_weighted,False,3,3,True,-0.005324065762398651,0.0036420198020003696,-0.005324065762398651,0.0036420198020003696,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,income_binary,,utility,primary,,validation_person_weighted,False,3,3,True,-0.00595546851399827,0.004315689094949914,-0.00595546851399827,0.004315689094949914,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.006611668983821058,0.005787393682692191,-0.006611668983821058,0.005787393682692191,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.004883426657522061,0.0049281427203722574,-0.004883426657522061,0.0049281427203722574,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.005456484122024152,0.00645858261520228,-0.005456484122024152,0.00645858261520228,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.002741802153248004,0.011641141807928397,-0.002741802153248004,0.011641141807928397,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.0017316281934563842,0.01119376783531464,-0.0017316281934563842,0.01119376783531464,3,True,False,
