seed,condition,interface,arm,epoch,task,support,pre_loss,source_loss,full_loss,accepted_loss,source_minus_pre,full_minus_source,accepted_minus_source,accepted_minus_full,accepted_minus_pre,source_proposal_has_inherited_full_moments
0,F_G_J,F,G_J,1,income_binary,256,0.20767126977443695,0.20699527859687805,0.2069997787475586,0.20699405670166016,-0.0006759911775588989,4.500150680541992e-06,-1.2218952178955078e-06,-5.7220458984375e-06,-0.0006772130727767944,True
0,F_G_J,F,G_J,1,civilian_at_work,256,0.18772009015083313,0.18767911195755005,0.18765875697135925,0.18765878677368164,-4.0978193283081055e-05,-2.03549861907959e-05,-2.0325183868408203e-05,2.9802322387695312e-08,-6.130337715148926e-05,True
0,F_G_J,F,G_J,1,public_coverage,256,0.4453955292701721,0.44450148940086365,0.44450658559799194,0.44450241327285767,-0.0008940398693084717,5.0961971282958984e-06,9.238719940185547e-07,-4.172325134277344e-06,-0.0008931159973144531,True
0,F_G_J,F,G_J,20,income_binary,256,0.24614901840686798,0.24633483588695526,0.2463342398405075,0.2463342398405075,0.00018581748008728027,-5.960464477539062e-07,-5.960464477539062e-07,0.0,0.00018522143363952637,True
0,F_G_J,F,G_J,20,civilian_at_work,256,0.19617873430252075,0.19537779688835144,0.1953689157962799,0.1953689157962799,-0.0008009374141693115,-8.881092071533203e-06,-8.881092071533203e-06,0.0,-0.0008098185062408447,True
0,F_G_J,F,G_J,20,public_coverage,256,0.3795973062515259,0.37585559487342834,0.3759330213069916,0.37585359811782837,-0.003741711378097534,7.742643356323242e-05,-1.996755599975586e-06,-7.942318916320801e-05,-0.0037437081336975098,True
0,F_G_J,F,G_J,40,income_binary,256,0.21525466442108154,0.21359866857528687,0.21360169351100922,0.21360155940055847,-0.0016559958457946777,3.0249357223510742e-06,2.8908252716064453e-06,-1.341104507446289e-07,-0.0016531050205230713,True
0,F_G_J,F,G_J,40,civilian_at_work,256,0.29279500246047974,0.2918686866760254,0.2918717563152313,0.29186487197875977,-0.0009263157844543457,3.069639205932617e-06,-3.814697265625e-06,-6.884336471557617e-06,-0.0009301304817199707,True
0,F_G_J,F,G_J,40,public_coverage,256,0.3760024905204773,0.3746193051338196,0.37465283274650574,0.374622642993927,-0.0013831853866577148,3.3527612686157227e-05,3.337860107421875e-06,-3.018975257873535e-05,-0.001379847526550293,True
0,F_G_J,F,G_J,60,income_binary,256,0.2774282693862915,0.27670127153396606,0.2767161726951599,0.2767024636268616,-0.0007269978523254395,1.4901161193847656e-05,1.1920928955078125e-06,-1.3709068298339844e-05,-0.0007258057594299316,True
0,F_G_J,F,G_J,60,civilian_at_work,256,0.2528556287288666,0.2518436908721924,0.25185078382492065,0.2518468201160431,-0.0010119378566741943,7.092952728271484e-06,3.129243850708008e-06,-3.9637088775634766e-06,-0.0010088086128234863,True
0,F_G_J,F,G_J,60,public_coverage,256,0.448506236076355,0.4510253369808197,0.4510895013809204,0.45102977752685547,0.0025191009044647217,6.416440010070801e-05,4.4405460357666016e-06,-5.9723854064941406e-05,0.0025235414505004883,True
0,F_G_J,F,G_J,80,income_binary,256,0.23408745229244232,0.23342742025852203,0.23341014981269836,0.23341012001037598,-0.0006600320339202881,-1.7270445823669434e-05,-1.730024814605713e-05,-2.9802322387695312e-08,-0.0006773322820663452,True
0,F_G_J,F,G_J,80,civilian_at_work,256,0.23395366966724396,0.23216402530670166,0.2321743667125702,0.2321646809577942,-0.0017896443605422974,1.0341405868530273e-05,6.556510925292969e-07,-9.685754776000977e-06,-0.001788988709449768,True
0,F_G_J,F,G_J,80,public_coverage,256,0.41246527433395386,0.41014906764030457,0.4102725386619568,0.41015470027923584,-0.002316206693649292,0.00012347102165222168,5.632638931274414e-06,-0.00011783838272094727,-0.0023105740547180176,True
0,F_G_L025,F,G_L025,1,income_binary,256,0.20767126977443695,0.20699527859687805,0.20699995756149292,0.20699432492256165,-0.0006759911775588989,4.678964614868164e-06,-9.5367431640625e-07,-5.632638931274414e-06,-0.0006769448518753052,True
0,F_G_L025,F,G_L025,1,civilian_at_work,256,0.18772009015083313,0.18767911195755005,0.1876707673072815,0.18767081201076508,-4.0978193283081055e-05,-8.344650268554688e-06,-8.299946784973145e-06,4.470348358154297e-08,-4.92781400680542e-05,True
0,F_G_L025,F,G_L025,1,public_coverage,256,0.4453955292701721,0.44450148940086365,0.44449928402900696,0.44449928402900696,-0.0008940398693084717,-2.205371856689453e-06,-2.205371856689453e-06,0.0,-0.0008962452411651611,True
0,F_G_L025,F,G_L025,20,income_binary,256,0.2464664727449417,0.2466789186000824,0.24668729305267334,0.24667873978614807,0.00021244585514068604,8.374452590942383e-06,-1.7881393432617188e-07,-8.553266525268555e-06,0.00021226704120635986,True
0,F_G_L025,F,G_L025,20,civilian_at_work,256,0.19682569801807404,0.19603803753852844,0.1960347294807434,0.19603531062602997,-0.0007876604795455933,-3.3080577850341797e-06,-2.726912498474121e-06,5.811452865600586e-07,-0.0007903873920440674,True
0,F_G_L025,F,G_L025,20,public_coverage,256,0.3795067369937897,0.3757002651691437,0.37573379278182983,0.3756972551345825,-0.003806471824645996,3.3527612686157227e-05,-3.0100345611572266e-06,-3.653764724731445e-05,-0.0038094818592071533,True
0,F_G_L025,F,G_L025,40,income_binary,256,0.21567288041114807,0.21383515000343323,0.2138144075870514,0.2138144075870514,-0.0018377304077148438,-2.0742416381835938e-05,-2.0742416381835938e-05,0.0,-0.0018584728240966797,True
