seed,forward_alias,epoch,task,reconstructed_diagnostic,original_forward_fit_replaced,source_displacement_l2,full_source_displacement_dot,mapper_only_source_displacement_dot,pre_loss,source_loss,full_loss,accepted_loss,accepted_minus_pre,accepted_minus_source,full_minus_source
0,seed_0/T_shared,1,income_binary,True,False,0.0338296800825026,-0.0007415030784407909,-0.0006664887138234702,0.20767126977443695,0.20699527859687805,0.20699527859687805,0.20699527859687805,-0.0006759911775588989,0.0,0.0
0,seed_0/T_shared,1,civilian_at_work,True,False,0.0338296800825026,-6.782466253730507e-05,-6.796996635608762e-05,0.18772009015083313,0.18767911195755005,0.18767911195755005,0.18767911195755005,-4.0978193283081055e-05,0.0,0.0
0,seed_0/T_shared,1,public_coverage,True,False,0.0338296800825026,-0.0010373237106240728,-0.0010357239177370202,0.4453955292701721,0.44450148940086365,0.44450148940086365,0.44450148940086365,-0.0008940398693084717,0.0,0.0
0,seed_0/T_shared,20,income_binary,True,False,0.029703049952372277,0.00019027948758833547,0.00017059787379530812,0.24795947968959808,0.2481607049703598,0.2481607049703598,0.2481607049703598,0.00020122528076171875,0.0,0.0
0,seed_0/T_shared,20,civilian_at_work,True,False,0.029703049952372277,-0.0008207807510143402,-0.0007902917110331574,0.19499412178993225,0.19420024752616882,0.19420024752616882,0.19420024752616882,-0.0007938742637634277,0.0,0.0
0,seed_0/T_shared,20,public_coverage,True,False,0.029703049952372277,-0.003830243969388367,-0.0037791531625344437,0.3807297945022583,0.37707871198654175,0.37707871198654175,0.37707871198654175,-0.0036510825157165527,0.0,0.0
0,seed_0/T_shared,40,income_binary,True,False,0.03530475753344302,-0.0018518292128497952,-0.0017734333229139177,0.21278442442417145,0.21114341914653778,0.21114341914653778,0.21114341914653778,-0.001641005277633667,0.0,0.0
0,seed_0/T_shared,40,civilian_at_work,True,False,0.03530475753344302,-0.001186372451433699,-0.0011343018089190592,0.292180597782135,0.2914056181907654,0.2914056181907654,0.2914056181907654,-0.0007749795913696289,0.0,0.0
0,seed_0/T_shared,40,public_coverage,True,False,0.03530475753344302,-0.0018981074834160331,-0.0019060766468917624,0.3736097514629364,0.3721628785133362,0.3721628785133362,0.3721628785133362,-0.0014468729496002197,0.0,0.0
0,seed_0/T_shared,60,income_binary,True,False,0.03025085623668494,-0.0007206348584095381,-0.0007121523151734719,0.2781051695346832,0.27744531631469727,0.27744531631469727,0.27744531631469727,-0.0006598532199859619,0.0,0.0
0,seed_0/T_shared,60,civilian_at_work,True,False,0.03025085623668494,-0.0010099007823604345,-0.0010059462679786815,0.25635826587677,0.25548070669174194,0.25548070669174194,0.25548070669174194,-0.0008775591850280762,0.0,0.0
0,seed_0/T_shared,60,public_coverage,True,False,0.03025085623668494,0.0014590283952426748,0.0013957356659006232,0.44051340222358704,0.4424503445625305,0.4424503445625305,0.4424503445625305,0.0019369423389434814,0.0,0.0
0,seed_0/T_shared,80,income_binary,True,False,0.025422366326322228,-0.0009028216398475393,-0.0008673668935336631,0.23143430054187775,0.23057135939598083,0.23057135939598083,0.23057135939598083,-0.0008629411458969116,0.0,0.0
0,seed_0/T_shared,80,civilian_at_work,True,False,0.025422366326322228,-0.0016842716441977184,-0.0016836805093513182,0.2318047285079956,0.23024024069309235,0.23024024069309235,0.23024024069309235,-0.0015644878149032593,0.0,0.0
0,seed_0/T_shared,80,public_coverage,True,False,0.025422366326322228,-0.0022714301703066846,-0.002254918193984193,0.4052768349647522,0.4031742215156555,0.4031742215156555,0.4031742215156555,-0.0021026134490966797,0.0,0.0
1,seed_1/T_shared,1,income_binary,True,False,0.01972406349920149,-0.0006870359375950884,-0.0006384820321350068,0.29374170303344727,0.2930622696876526,0.2930622696876526,0.2930622696876526,-0.0006794333457946777,0.0,0.0
1,seed_1/T_shared,1,civilian_at_work,True,False,0.01972406349920149,-0.0011522171739796739,-0.0011200356446279492,0.24585357308387756,0.24472588300704956,0.24472588300704956,0.24472588300704956,-0.001127690076828003,0.0,0.0
1,seed_1/T_shared,1,public_coverage,True,False,0.01972406349920149,-0.0025489385227949494,-0.0025495330239002655,0.46043527126312256,0.45794540643692017,0.45794540643692017,0.45794540643692017,-0.0024898648262023926,0.0,0.0
1,seed_1/T_shared,20,income_binary,True,False,0.019633900255441563,-0.0015769324079386085,-0.0015557683589977362,0.2849031090736389,0.28335726261138916,0.28335726261138916,0.28335726261138916,-0.0015458464622497559,0.0,0.0
1,seed_1/T_shared,20,civilian_at_work,True,False,0.019633900255441563,-0.0015163393098242648,-0.0014777987300525048,0.18988513946533203,0.18845461308956146,0.18845461308956146,0.18845461308956146,-0.0014305263757705688,0.0,0.0
1,seed_1/T_shared,20,public_coverage,True,False,0.019633900255441563,-0.0019547651851246706,-0.001933589659532429,0.41209250688552856,0.41020533442497253,0.41020533442497253,0.41020533442497253,-0.0018871724605560303,0.0,0.0
1,seed_1/T_shared,40,income_binary,True,False,0.020932302472808785,-0.0013906850806294229,-0.0013921072926530382,0.2718715965747833,0.2704962491989136,0.2704962491989136,0.2704962491989136,-0.001375347375869751,0.0,0.0
1,seed_1/T_shared,40,civilian_at_work,True,False,0.020932302472808785,-0.0024616034302004305,-0.0024450051945037283,0.2866676151752472,0.28430452942848206,0.28430452942848206,0.28430452942848206,-0.0023630857467651367,0.0,0.0
1,seed_1/T_shared,40,public_coverage,True,False,0.020932302472808785,-0.0032490034880719577,-0.0032518719992190182,0.4557425081729889,0.4526612162590027,0.4526612162590027,0.4526612162590027,-0.003081291913986206,0.0,0.0
1,seed_1/T_shared,60,income_binary,True,False,0.020324858423828203,-0.0006546740341504935,-0.0006696072467877676,0.2577313184738159,0.2571099102497101,0.2571099102497101,0.2571099102497101,-0.000621408224105835,0.0,0.0
