seed,condition,target,report_audit_budget,actual_fitting_budget,evaluation_split,weighting,log_loss,selected_candidate,origin_metrics,reused
0,prior,income_binary,120,,development_evaluation,unweighted,0.4750116498476134,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,income_binary,120,120,development_evaluation,unweighted,2.40139183524899e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,income_binary,120,,development_evaluation,person_weighted,0.47382415486755597,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,income_binary,120,120,development_evaluation,person_weighted,2.4020016412255205e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,income_binary,360,,validation,unweighted,0.47475099402755766,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,income_binary,360,360,validation,unweighted,1.6078779049883218e-06,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,income_binary,360,,validation,person_weighted,0.48049748181466806,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,income_binary,360,360,validation,person_weighted,1.6061296949419306e-06,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,income_binary,360,,development_evaluation,unweighted,0.4750116498476134,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,income_binary,360,360,development_evaluation,unweighted,1.6077986076609536e-06,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,income_binary,360,,development_evaluation,person_weighted,0.47382415486755597,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,income_binary,360,360,development_evaluation,person_weighted,1.6081598701800926e-06,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,civilian_at_work,120,,validation,unweighted,0.6280855109834717,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,civilian_at_work,120,120,validation,unweighted,5.9351100266196524e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,civilian_at_work,120,,validation,person_weighted,0.6101071531892588,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,civilian_at_work,120,120,validation,person_weighted,6.027176801068159e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,civilian_at_work,120,,development_evaluation,unweighted,0.631372023562481,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,civilian_at_work,120,120,development_evaluation,unweighted,5.91827986805916e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,civilian_at_work,120,,development_evaluation,person_weighted,0.6128639070139358,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,civilian_at_work,120,120,development_evaluation,person_weighted,6.0130595254253124e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,civilian_at_work,360,,validation,unweighted,0.6280855109834717,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,civilian_at_work,360,360,validation,unweighted,4.123221790486398e-06,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,civilian_at_work,360,,validation,person_weighted,0.6101071531892588,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,civilian_at_work,360,360,validation,person_weighted,4.183872340098198e-06,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,civilian_at_work,360,,development_evaluation,unweighted,0.631372023562481,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,civilian_at_work,360,360,development_evaluation,unweighted,4.112134638005364e-06,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,civilian_at_work,360,,development_evaluation,person_weighted,0.6128639070139358,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,civilian_at_work,360,360,development_evaluation,person_weighted,4.174572345264136e-06,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,public_coverage,120,,validation,unweighted,0.5552667338855982,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,public_coverage,120,120,validation,unweighted,5.882912509732199e-05,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,public_coverage,120,,validation,person_weighted,0.5571066223710125,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,public_coverage,120,120,validation,person_weighted,5.8831638097567426e-05,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,public_coverage,120,,development_evaluation,unweighted,0.5775386198685424,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,public_coverage,120,120,development_evaluation,unweighted,5.885954501428173e-05,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,public_coverage,120,,development_evaluation,person_weighted,0.5850460929634269,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
