seed,historical_release,role,target,report_audit_budget,actual_audit_budget,original_scope,split,log_loss,original_candidate,origin_metrics,causal_replacement,respects_new_individual_policy
0,E_pca,audit,RAC1P,120,120,primary,development_evaluation,1.198245941746498,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,120,120,primary,validation_person_weighted,1.2270348658871826,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,120,120,primary,development_evaluation_person_weighted,1.1753970156285858,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,120,120,pooled,validation,1.215294898654396,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,120,120,pooled,development_evaluation,1.198245941746498,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,120,120,pooled,validation_person_weighted,1.2270348658871826,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,120,120,pooled,development_evaluation_person_weighted,1.1753970156285858,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,360,120,primary,validation,1.215294898654396,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,360,120,primary,development_evaluation,1.198245941746498,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,360,120,primary,validation_person_weighted,1.2270348658871826,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,360,120,primary,development_evaluation_person_weighted,1.1753970156285858,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,360,120,pooled,validation,1.215294898654396,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,360,120,pooled,development_evaluation,1.198245941746498,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,360,120,pooled,validation_person_weighted,1.2270348658871826,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca,audit,RAC1P,360,120,pooled,development_evaluation_person_weighted,1.1753970156285858,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,income_binary,,,primary,validation,0.3078152144203694,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,income_binary,,,primary,development_evaluation,0.29962468072045756,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,income_binary,,,primary,validation_person_weighted,0.2948212454325566,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,income_binary,,,primary,development_evaluation_person_weighted,0.30781779619611227,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,civilian_at_work,,,primary,validation,0.31112292820032783,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,civilian_at_work,,,primary,development_evaluation,0.28652439759109327,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,civilian_at_work,,,primary,validation_person_weighted,0.3031995058657975,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,civilian_at_work,,,primary,development_evaluation_person_weighted,0.27051575469752315,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,public_coverage,,,primary,validation,0.4924349259488831,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,public_coverage,,,primary,development_evaluation,0.5153072565155891,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,public_coverage,,,primary,validation_person_weighted,0.5050255211137411,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,public_coverage,,,primary,development_evaluation_person_weighted,0.5227835931454338,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,same_residence,,,primary,validation,0.513083097901199,logistic,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,same_residence,,,primary,development_evaluation,0.49620038855197607,logistic,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,same_residence,,,primary,validation_person_weighted,0.48001782702997264,logistic,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,same_residence,,,primary,development_evaluation_person_weighted,0.4849694687074397,logistic,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,commute_over20,,,primary,validation,0.6808750837797333,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,commute_over20,,,primary,development_evaluation,0.6895052149021278,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,commute_over20,,,primary,validation_person_weighted,0.6784161595436801,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,transfer,commute_over20,,,primary,development_evaluation_person_weighted,0.6884639604822912,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,120,120,primary,validation,0.6509224668633202,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,120,120,primary,development_evaluation,0.6634489941526499,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,120,120,primary,validation_person_weighted,0.6455853903267473,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,120,120,primary,development_evaluation_person_weighted,0.661590074472383,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,120,120,pooled,validation,0.6509224668633202,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,120,120,pooled,development_evaluation,0.6634489941526499,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,120,120,pooled,validation_person_weighted,0.6455853903267473,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,120,120,pooled,development_evaluation_person_weighted,0.661590074472383,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,360,360,primary,validation,0.6509224668633202,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,360,360,primary,development_evaluation,0.6634489941526499,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,360,360,primary,validation_person_weighted,0.6455853903267473,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,360,360,primary,development_evaluation_person_weighted,0.661590074472383,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,360,360,pooled,validation,0.6509224668633202,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,360,360,pooled,development_evaluation,0.6634489941526499,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,360,360,pooled,validation_person_weighted,0.6455853903267473,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,SEX,360,360,pooled,development_evaluation_person_weighted,0.661590074472383,mlp_1,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,120,120,primary,validation,1.221820051398217,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,120,120,primary,development_evaluation,1.2139651347628213,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,120,120,primary,validation_person_weighted,1.228346936602003,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,120,120,primary,development_evaluation_person_weighted,1.1922331131837498,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,120,120,pooled,validation,1.221820051398217,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,120,120,pooled,development_evaluation,1.2139651347628213,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,120,120,pooled,validation_person_weighted,1.228346936602003,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,120,120,pooled,development_evaluation_person_weighted,1.1922331131837498,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,360,360,primary,validation,1.221820051398217,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,360,360,primary,development_evaluation,1.2139651347628213,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,360,360,primary,validation_person_weighted,1.228346936602003,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,360,360,primary,development_evaluation_person_weighted,1.1922331131837498,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,360,360,pooled,validation,1.221820051398217,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,360,360,pooled,development_evaluation,1.2139651347628213,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,360,360,pooled,validation_person_weighted,1.228346936602003,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,PCA16,audit,RAC1P,360,360,pooled,development_evaluation_person_weighted,1.1922331131837498,mlp_0,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,income_binary,,,primary,validation,0.3155229668326246,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,income_binary,,,primary,development_evaluation,0.32320165427576397,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,income_binary,,,primary,validation_person_weighted,0.29902062985772754,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,income_binary,,,primary,development_evaluation_person_weighted,0.33856784182302296,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,civilian_at_work,,,primary,validation,0.35407961498303286,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,civilian_at_work,,,primary,development_evaluation,0.3317212638591729,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,civilian_at_work,,,primary,validation_person_weighted,0.3484859664300785,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,civilian_at_work,,,primary,development_evaluation_person_weighted,0.3138720894514983,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,public_coverage,,,primary,validation,0.5080742613383438,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,public_coverage,,,primary,development_evaluation,0.5361718908657324,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,public_coverage,,,primary,validation_person_weighted,0.5170227103696471,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,public_coverage,,,primary,development_evaluation_person_weighted,0.5445143126482553,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,same_residence,,,primary,validation,0.5091989338874052,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,same_residence,,,primary,development_evaluation,0.49290788817329384,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,same_residence,,,primary,validation_person_weighted,0.476183593568596,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,same_residence,,,primary,development_evaluation_person_weighted,0.4787440972447954,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,commute_over20,,,primary,validation,0.6846267797907926,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,commute_over20,,,primary,development_evaluation,0.6950100320515294,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,commute_over20,,,primary,validation_person_weighted,0.6854058671009285,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,transfer,commute_over20,,,primary,development_evaluation_person_weighted,0.6919504150594925,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,120,120,primary,validation,0.6646793982109042,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,120,120,primary,development_evaluation,0.6825529792064725,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,120,120,primary,validation_person_weighted,0.6639573994507895,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,120,120,primary,development_evaluation_person_weighted,0.687477343409721,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,120,120,pooled,validation,0.6646793982109042,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,120,120,pooled,development_evaluation,0.6825529792064725,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,120,120,pooled,validation_person_weighted,0.6639573994507895,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,120,120,pooled,development_evaluation_person_weighted,0.687477343409721,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,360,120,primary,validation,0.6646793982109042,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
