metric,condition,role,view,target,audit_budget,scope,split,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary
log_loss,F_T,native,A,income_binary,,native,source_validation,3,3,True,0.30372549029346174,0.0073836341817271,0.30372549029346174,0.0073836341817271,3,True,False
log_loss,F_T,native,A,income_binary,,native,development_evaluation,3,3,True,0.29806591887622125,0.013892886596473098,0.29806591887622125,0.013892886596473098,3,True,False
log_loss,F_T,native,A,income_binary,,native,source_validation_person_weighted,3,3,True,0.2979942056272678,0.006036219895163341,0.2979942056272678,0.006036219895163341,3,True,False
log_loss,F_T,native,A,income_binary,,native,development_evaluation_person_weighted,3,3,True,0.30960010574304564,0.014538288335094194,0.30960010574304564,0.014538288335094194,3,True,False
log_loss,F_T,native,A,civilian_at_work,,native,source_validation,3,3,True,0.31957195059039223,0.02304649869220271,0.31957195059039223,0.02304649869220271,3,True,False
log_loss,F_T,native,A,civilian_at_work,,native,development_evaluation,3,3,True,0.30361497227029144,0.004626485542409201,0.30361497227029144,0.004626485542409201,3,True,False
log_loss,F_T,native,A,civilian_at_work,,native,source_validation_person_weighted,3,3,True,0.32210740713112374,0.021302383299191673,0.32210740713112374,0.021302383299191673,3,True,False
log_loss,F_T,native,A,civilian_at_work,,native,development_evaluation_person_weighted,3,3,True,0.29303473133995295,0.012443997149583873,0.29303473133995295,0.012443997149583873,3,True,False
log_loss,F_T,native,B,public_coverage,,native,source_validation,3,3,True,0.5284595917369541,0.007654183878405582,0.5284595917369541,0.007654183878405582,3,True,False
log_loss,F_T,native,B,public_coverage,,native,development_evaluation,3,3,True,0.5527397245685144,0.019137489452661163,0.5527397245685144,0.019137489452661163,3,True,False
log_loss,F_T,native,B,public_coverage,,native,source_validation_person_weighted,3,3,True,0.5355500573513838,0.01780883787469191,0.5355500573513838,0.01780883787469191,3,True,False
log_loss,F_T,native,B,public_coverage,,native,development_evaluation_person_weighted,3,3,True,0.5612623166778876,0.01314145848054816,0.5612623166778876,0.01314145848054816,3,True,False
log_loss,P_T,native,A,income_binary,,native,source_validation,3,3,True,0.30372549029346174,0.0073836341817271,0.30372549029346174,0.0073836341817271,3,True,False
log_loss,P_T,native,A,income_binary,,native,development_evaluation,3,3,True,0.29806591887622125,0.013892886596473098,0.29806591887622125,0.013892886596473098,3,True,False
log_loss,P_T,native,A,income_binary,,native,source_validation_person_weighted,3,3,True,0.2979942056272678,0.006036219895163341,0.2979942056272678,0.006036219895163341,3,True,False
log_loss,P_T,native,A,income_binary,,native,development_evaluation_person_weighted,3,3,True,0.30960010574304564,0.014538288335094194,0.30960010574304564,0.014538288335094194,3,True,False
log_loss,P_T,native,A,civilian_at_work,,native,source_validation,3,3,True,0.31957195059039223,0.02304649869220271,0.31957195059039223,0.02304649869220271,3,True,False
log_loss,P_T,native,A,civilian_at_work,,native,development_evaluation,3,3,True,0.30361497227029144,0.004626485542409201,0.30361497227029144,0.004626485542409201,3,True,False
log_loss,P_T,native,A,civilian_at_work,,native,source_validation_person_weighted,3,3,True,0.32210740713112374,0.021302383299191673,0.32210740713112374,0.021302383299191673,3,True,False
log_loss,P_T,native,A,civilian_at_work,,native,development_evaluation_person_weighted,3,3,True,0.29303473133995295,0.012443997149583873,0.29303473133995295,0.012443997149583873,3,True,False
log_loss,P_T,native,B,public_coverage,,native,source_validation,3,3,True,0.5284595917369541,0.007654183878405582,0.5284595917369541,0.007654183878405582,3,True,False
log_loss,P_T,native,B,public_coverage,,native,development_evaluation,3,3,True,0.5527397245685144,0.019137489452661163,0.5527397245685144,0.019137489452661163,3,True,False
log_loss,P_T,native,B,public_coverage,,native,source_validation_person_weighted,3,3,True,0.5355500573513838,0.01780883787469191,0.5355500573513838,0.01780883787469191,3,True,False
log_loss,P_T,native,B,public_coverage,,native,development_evaluation_person_weighted,3,3,True,0.5612623166778876,0.01314145848054816,0.5612623166778876,0.01314145848054816,3,True,False
log_loss,F_G_J,native,A,income_binary,,native,source_validation,3,3,True,0.3045694148254357,0.007862063001870685,0.3045694148254357,0.007862063001870685,3,True,False
log_loss,F_G_J,native,A,income_binary,,native,development_evaluation,3,3,True,0.297650587735792,0.013896832763941163,0.297650587735792,0.013896832763941163,3,True,False
log_loss,F_G_J,native,A,income_binary,,native,source_validation_person_weighted,3,3,True,0.2994207723098111,0.005701313822187897,0.2994207723098111,0.005701313822187897,3,True,False
log_loss,F_G_J,native,A,income_binary,,native,development_evaluation_person_weighted,3,3,True,0.30840553980227964,0.016406639449940686,0.30840553980227964,0.016406639449940686,3,True,False
log_loss,F_G_J,native,A,civilian_at_work,,native,source_validation,3,3,True,0.3205503188066814,0.024619418656349524,0.3205503188066814,0.024619418656349524,3,True,False
log_loss,F_G_J,native,A,civilian_at_work,,native,development_evaluation,3,3,True,0.30429159445882575,0.0056706112115418,0.30429159445882575,0.0056706112115418,3,True,False
log_loss,F_G_J,native,A,civilian_at_work,,native,source_validation_person_weighted,3,3,True,0.3229494319087598,0.02560071217155688,0.3229494319087598,0.02560071217155688,3,True,False
log_loss,F_G_J,native,A,civilian_at_work,,native,development_evaluation_person_weighted,3,3,True,0.29425989320341206,0.013691977545863364,0.29425989320341206,0.013691977545863364,3,True,False
log_loss,F_G_J,native,B,public_coverage,,native,source_validation,3,3,True,0.5353195578743568,0.007542404515130579,0.5353195578743568,0.007542404515130579,3,True,False
log_loss,F_G_J,native,B,public_coverage,,native,development_evaluation,3,3,True,0.5624243718258439,0.01609081409893823,0.5624243718258439,0.01609081409893823,3,True,False
log_loss,F_G_J,native,B,public_coverage,,native,source_validation_person_weighted,3,3,True,0.5432309896727366,0.01999124686181037,0.5432309896727366,0.01999124686181037,3,True,False
log_loss,F_G_J,native,B,public_coverage,,native,development_evaluation_person_weighted,3,3,True,0.569578196874289,0.010837472362569206,0.569578196874289,0.010837472362569206,3,True,False
log_loss,F_G_L025,native,A,income_binary,,native,source_validation,3,3,True,0.3041287672724169,0.007386405495744245,0.3041287672724169,0.007386405495744245,3,True,False
log_loss,F_G_L025,native,A,income_binary,,native,development_evaluation,3,3,True,0.2975028832666916,0.013424145664287804,0.2975028832666916,0.013424145664287804,3,True,False
