seed,condition,interface,arm,reused,training_record,training_record_sha256,forward_alias,unique_forward_counted_here,new_interface_forward_steps,new_unique_forward_steps,new_live_forward_parameter_transitions,new_guarded_parameter_transitions,new_disposable_candidate_adam_calculations,new_live_source_only_adam_step_calls,T_interface_forward_alias_not_a_second_transition,new_observer_steps,inherited_source_warmup_epochs,inherited_observer_warmup_passes,new_interface_source_epochs,new_unique_forward_epochs,new_observer_passes,source_exposure_per_row,observer_exposure_per_row,shared_T,source_valid_label_exposures,observer_valid_label_exposures
0,F_Iplus_b0p2,F,U_L20,True,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/F_Iplus_b0p2/training.json,7d80894f97cefe4e5241c2c08af5c255a5f566a1a220874b39b40561eea1514e,historical/0/F_Iplus_b0p2,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,F_I,F,I,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,historical/0/F_I,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,P_J_b0p1,P,U_J,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,historical/0/P_J_b0p1,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,P_Iplus_b0p025,P,U_L025,True,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/P_Iplus_b0p025/training.json,3fff6fdbf880f0235b42089a8cffd807cc5d3ae7106cab4959c76e06c3336aaf,historical/0/P_Iplus_b0p025,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,P_Iplus_b0p2,P,U_L20,True,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/P_Iplus_b0p2/training.json,7596454e080890bf154184e71843e15f3df5072a463e3e1990dc072690690928,historical/0/P_Iplus_b0p2,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,P_I,P,I,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,historical/0/P_I,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
1,F_T,F,T,False,results/redesign_20260909_acs_source_guard_v1/seed_1/training/F_T/training.json,687221c7ab816b7b7bbcd6803cb545a5560e98e709862e60e0906fcd5b1217ca,seed_1/T_shared,True,3280,3280,3280,0,0,3280,False,9840,60,20,80,80,240,140,260,"{""forward_alias"":""seed_1/T_shared"",""unique_new_forward_continuations"":1,""interface_systems"":2,""same_pre_step_forward_for_both_observer_sets"":true,""isolated_interface_rng"":true,""new_forward_optimizer_steps"":3280,""initial_forward_state_sha256"":""e30bb439168fe8e7ac8efe7be3d8f9400612ef2e84aa470ec5cba9b9b127d251"",""final_forward_state_sha256"":""52d25d50cdf9d2ab897cb6abca740ac9339d305278a2eb28745e48c7bbab736f"",""source_only_no_float64_roundtrip"":true,""runtime_seconds"":34.34897595900111,""all_step_diagnostics"":{""path"":""/Users/nathansamson/PCRL/results/redesign_20260909_acs_source_guard_v1/seed_1/training/T_shared_step_diagnostics.jsonl.gz"",""sha256"":""bbd1f9545e9ee5cbcde8302a41bd368f2aca2f09b97b324a30d74a2d26cfa403"",""rows"":3280,""format"":""gzip JSONL; one actual shared source-only step per row""}}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,P_T,P,T,False,results/redesign_20260909_acs_source_guard_v1/seed_1/training/P_T/training.json,e372d1f60897882d8080e66662d13cd067ebba2bf99b205fcd4b4ed4c96d0292,seed_1/T_shared,False,3280,0,0,0,0,0,True,9840,60,20,80,0,240,140,260,"{""forward_alias"":""seed_1/T_shared"",""unique_new_forward_continuations"":1,""interface_systems"":2,""same_pre_step_forward_for_both_observer_sets"":true,""isolated_interface_rng"":true,""new_forward_optimizer_steps"":3280,""initial_forward_state_sha256"":""e30bb439168fe8e7ac8efe7be3d8f9400612ef2e84aa470ec5cba9b9b127d251"",""final_forward_state_sha256"":""52d25d50cdf9d2ab897cb6abca740ac9339d305278a2eb28745e48c7bbab736f"",""source_only_no_float64_roundtrip"":true,""runtime_seconds"":34.34897595900111,""all_step_diagnostics"":{""path"":""/Users/nathansamson/PCRL/results/redesign_20260909_acs_source_guard_v1/seed_1/training/T_shared_step_diagnostics.jsonl.gz"",""sha256"":""bbd1f9545e9ee5cbcde8302a41bd368f2aca2f09b97b324a30d74a2d26cfa403"",""rows"":3280,""format"":""gzip JSONL; one actual shared source-only step per row""}}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,F_G_J,F,G_J,False,results/redesign_20260909_acs_source_guard_v1/seed_1/training/F_G_J/training.json,f60e43bd8199df1afa81eb041b31f981dd47b845dc8be8ff74203d3f185a8303,seed_1/F_G_J,True,3280,3280,3280,3280,6560,0,False,9840,60,20,80,80,240,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,F_G_L025,F,G_L025,False,results/redesign_20260909_acs_source_guard_v1/seed_1/training/F_G_L025/training.json,ab4f85391b6dd3f3dcbed966283a7078833e4f03d540e28b98e2697a99bb1b41,seed_1/F_G_L025,True,3280,3280,3280,3280,6560,0,False,9840,60,20,80,80,240,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,F_G_L20,F,G_L20,False,results/redesign_20260909_acs_source_guard_v1/seed_1/training/F_G_L20/training.json,98e84d018c455078d2a1804d28fd06beee160d717d9f4602ded4dee26bc8f609,seed_1/F_G_L20,True,3280,3280,3280,3280,6560,0,False,9840,60,20,80,80,240,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,P_G_J,P,G_J,False,results/redesign_20260909_acs_source_guard_v1/seed_1/training/P_G_J/training.json,54117594a6b2386cded72a11fc9dc4b85a923e8674107cabb5bbe2c37a728cdc,seed_1/P_G_J,True,3280,3280,3280,3280,6560,0,False,9840,60,20,80,80,240,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,P_G_L025,P,G_L025,False,results/redesign_20260909_acs_source_guard_v1/seed_1/training/P_G_L025/training.json,dac6f4455215695ceac8f783c799360313b8af3821469bcd21bb30dbd64ec0df,seed_1/P_G_L025,True,3280,3280,3280,3280,6560,0,False,9840,60,20,80,80,240,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,P_G_L20,P,G_L20,False,results/redesign_20260909_acs_source_guard_v1/seed_1/training/P_G_L20/training.json,c88c6aae653f29eba7845953a4e74d5362acd37dc60a5165ed601a7596d4fbe6,seed_1/P_G_L20,True,3280,3280,3280,3280,6560,0,False,9840,60,20,80,80,240,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,F_J_b0p1,F,U_J,True,results/redesign_20260908_acs_coalition_v1/seed_1/training/training.json,4377ed8170fbbb6d2a40948750a6d56a24bd750896c74a72a7723e98311a15bf,historical/1/F_J_b0p1,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,F_Iplus_b0p025,F,U_L025,True,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/F_Iplus_b0p025/training.json,69259ec7432c7fb49af62c01df92946ac40ee03d43e9ca7b386812007fdaf48d,historical/1/F_Iplus_b0p025,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,F_Iplus_b0p2,F,U_L20,True,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/F_Iplus_b0p2/training.json,c2240f38f041331be775b147586ee2792b060ab29d9289092301277eb3b93ed3,historical/1/F_Iplus_b0p2,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,F_I,F,I,True,results/redesign_20260908_acs_coalition_v1/seed_1/training/training.json,4377ed8170fbbb6d2a40948750a6d56a24bd750896c74a72a7723e98311a15bf,historical/1/F_I,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,P_J_b0p1,P,U_J,True,results/redesign_20260908_acs_coalition_v1/seed_1/training/training.json,4377ed8170fbbb6d2a40948750a6d56a24bd750896c74a72a7723e98311a15bf,historical/1/P_J_b0p1,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,P_Iplus_b0p025,P,U_L025,True,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/P_Iplus_b0p025/training.json,090b40df857617bfb8fdf8d91b93873d44cb00ba5866e12c5eaefac3aeedad26,historical/1/P_Iplus_b0p025,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,P_Iplus_b0p2,P,U_L20,True,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/P_Iplus_b0p2/training.json,32b9522e0b7ae7c781de57a65aa616e7eb52c5cf1b394578de8260213cf212bd,historical/1/P_Iplus_b0p2,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
1,P_I,P,I,True,results/redesign_20260908_acs_coalition_v1/seed_1/training/training.json,4377ed8170fbbb6d2a40948750a6d56a24bd750896c74a72a7723e98311a15bf,historical/1/P_I,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}"
