metric,condition,role,view,target,audit_budget,scope,split,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary
log_loss,F_T,audit,A,public_coverage,120,expanded_independent,validation_person_weighted,3,3,True,0.4856120863501078,0.01615522844620665,0.4856120863501078,0.01615522844620665,3,True,False
log_loss,F_T,audit,A,public_coverage,120,expanded_independent,development_evaluation_person_weighted,3,3,True,0.508713361241245,0.015470424720499363,0.508713361241245,0.015470424720499363,3,True,False
log_loss,F_T,audit,A,public_coverage,120,expanded_catchup,validation,3,3,True,0.4856050355426348,0.0113470129980453,0.4856050355426348,0.0113470129980453,3,True,False
log_loss,F_T,audit,A,public_coverage,120,expanded_catchup,development_evaluation,3,3,True,0.5081321040372432,0.018200725266006676,0.5081321040372432,0.018200725266006676,3,True,False
log_loss,F_T,audit,A,public_coverage,120,expanded_catchup,validation_person_weighted,3,3,True,0.485942365488978,0.016467580271671053,0.485942365488978,0.016467580271671053,3,True,False
log_loss,F_T,audit,A,public_coverage,120,expanded_catchup,development_evaluation_person_weighted,3,3,True,0.5138851872646206,0.023965858195355055,0.5138851872646206,0.023965858195355055,3,True,False
log_loss,F_T,audit,A,public_coverage,360,standard_independent,validation,3,3,True,0.4862111273353693,0.011402822217448438,0.4862111273353693,0.011402822217448438,3,True,False
log_loss,F_T,audit,A,public_coverage,360,standard_independent,development_evaluation,3,3,True,0.5040278686509404,0.011116154526881942,0.5040278686509404,0.011116154526881942,3,True,False
log_loss,F_T,audit,A,public_coverage,360,standard_independent,validation_person_weighted,3,3,True,0.4856120863501078,0.01615522844620665,0.4856120863501078,0.01615522844620665,3,True,False
log_loss,F_T,audit,A,public_coverage,360,standard_independent,development_evaluation_person_weighted,3,3,True,0.508713361241245,0.015470424720499363,0.508713361241245,0.015470424720499363,3,True,False
log_loss,F_T,audit,A,public_coverage,360,expanded_independent,validation,3,3,True,0.4862111273353693,0.011402822217448438,0.4862111273353693,0.011402822217448438,3,True,False
log_loss,F_T,audit,A,public_coverage,360,expanded_independent,development_evaluation,3,3,True,0.5040278686509404,0.011116154526881942,0.5040278686509404,0.011116154526881942,3,True,False
log_loss,F_T,audit,A,public_coverage,360,expanded_independent,validation_person_weighted,3,3,True,0.4856120863501078,0.01615522844620665,0.4856120863501078,0.01615522844620665,3,True,False
log_loss,F_T,audit,A,public_coverage,360,expanded_independent,development_evaluation_person_weighted,3,3,True,0.508713361241245,0.015470424720499363,0.508713361241245,0.015470424720499363,3,True,False
log_loss,F_T,audit,A,public_coverage,360,expanded_catchup,validation,3,3,True,0.4856050355426348,0.0113470129980453,0.4856050355426348,0.0113470129980453,3,True,False
log_loss,F_T,audit,A,public_coverage,360,expanded_catchup,development_evaluation,3,3,True,0.5081321040372432,0.018200725266006676,0.5081321040372432,0.018200725266006676,3,True,False
log_loss,F_T,audit,A,public_coverage,360,expanded_catchup,validation_person_weighted,3,3,True,0.485942365488978,0.016467580271671053,0.485942365488978,0.016467580271671053,3,True,False
log_loss,F_T,audit,A,public_coverage,360,expanded_catchup,development_evaluation_person_weighted,3,3,True,0.5138851872646206,0.023965858195355055,0.5138851872646206,0.023965858195355055,3,True,False
log_loss,F_T,audit,A,commute_over20,120,standard_independent,validation,3,3,True,0.6811227973524058,0.004593139163966343,0.6811227973524058,0.004593139163966343,3,True,False
log_loss,F_T,audit,A,commute_over20,120,standard_independent,development_evaluation,3,3,True,0.683964594015287,0.008422965496031757,0.683964594015287,0.008422965496031757,3,True,False
log_loss,F_T,audit,A,commute_over20,120,standard_independent,validation_person_weighted,3,3,True,0.6849070450139448,0.00504066580683594,0.6849070450139448,0.00504066580683594,3,True,False
log_loss,F_T,audit,A,commute_over20,120,standard_independent,development_evaluation_person_weighted,3,3,True,0.6855155854060923,0.007515978971510087,0.6855155854060923,0.007515978971510087,3,True,False
log_loss,F_T,audit,A,commute_over20,120,expanded_independent,validation,3,3,True,0.6811227973524058,0.004593139163966343,0.6811227973524058,0.004593139163966343,3,True,False
log_loss,F_T,audit,A,commute_over20,120,expanded_independent,development_evaluation,3,3,True,0.683964594015287,0.008422965496031757,0.683964594015287,0.008422965496031757,3,True,False
log_loss,F_T,audit,A,commute_over20,120,expanded_independent,validation_person_weighted,3,3,True,0.6849070450139448,0.00504066580683594,0.6849070450139448,0.00504066580683594,3,True,False
log_loss,F_T,audit,A,commute_over20,120,expanded_independent,development_evaluation_person_weighted,3,3,True,0.6855155854060923,0.007515978971510087,0.6855155854060923,0.007515978971510087,3,True,False
log_loss,F_T,audit,A,commute_over20,120,expanded_catchup,validation,3,3,True,0.6811227973524058,0.004593139163966343,0.6811227973524058,0.004593139163966343,3,True,False
log_loss,F_T,audit,A,commute_over20,120,expanded_catchup,development_evaluation,3,3,True,0.683964594015287,0.008422965496031757,0.683964594015287,0.008422965496031757,3,True,False
log_loss,F_T,audit,A,commute_over20,120,expanded_catchup,validation_person_weighted,3,3,True,0.6849070450139448,0.00504066580683594,0.6849070450139448,0.00504066580683594,3,True,False
log_loss,F_T,audit,A,commute_over20,120,expanded_catchup,development_evaluation_person_weighted,3,3,True,0.6855155854060923,0.007515978971510087,0.6855155854060923,0.007515978971510087,3,True,False
log_loss,F_T,audit,A,commute_over20,360,standard_independent,validation,3,3,True,0.6811227973524058,0.004593139163966343,0.6811227973524058,0.004593139163966343,3,True,False
log_loss,F_T,audit,A,commute_over20,360,standard_independent,development_evaluation,3,3,True,0.683964594015287,0.008422965496031757,0.683964594015287,0.008422965496031757,3,True,False
log_loss,F_T,audit,A,commute_over20,360,standard_independent,validation_person_weighted,3,3,True,0.6849070450139448,0.00504066580683594,0.6849070450139448,0.00504066580683594,3,True,False
log_loss,F_T,audit,A,commute_over20,360,standard_independent,development_evaluation_person_weighted,3,3,True,0.6855155854060923,0.007515978971510087,0.6855155854060923,0.007515978971510087,3,True,False
log_loss,F_T,audit,A,commute_over20,360,expanded_independent,validation,3,3,True,0.6811227973524058,0.004593139163966343,0.6811227973524058,0.004593139163966343,3,True,False
log_loss,F_T,audit,A,commute_over20,360,expanded_independent,development_evaluation,3,3,True,0.683964594015287,0.008422965496031757,0.683964594015287,0.008422965496031757,3,True,False
log_loss,F_T,audit,A,commute_over20,360,expanded_independent,validation_person_weighted,3,3,True,0.6849070450139448,0.00504066580683594,0.6849070450139448,0.00504066580683594,3,True,False
log_loss,F_T,audit,A,commute_over20,360,expanded_independent,development_evaluation_person_weighted,3,3,True,0.6855155854060923,0.007515978971510087,0.6855155854060923,0.007515978971510087,3,True,False
log_loss,F_T,audit,A,commute_over20,360,expanded_catchup,validation,3,3,True,0.6811227973524058,0.004593139163966343,0.6811227973524058,0.004593139163966343,3,True,False
log_loss,F_T,audit,A,commute_over20,360,expanded_catchup,development_evaluation,3,3,True,0.683964594015287,0.008422965496031757,0.683964594015287,0.008422965496031757,3,True,False
log_loss,F_T,audit,A,commute_over20,360,expanded_catchup,validation_person_weighted,3,3,True,0.6849070450139448,0.00504066580683594,0.6849070450139448,0.00504066580683594,3,True,False
log_loss,F_T,audit,A,commute_over20,360,expanded_catchup,development_evaluation_person_weighted,3,3,True,0.6855155854060923,0.007515978971510087,0.6855155854060923,0.007515978971510087,3,True,False
log_loss,F_T,audit,A,SEX,120,standard_independent,validation,3,3,True,0.6587087049855854,0.0038801733027142085,0.6587087049855854,0.0038801733027142085,3,True,False
log_loss,F_T,audit,A,SEX,120,standard_independent,development_evaluation,3,3,True,0.6623402356167707,0.008397093175036653,0.6623402356167707,0.008397093175036653,3,True,False
log_loss,F_T,audit,A,SEX,120,standard_independent,validation_person_weighted,3,3,True,0.6612663197439415,0.008772759101721338,0.6612663197439415,0.008772759101721338,3,True,False
log_loss,F_T,audit,A,SEX,120,standard_independent,development_evaluation_person_weighted,3,3,True,0.6635150726571236,0.011378883838344313,0.6635150726571236,0.011378883838344313,3,True,False
log_loss,F_T,audit,A,SEX,120,expanded_independent,validation,3,3,True,0.6587087049855854,0.0038801733027142085,0.6587087049855854,0.0038801733027142085,3,True,False
log_loss,F_T,audit,A,SEX,120,expanded_independent,development_evaluation,3,3,True,0.6623402356167707,0.008397093175036653,0.6623402356167707,0.008397093175036653,3,True,False
log_loss,F_T,audit,A,SEX,120,expanded_independent,validation_person_weighted,3,3,True,0.6612663197439415,0.008772759101721338,0.6612663197439415,0.008772759101721338,3,True,False
log_loss,F_T,audit,A,SEX,120,expanded_independent,development_evaluation_person_weighted,3,3,True,0.6635150726571236,0.011378883838344313,0.6635150726571236,0.011378883838344313,3,True,False
log_loss,F_T,audit,A,SEX,120,expanded_catchup,validation,3,3,True,0.6587087049855854,0.0038801733027142085,0.6587087049855854,0.0038801733027142085,3,True,False
log_loss,F_T,audit,A,SEX,120,expanded_catchup,development_evaluation,3,3,True,0.6623402356167707,0.008397093175036653,0.6623402356167707,0.008397093175036653,3,True,False
