seed,condition,view,target,audit_budget,left_scope,right_scope,split,signed_gain_left_minus_right,left_candidate,right_candidate
0,F_I,A,RAC1P,120,expanded_catchup,expanded_independent,validation,0.019203037503923825,catchup,wire__mlp_0
0,F_I,A,RAC1P,120,expanded_catchup,expanded_independent,development_evaluation,0.0024823344368853917,catchup,wire__mlp_0
0,F_I,A,RAC1P,120,expanded_catchup,expanded_independent,validation_person_weighted,0.01008332315671634,catchup,wire__mlp_0
0,F_I,A,RAC1P,120,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.008796620907312702,catchup,wire__mlp_0
0,F_I,A,RAC1P,360,expanded_independent,standard_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,A,RAC1P,360,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,A,RAC1P,360,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,A,RAC1P,360,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,A,RAC1P,360,expanded_catchup,expanded_independent,validation,0.019203037503923825,catchup,wire__mlp_0
0,F_I,A,RAC1P,360,expanded_catchup,expanded_independent,development_evaluation,0.0024823344368853917,catchup,wire__mlp_0
0,F_I,A,RAC1P,360,expanded_catchup,expanded_independent,validation_person_weighted,0.01008332315671634,catchup,wire__mlp_0
0,F_I,A,RAC1P,360,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.008796620907312702,catchup,wire__mlp_0
0,F_I,B,income_binary,120,expanded_independent,standard_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,120,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,120,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,120,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,120,expanded_catchup,expanded_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,120,expanded_catchup,expanded_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,120,expanded_catchup,expanded_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,120,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,360,expanded_independent,standard_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,360,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,360,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,360,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,360,expanded_catchup,expanded_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,360,expanded_catchup,expanded_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,360,expanded_catchup,expanded_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,income_binary,360,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_I,B,civilian_at_work,120,expanded_independent,standard_independent,validation,0.0,wire__hist_gb_20,wire__hist_gb_20
0,F_I,B,civilian_at_work,120,expanded_independent,standard_independent,development_evaluation,0.0,wire__hist_gb_20,wire__hist_gb_20
0,F_I,B,civilian_at_work,120,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__hist_gb_20,wire__hist_gb_20
0,F_I,B,civilian_at_work,120,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__hist_gb_20,wire__hist_gb_20
0,F_I,B,civilian_at_work,120,expanded_catchup,expanded_independent,validation,0.0,wire__hist_gb_20,wire__hist_gb_20
0,F_I,B,civilian_at_work,120,expanded_catchup,expanded_independent,development_evaluation,0.0,wire__hist_gb_20,wire__hist_gb_20
0,F_I,B,civilian_at_work,120,expanded_catchup,expanded_independent,validation_person_weighted,0.0,wire__hist_gb_20,wire__hist_gb_20
