seed,condition,epoch,counts,source_loss,task_losses,purpose_losses,coefficients,individual_loss,extra_local_loss,coalition_loss,observer_ce,objective,source_validation,beta
0,F_J_b0p05,55,"{""mapper_optimizer_steps"":4830,""adversary_optimizer_steps"":7770}",0.33163323998451233,"{""income_binary"":0.2608557641506195,""civilian_at_work"":0.23447518050670624,""public_coverage"":0.4156010150909424}","{""A"":0.24766546487808228,""B"":0.4156010150909424}","{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.05}",0.9088724851608276,1.935274600982666,0.9396284818649292,"{""A__public_coverage"":0.4934352934360504,""A__SEX"":0.6769152879714966,""A__RAC1P"":1.2542078495025635,""B__income_binary"":0.35663509368896484,""B__civilian_at_work"":0.5186538696289062,""B__SEX"":0.6742714047431946,""B__RAC1P"":1.233781099319458,""AB__SEX"":0.655950665473938,""AB__RAC1P"":1.2081494331359863}",0.1937645673751831,"{""income_binary"":0.3021407127380371,""civilian_at_work"":0.3008759617805481,""public_coverage"":0.5259628295898438}",0.05
0,F_J_b0p05,60,"{""mapper_optimizer_steps"":5040,""adversary_optimizer_steps"":8400}",0.32672011852264404,"{""income_binary"":0.25720056891441345,""civilian_at_work"":0.23689338564872742,""public_coverage"":0.40639328956604004}","{""A"":0.24704697728157043,""B"":0.40639328956604004}","{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.05}",0.903205394744873,1.928714394569397,0.9381885528564453,"{""A__public_coverage"":0.4884282052516937,""A__SEX"":0.6759096384048462,""A__RAC1P"":1.2457493543624878,""B__income_binary"":0.35397660732269287,""B__civilian_at_work"":0.5111179351806641,""B__SEX"":0.6695535182952881,""B__RAC1P"":1.2359435558319092,""AB__SEX"":0.6529874205589294,""AB__RAC1P"":1.2099597454071045}",0.18949013948440552,"{""income_binary"":0.29939064383506775,""civilian_at_work"":0.30521029233932495,""public_coverage"":0.5164674520492554}",0.05
0,F_J_b0p05,65,"{""mapper_optimizer_steps"":5250,""adversary_optimizer_steps"":9030}",0.325697124004364,"{""income_binary"":0.25680655241012573,""civilian_at_work"":0.23456719517707825,""public_coverage"":0.40570738911628723}","{""A"":0.245686873793602,""B"":0.40570738911628723}","{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.05}",0.9067869186401367,1.9459691047668457,0.9438477754592896,"{""A__public_coverage"":0.4907810389995575,""A__SEX"":0.677655816078186,""A__RAC1P"":1.2552179098129272,""B__income_binary"":0.3561740517616272,""B__civilian_at_work"":0.4989498257637024,""B__SEX"":0.6765004396438599,""B__RAC1P"":1.254930019378662,""AB__SEX"":0.657926619052887,""AB__RAC1P"":1.2153874635696411}",0.1878260374069214,"{""income_binary"":0.29982781410217285,""civilian_at_work"":0.3059995770454407,""public_coverage"":0.5175266861915588}",0.05
0,F_J_b0p05,70,"{""mapper_optimizer_steps"":5460,""adversary_optimizer_steps"":9660}",0.32332485914230347,"{""income_binary"":0.2558581531047821,""civilian_at_work"":0.23181591928005219,""public_coverage"":0.402812659740448}","{""A"":0.24383702874183655,""B"":0.402812659740448}","{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.05}",0.9066213369369507,1.936777114868164,0.9442449808120728,"{""A__public_coverage"":0.4892287254333496,""A__SEX"":0.6737084984779358,""A__RAC1P"":1.2509278059005737,""B__income_binary"":0.3551662564277649,""B__civilian_at_work"":0.5152307152748108,""B__SEX"":0.6715949177742004,""B__RAC1P"":1.251956820487976,""AB__SEX"":0.6561136245727539,""AB__RAC1P"":1.2198072671890259}",0.1854504644870758,"{""income_binary"":0.29982930421829224,""civilian_at_work"":0.30247950553894043,""public_coverage"":0.517012894153595}",0.05
0,F_J_b0p05,75,"{""mapper_optimizer_steps"":5670,""adversary_optimizer_steps"":10290}",0.3231264650821686,"{""income_binary"":0.2551893889904022,""civilian_at_work"":0.23192931711673737,""public_coverage"":0.40269356966018677}","{""A"":0.2435593605041504,""B"":0.40269356966018677}","{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.05}",0.9105116128921509,1.941338300704956,0.942537784576416,"{""A__public_coverage"":0.5009870529174805,""A__SEX"":0.6761819124221802,""A__RAC1P"":1.2574158906936646,""B__income_binary"":0.364395409822464,""B__civilian_at_work"":0.49743685126304626,""B__SEX"":0.6755994558334351,""B__RAC1P"":1.2451735734939575,""AB__SEX"":0.6594183444976807,""AB__RAC1P"":1.2092033624649048}",0.1849484145641327,"{""income_binary"":0.30146539211273193,""civilian_at_work"":0.305887371301651,""public_coverage"":0.5166165828704834}",0.05
0,F_J_b0p05,80,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}",0.32206106185913086,"{""income_binary"":0.25497424602508545,""civilian_at_work"":0.23105455935001373,""public_coverage"":0.4011077284812927}","{""A"":0.243014395236969,""B"":0.4011077284812927}","{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.05}",0.9085956811904907,1.940623164176941,0.9418243765830994,"{""A__public_coverage"":0.49191561341285706,""A__SEX"":0.6763097643852234,""A__RAC1P"":1.2546193599700928,""B__income_binary"":0.3542608618736267,""B__civilian_at_work"":0.5160412192344666,""B__SEX"":0.6720234155654907,""B__RAC1P"":1.2525652647018433,""AB__SEX"":0.6562127470970154,""AB__RAC1P"":1.213349461555481}",0.18411028385162354,"{""income_binary"":0.3006021976470947,""civilian_at_work"":0.30741235613822937,""public_coverage"":0.5250362753868103}",0.05
0,F_Iplus_b0p1,0,"{""mapper_optimizer_steps"":2520,""adversary_optimizer_steps"":840}",0.3424144387245178,"{""income_binary"":0.26708850264549255,""civilian_at_work"":0.2456357777118683,""public_coverage"":0.4284667372703552}","{""A"":0.2563621401786804,""B"":0.4284667372703552}","{""source"":1.0,""individual"":-0.1,""extra_local"":-0.1,""coalition"":0.0}",0.8160857558250427,1.8492751121520996,0.9131197929382324,"{""A__public_coverage"":0.4786098599433899,""A__SEX"":0.6483603119850159,""A__RAC1P"":1.195791482925415,""B__income_binary"":0.2882053852081299,""B__civilian_at_work"":0.2895036041736603,""B__SEX"":0.6398034691810608,""B__RAC1P"":1.1872073411941528,""AB__SEX"":0.6326688528060913,""AB__RAC1P"":1.1829971075057983}",0.0758783370256424,"{""income_binary"":0.2925710082054138,""civilian_at_work"":0.2896477282047272,""public_coverage"":0.48979759216308594}",
0,F_Iplus_b0p1,5,"{""mapper_optimizer_steps"":2730,""adversary_optimizer_steps"":1470}",0.34070485830307007,"{""income_binary"":0.2668326795101166,""civilian_at_work"":0.24478144943714142,""public_coverage"":0.42560261487960815}","{""A"":0.2558070719242096,""B"":0.42560261487960815}","{""source"":1.0,""individual"":-0.1,""extra_local"":-0.1,""coalition"":0.0}",0.883376955986023,1.925438642501831,0.931476354598999,"{""A__public_coverage"":0.4876711070537567,""A__SEX"":0.6714162826538086,""A__RAC1P"":1.266392707824707,""B__income_binary"":0.3143933415412903,""B__civilian_at_work"":0.4660746455192566,""B__SEX"":0.6680948734283447,""B__RAC1P"":1.2179425954818726,""AB__SEX"":0.639092743396759,""AB__RAC1P"":1.2185509204864502}",0.059823304414749146,"{""income_binary"":0.2935400605201721,""civilian_at_work"":0.29106903076171875,""public_coverage"":0.49012237787246704}",
0,F_Iplus_b0p1,10,"{""mapper_optimizer_steps"":2940,""adversary_optimizer_steps"":2100}",0.33953237533569336,"{""income_binary"":0.266384094953537,""civilian_at_work"":0.2441851645708084,""public_coverage"":0.4237801432609558}","{""A"":0.2552846372127533,""B"":0.4237801432609558}","{""source"":1.0,""individual"":-0.1,""extra_local"":-0.1,""coalition"":0.0}",0.8996655941009521,1.9549832344055176,0.9495781064033508,"{""A__public_coverage"":0.491219162940979,""A__SEX"":0.6911981105804443,""A__RAC1P"":1.266013503074646,""B__income_binary"":0.3205859363079071,""B__civilian_at_work"":0.49150916934013367,""B__SEX"":0.6771488189697266,""B__RAC1P"":1.2409546375274658,""AB__SEX"":0.665501594543457,""AB__RAC1P"":1.216070532798767}",0.05406747758388519,"{""income_binary"":0.29568126797676086,""civilian_at_work"":0.29311466217041016,""public_coverage"":0.492702841758728}",
0,F_Iplus_b0p1,15,"{""mapper_optimizer_steps"":3150,""adversary_optimizer_steps"":2730}",0.3381716012954712,"{""income_binary"":0.26461437344551086,""civilian_at_work"":0.24247662723064423,""public_coverage"":0.42279767990112305}","{""A"":0.25354549288749695,""B"":0.42279767990112305}","{""source"":1.0,""individual"":-0.1,""extra_local"":-0.1,""coalition"":0.0}",0.8889486789703369,1.9420311450958252,0.9196769595146179,"{""A__public_coverage"":0.4848631024360657,""A__SEX"":0.6777055859565735,""A__RAC1P"":1.2623875141143799,""B__income_binary"":0.32485654950141907,""B__civilian_at_work"":0.4626500904560089,""B__SEX"":0.6710929274559021,""B__RAC1P"":1.247575283050537,""AB__SEX"":0.6280968189239502,""AB__RAC1P"":1.2085387706756592}",0.05507360398769379,"{""income_binary"":0.29519155621528625,""civilian_at_work"":0.29394498467445374,""public_coverage"":0.4957399070262909}",
