seed,condition,view,target,scope,split,loss120,loss360,loss360_minus120,gain360_minus120,candidate120,candidate360,selected_epoch120,selected_epoch360
0,F_I,A,RAC1P,expanded_independent,development_evaluation,1.2700868996855503,1.2700868996855503,0.0,0.0,wire__mlp_0,wire__mlp_0,55,55
0,F_I,A,RAC1P,expanded_independent,validation_person_weighted,1.2687579153445832,1.2687579153445832,0.0,0.0,wire__mlp_0,wire__mlp_0,55,55
0,F_I,A,RAC1P,expanded_independent,development_evaluation_person_weighted,1.2423812026906158,1.2423812026906158,0.0,0.0,wire__mlp_0,wire__mlp_0,55,55
0,F_I,A,RAC1P,expanded_catchup,validation,1.243757353803429,1.243757353803429,0.0,0.0,catchup,catchup,0,0
0,F_I,A,RAC1P,expanded_catchup,development_evaluation,1.267604565248665,1.267604565248665,0.0,0.0,catchup,catchup,0,0
0,F_I,A,RAC1P,expanded_catchup,validation_person_weighted,1.2586745921878668,1.2586745921878668,0.0,0.0,catchup,catchup,0,0
0,F_I,A,RAC1P,expanded_catchup,development_evaluation_person_weighted,1.233584581783303,1.233584581783303,0.0,0.0,catchup,catchup,0,0
0,F_I,B,income_binary,standard_independent,validation,0.3615049302488277,0.3615049302488277,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,standard_independent,development_evaluation,0.3568952139528088,0.3568952139528088,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,standard_independent,validation_person_weighted,0.3738173914670865,0.3738173914670865,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,standard_independent,development_evaluation_person_weighted,0.36125523385041003,0.36125523385041003,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,expanded_independent,validation,0.3615049302488277,0.3615049302488277,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,expanded_independent,development_evaluation,0.3568952139528088,0.3568952139528088,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,expanded_independent,validation_person_weighted,0.3738173914670865,0.3738173914670865,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,expanded_independent,development_evaluation_person_weighted,0.36125523385041003,0.36125523385041003,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,expanded_catchup,validation,0.3615049302488277,0.3615049302488277,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,expanded_catchup,development_evaluation,0.3568952139528088,0.3568952139528088,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,expanded_catchup,validation_person_weighted,0.3738173914670865,0.3738173914670865,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,income_binary,expanded_catchup,development_evaluation_person_weighted,0.36125523385041003,0.36125523385041003,0.0,0.0,wire__mlp_0,wire__mlp_0,40,40
0,F_I,B,civilian_at_work,standard_independent,validation,0.48578527348408373,0.48578527348408373,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,standard_independent,development_evaluation,0.46552190214114064,0.46552190214114064,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,standard_independent,validation_person_weighted,0.4702103633038814,0.4702103633038814,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,standard_independent,development_evaluation_person_weighted,0.4414519014852247,0.4414519014852247,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,expanded_independent,validation,0.48578527348408373,0.48578527348408373,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,expanded_independent,development_evaluation,0.46552190214114064,0.46552190214114064,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,expanded_independent,validation_person_weighted,0.4702103633038814,0.4702103633038814,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,expanded_independent,development_evaluation_person_weighted,0.4414519014852247,0.4414519014852247,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,expanded_catchup,validation,0.48578527348408373,0.48578527348408373,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,expanded_catchup,development_evaluation,0.46552190214114064,0.46552190214114064,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,expanded_catchup,validation_person_weighted,0.4702103633038814,0.4702103633038814,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,civilian_at_work,expanded_catchup,development_evaluation_person_weighted,0.4414519014852247,0.4414519014852247,0.0,0.0,wire__hist_gb_20,wire__hist_gb_20,,
0,F_I,B,same_residence,standard_independent,validation,0.5285298533682075,0.5285298533682075,0.0,0.0,wire__mlp_1,wire__mlp_1,25,25
0,F_I,B,same_residence,standard_independent,development_evaluation,0.5084435244827629,0.5084435244827629,0.0,0.0,wire__mlp_1,wire__mlp_1,25,25
0,F_I,B,same_residence,standard_independent,validation_person_weighted,0.5105557519834248,0.5105557519834248,0.0,0.0,wire__mlp_1,wire__mlp_1,25,25
0,F_I,B,same_residence,standard_independent,development_evaluation_person_weighted,0.48825297944684126,0.48825297944684126,0.0,0.0,wire__mlp_1,wire__mlp_1,25,25
0,F_I,B,same_residence,expanded_independent,validation,0.5285298533682075,0.5285298533682075,0.0,0.0,wire__mlp_1,wire__mlp_1,25,25
0,F_I,B,same_residence,expanded_independent,development_evaluation,0.5084435244827629,0.5084435244827629,0.0,0.0,wire__mlp_1,wire__mlp_1,25,25
0,F_I,B,same_residence,expanded_independent,validation_person_weighted,0.5105557519834248,0.5105557519834248,0.0,0.0,wire__mlp_1,wire__mlp_1,25,25
0,F_I,B,same_residence,expanded_independent,development_evaluation_person_weighted,0.48825297944684126,0.48825297944684126,0.0,0.0,wire__mlp_1,wire__mlp_1,25,25
0,F_I,B,same_residence,expanded_catchup,validation,0.5285298533682075,0.5285298533682075,0.0,0.0,wire__mlp_1,wire__mlp_1,25,25
