seed,condition,interface,regime,beta,stage,parameter_group,source_coefficient,individual_coefficient,extra_local_coefficient,coalition_coefficient,source_loss,individual_loss,extra_local_loss,coalition_loss,source_raw_l2,individual_raw_l2,extra_local_raw_l2,coalition_raw_l2,source_individual_raw_dot,source_individual_raw_cosine,source_coalition_raw_dot,source_coalition_raw_cosine,source_extra_local_raw_dot,source_extra_local_raw_cosine,individual_extra_local_raw_dot,individual_extra_local_raw_cosine,extra_local_coalition_raw_dot,extra_local_coalition_raw_cosine,individual_coalition_raw_dot,individual_coalition_raw_cosine,source_applied_l2,individual_applied_l2,extra_local_applied_l2,coalition_applied_l2,source_individual_applied_dot,source_individual_applied_cosine,source_coalition_applied_dot,source_coalition_applied_cosine,source_extra_local_applied_dot,source_extra_local_applied_cosine,individual_extra_local_applied_dot,individual_extra_local_applied_cosine,extra_local_coalition_applied_dot,extra_local_coalition_applied_cosine,individual_coalition_applied_dot,individual_coalition_applied_cosine,combined_protection_l2,objective_l2,training_json_sha256
0,F_Iplus_b0p025,F,Iplus,0.025,fork,A_mapper,1.0,-0.1,-0.025,0.0,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.10149084776639938,0.13422918319702148,0.3122413158416748,0.19352421164512634,0.00040420121513307095,0.029670426358090134,-0.00034462797339074314,-0.01754641265929902,0.00030809827148914337,0.009722367051597154,0.03682047128677368,0.8785207568858204,0.040881261229515076,0.6765479934786138,0.014845098368823528,0.5714797226899728,0.10149084776639938,0.013422917574644089,0.007806033827364445,0.0,-4.042012369609438e-05,-0.02967042960726624,0.0,,-7.70245969761163e-06,-0.009722369565248882,9.205118112731725e-05,0.8785207286109649,0.0,,0.0,,0.02062065154314041,0.1030987799167633,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
0,F_Iplus_b0p025,F,Iplus,0.025,fork,B_mapper,1.0,-0.1,-0.025,0.0,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.17017880082130432,0.197823166847229,0.3881152868270874,0.1721191108226776,0.0005398899083957076,0.01603698048470438,0.0031122711952775717,0.10625341088163351,0.005645449738949537,0.08547366718455054,0.0374639555811882,0.487950459266738,0.025170661509037018,0.3767947012112586,0.007170339580625296,0.21058793217147506,0.17017880082130432,0.01978231966495514,0.009702881798148155,0.0,-5.398900611908175e-05,-0.016036982607363283,0.0,,-0.0001411362609360367,-0.08547368104155748,9.36598953558132e-05,0.487950437848167,0.0,,0.0,,0.025938503444194794,0.171006977558136,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
0,F_Iplus_b0p025,F,Iplus,0.025,fork,A_heads,1.0,-0.1,-0.025,0.0,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.0360996387898922,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0360996387898922,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0360996387898922,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
0,F_Iplus_b0p025,F,Iplus,0.025,fork,B_heads,1.0,-0.1,-0.025,0.0,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.03671559318900108,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.03671559318900108,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.03671559318900108,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
0,F_Iplus_b0p025,F,Iplus,0.025,fork,all_mappers,1.0,-0.1,-0.025,0.0,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.19814445078372955,0.23906376957893372,0.49812453985214233,0.2589915096759796,0.0009440911235287786,0.019930501975795743,0.0027676429599523544,0.05393151521108338,0.005953548476099968,0.06031926522814511,0.07428441941738129,0.6238009511653348,0.06605193018913269,0.5119906718774176,0.022015437483787537,0.3555723890023369,0.19814445078372955,0.02390637807548046,0.012453115545213223,0.0,-9.440913709113374e-05,-0.01993050626651391,0.0,,-0.0001488387060817331,-0.06031925294486532,0.00018571107648313046,0.623800913218674,0.0,,0.0,,0.03313634172081947,0.1996815800666809,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
0,F_Iplus_b0p025,F,Iplus,0.025,final,A_mapper,1.0,-0.1,-0.025,0.0,0.3238883316516876,0.9131255745887756,1.9561693668365479,0.9146032333374023,0.16189344227313995,0.1460459977388382,0.32906410098075867,0.36814847588539124,0.001791614224202931,0.07577493707382697,-0.000781904673203826,-0.01311902454280434,0.0021621729247272015,0.0405864121713134,0.037087857723236084,0.771723246088838,0.012827111408114433,0.10588278455890641,0.009644526056945324,0.17937760613986634,0.16189344227313995,0.014604596421122551,0.008226603269577026,0.0,-0.00017916143406182528,-0.07577495939309369,0.0,,-5.4054322390584275e-05,-0.04058640794921585,9.271964518120512e-05,0.7717233606269964,0.0,,0.0,,0.02159653976559639,0.16189336776733398,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
0,F_Iplus_b0p025,F,Iplus,0.025,final,B_mapper,1.0,-0.1,-0.025,0.0,0.3238883316516876,0.9131255745887756,1.9561693668365479,0.9146032333374023,0.2865641117095947,0.37739941477775574,0.4736972153186798,0.5061994791030884,0.022091573104262352,0.20426954429927222,0.009710878133773804,0.06694451663561204,-0.004442422650754452,-0.032726325317589865,0.023588089272379875,0.13194432286740282,0.010904161259531975,0.045474689245688336,0.013541599735617638,0.07088381058960296,0.2865641117095947,0.03773994371294975,0.011842431500554085,0.0,-0.0022091572172939777,-0.20426952358980185,0.0,,0.00011106057354481891,0.032726324373173354,5.8970224927179515e-05,0.13194430650827954,0.0,,0.0,,0.041018132120370865,0.282144159078598,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
0,F_Iplus_b0p025,F,Iplus,0.025,final,A_heads,1.0,-0.1,-0.025,0.0,0.3238883316516876,0.9131255745887756,1.9561693668365479,0.9146032333374023,0.05182870849967003,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.05182870849967003,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.05182870849967003,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
0,F_Iplus_b0p025,F,Iplus,0.025,final,B_heads,1.0,-0.1,-0.025,0.0,0.3238883316516876,0.9131255745887756,1.9561693668365479,0.9146032333374023,0.02758396789431572,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.02758396789431572,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.02758396789431572,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
0,F_Iplus_b0p025,F,Iplus,0.025,final,all_mappers,1.0,-0.1,-0.025,0.0,0.3238883316516876,0.9131255745887756,1.9561693668365479,0.9146032333374023,0.32913291454315186,0.40467241406440735,0.576777458190918,0.6259163618087769,0.023883184418082237,0.1793152873087866,0.008928973227739334,0.04334249430804805,-0.0022802501916885376,-0.012011656567802526,0.06067594140768051,0.25995887228605713,0.023731272667646408,0.06573496652473333,0.023186126723885536,0.09153945039745733,0.32913291454315186,0.040467239916324615,0.014419439248740673,0.0,-0.002388318767771125,-0.17931531838501502,0.0,,5.700625479221344e-05,0.012011654240376321,0.00015168987738434225,0.2599588723867404,0.0,,0.0,,0.046356189996004105,0.3252919316291809,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c
