method,attribute,activity_acc,is_active_acc,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pairs_passing,train_time_s
Composed (emb₀ + emb₁),activity,0.2841,0.8019,0.9799,0.1922,0.7877,0.8755,False,,0.0
Composed (emb₀ + emb₁),subject_id,0.2841,0.8019,0.2278,0.044,0.1838,0.0353,False,0/2,0.0
Retrained union,activity,0.1754,0.5502,0.6091,0.1922,0.4168,0.2255,False,,394.3
Retrained union,subject_id,0.1754,0.5502,0.1987,0.044,0.1547,0.0352,False,0/2,394.3
