seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,validation_auroc,validation_coverage_complete
0,transfer,W,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,20,160,0.5133434888509725,False,,
0,transfer,W,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,25,200,0.5132421051322932,False,,
0,transfer,W,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,30,240,0.5113823930641552,True,,
0,transfer,W,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,35,280,0.5127023904392596,False,,
0,transfer,W,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,40,320,0.5122276343280981,False,,
0,transfer,W,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,0,0,0.6933955003986099,False,,
0,transfer,W,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,5,40,0.6747506328171078,False,,
0,transfer,W,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,10,80,0.6746667497361162,True,,
0,transfer,W,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,15,120,0.6757299845333798,False,,
0,transfer,W,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,20,160,0.679617673007256,False,,
0,transfer,W,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,25,200,0.6819844033537886,False,,
0,transfer,W,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,30,240,0.686298267950722,False,,
0,transfer,W,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,35,280,0.690104079596129,False,,
0,transfer,W,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,40,320,0.6942564406551996,False,,
0,transfer,W,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,0,0,0.6943769529664473,False,,
0,transfer,W,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,5,40,0.36913971435234044,False,,
0,transfer,W,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,10,80,0.30262766964842586,False,,
0,transfer,W,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,15,120,0.30024543897362177,False,,
0,transfer,W,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,20,160,0.29785868730790516,False,,
0,transfer,W,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,25,200,0.29764296561445447,False,,
0,transfer,W,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,30,240,0.296804043808312,False,,
0,transfer,W,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,35,280,0.29603212643620597,True,,
0,transfer,W,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,40,320,0.29658043867361555,False,,
0,transfer,W,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,0,0,0.6860965071755688,False,,
0,transfer,W,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,5,40,0.323909074271909,False,,
0,transfer,W,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,10,80,0.3014710095872425,False,,
0,transfer,W,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,15,120,0.30064499624099084,False,,
0,transfer,W,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,20,160,0.3001947298627574,False,,
0,transfer,W,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,25,200,0.3001006345980242,True,,
0,transfer,W,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,30,240,0.30079943001377574,False,,
0,transfer,W,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,35,280,0.3011512838272536,False,,
0,transfer,W,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,40,320,0.3023909555207818,False,,
0,transfer,W,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,0,0,0.6376321868648773,False,,
0,transfer,W,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,5,40,0.4995836262968881,False,,
0,transfer,W,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,10,80,0.4846492542271424,False,,
0,transfer,W,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,15,120,0.47870769876625535,False,,
0,transfer,W,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,20,160,0.48032309989129707,False,,
0,transfer,W,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,25,200,0.4784554503286502,True,,
0,transfer,W,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,30,240,0.4804801223020476,False,,
0,transfer,W,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,35,280,0.48285715481470065,False,,
