seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,I,commute_over20,logistic,logistic,False,False,True,False,False,2048,"[997,1051]",True,validation_person_weighted,1,975,115230.0,0.4930068583701637,1114,128823.0,0.5450812354936618,0.6093812375249501,0.5754405805296391,0.5935605637364976,True,True,,1051,True
0,transfer,I,commute_over20,logistic,logistic,False,False,True,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,807,92672.0,0.548644682320442,0.46217616580310883,0.5017120415231743,0.5597460845863502,True,True,,997,True
0,transfer,I,commute_over20,logistic,logistic,False,False,True,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1164,133879.0,0.5580636246162579,0.6410876858787894,0.5967015414104305,0.5597460845863502,True,True,,1051,True
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,validation,0,1009,1009.0,0.5085685483870968,932,932.0,0.5815450643776824,0.5371655104063429,0.5584750128799588,0.591179385530228,True,True,,997,True
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,validation,1,975,975.0,0.49143145161290325,1052,1052.0,0.5560836501901141,0.6,0.5772076961026147,0.5911793855302279,True,True,,1051,True
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,development_evaluation,0,959,959.0,0.4865550481988838,885,885.0,0.5389830508474577,0.49739311783107404,0.517353579175705,0.5731039826565058,True,True,,997,True
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,development_evaluation,1,1012,1012.0,0.5134449518011162,1086,1086.0,0.5561694290976059,0.5968379446640316,0.5757864632983795,0.5731039826565056,True,True,,1051,True
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,validation_person_weighted,0,1009,118499.0,0.5069931416298362,932,110448.0,0.581776039403158,0.5422493016818707,0.5613176848790331,0.59710751706634,True,True,,997,True
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,validation_person_weighted,1,975,115230.0,0.4930068583701637,1052,123281.0,0.5600051913920231,0.5991321704417253,0.5789083103085392,0.59710751706634,True,True,,1051,True
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,885,102749.0,0.5377959882821244,0.5022997909280974,0.5194421857594743,0.5731507974040503,True,True,,997,True
