seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,development_evaluation,1971,2,"[0,1]",False,1971.0,"[959,1012]","[959.0,1012.0]","[0.4865550481988838,0.5134449518011162]",True,True,"[true,true]",0.6895052151132907,1e-12,0.5484525621511923,0.5471155312475529,0.5471155312475529,0.5731039826565056,0.5731039826565056,0.5731039826565056
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,validation_person_weighted,1984,2,"[0,1]",True,233729.0,"[1009,975]","[118499.0,115230.0]","[0.5069931416298362,0.4930068583701637]",True,True,"[true,true]",0.6784161601652429,1e-12,0.570292946104249,0.570690736061798,0.570690736061798,0.59710751706634,0.59710751706634,0.59710751706634
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,development_evaluation_person_weighted,1971,2,"[0,1]",True,226551.0,"[959,1012]","[110010.0,116541.0]","[0.48558602698730086,0.5144139730126991]",True,True,"[true,true]",0.688463961479279,1e-12,0.5486976442390455,0.5473975679569911,0.5473975679569911,0.5731507974040504,0.5731507974040504,0.5731507974040504
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,validation,2984,2,"[0,1]",False,2984.0,"[2434,550]","[2434.0,550.0]","[0.8156836461126006,0.18431635388739948]",True,True,"[true,true]",0.3108546997637713,1e-12,0.8619302949061662,0.7274863673713303,0.7274863673713303,0.8882834092776574,0.8882834092776574,0.8882834092776574
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[2439,543]","[2439.0,543.0]","[0.817907444668008,0.18209255533199195]",True,True,"[true,true]",0.3029319443276749,1e-12,0.8621730382293763,0.7181810768383927,0.7181810768383927,0.8919137073507015,0.8919137073507015,0.8919137073507015
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[2434,550]","[288007.0,60383.0]","[0.8266798702603404,0.17332012973965957]",True,True,"[true,true]",0.29682052501044953,1e-12,0.8697321966761388,0.7192629254915492,0.7192629254915492,0.8920225016214204,0.8920225016214204,0.8920225016214204
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[2439,543]","[273575.0,60566.0]","[0.8187411900963965,0.18125880990360357]",True,True,"[true,true]",0.31071905443288017,1e-12,0.859304904217082,0.7037220769903227,0.7037220769903227,0.8832637595848737,0.8832637595848736,0.8832637595848736
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,validation,2984,2,"[0,1]",False,2984.0,"[2434,550]","[2434.0,550.0]","[0.8156836461126006,0.18431635388739948]",True,True,"[true,true]",0.30781521527148725,1e-12,0.8565683646112601,0.7361619481586614,0.7361619481586614,0.892385149772167,0.8923851497721671,0.8923851497721671
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[2439,543]","[2439.0,543.0]","[0.817907444668008,0.18209255533199195]",True,True,"[true,true]",0.2996246808517992,1e-12,0.8655264922870557,0.748863427860798,0.748863427860798,0.8948728345478667,0.8948728345478667,0.8948728345478667
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[2434,550]","[288007.0,60383.0]","[0.8266798702603404,0.17332012973965957]",True,True,"[true,true]",0.29482124625693107,1e-12,0.8632021585005311,0.7267660816214514,0.7267660816214514,0.8950269288635024,0.8950269288635024,0.8950269288635024
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[2439,543]","[273575.0,60566.0]","[0.8187411900963965,0.18125880990360357]",True,True,"[true,true]",0.3078177959333806,1e-12,0.8615315091533216,0.7301759990375478,0.7301759990375478,0.8873349633234864,0.8873349633234864,0.8873349633234864
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,validation,2984,2,"[0,1]",False,2984.0,"[981,2003]","[981.0,2003.0]","[0.32875335120643434,0.6712466487935657]",True,True,"[true,true]",0.3209863819368335,1e-12,0.8887399463806971,0.8404070754215263,0.8404070754215263,0.8663521028345351,0.8663521028345351,0.8663521028345351
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[972,2010]","[972.0,2010.0]","[0.32595573440643866,0.6740442655935613]",True,True,"[true,true]",0.2911958060740804,1e-12,0.9014084507042254,0.8570004913703089,0.8570004913703089,0.8875847101938865,0.8875847101938865,0.8875847101938865
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[981,2003]","[112512.0,235878.0]","[0.3229484198742788,0.6770515801257212]",True,True,"[true,true]",0.31167141136007526,1e-12,0.8973305778007405,0.8464451338244228,0.8464451338244228,0.8648275267177414,0.8648275267177414,0.8648275267177414
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[972,2010]","[100734.0,233407.0]","[0.3014715344719744,0.6985284655280256]",True,True,"[true,true]",0.27231717949192363,1e-12,0.9160144968740741,0.8664207154715551,0.8664207154715551,0.885619654836662,0.885619654836662,0.885619654836662
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,validation,2984,2,"[0,1]",False,2984.0,"[981,2003]","[981.0,2003.0]","[0.32875335120643434,0.6712466487935657]",True,True,"[true,true]",0.31112292937200947,1e-12,0.8857238605898123,0.8366000947610185,0.8366000947610185,0.8864590474125713,0.8864590474125713,0.8864590474125713
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[972,2010]","[972.0,2010.0]","[0.32595573440643866,0.6740442655935613]",True,True,"[true,true]",0.28652439693889825,1e-12,0.9004024144869215,0.8565198697868681,0.8565198697868681,0.8990326147042565,0.8990326147042564,0.8990326147042564
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[981,2003]","[112512.0,235878.0]","[0.3229484198742788,0.6770515801257212]",True,True,"[true,true]",0.3031995072936149,1e-12,0.8937455150836706,0.8423519073269192,0.8423519073269192,0.8837770464865151,0.883777046486515,0.883777046486515
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[972,2010]","[100734.0,233407.0]","[0.3014715344719744,0.6985284655280256]",True,True,"[true,true]",0.27051575448373727,1e-12,0.9147725062174351,0.8660508455613118,0.8660508455613118,0.8958260823774542,0.8958260823774542,0.8958260823774542
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,validation,2984,2,"[0,1]",False,2984.0,"[2275,709]","[2275.0,709.0]","[0.7623994638069705,0.23760053619302948]",True,True,"[true,true]",0.4999366397406053,1e-12,0.774798927613941,0.5828893814225267,0.5828893814225267,0.7005967234458066,0.7005967234458066,0.7005967234458066
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[2199,783]","[2199.0,783.0]","[0.7374245472837022,0.2625754527162978]",True,True,"[true,true]",0.5206554718584375,1e-12,0.7464788732394366,0.5678181827685521,0.5678181827685521,0.708688844401002,0.708688844401002,0.708688844401002
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[2275,709]","[263229.0,85161.0]","[0.7555584259020064,0.24444157409799364]",True,True,"[true,true]",0.5119351594813026,1e-12,0.7669192571543385,0.5776909659310896,0.5776909659310896,0.6881308687571843,0.6881308687571843,0.6881308687571843
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[2199,783]","[244261.0,89880.0]","[0.7310117585091324,0.26898824149086764]",True,True,"[true,true]",0.5290315674104525,1e-12,0.7404149745167459,0.5640832038859948,0.5640832038859948,0.7068235047953069,0.7068235047953069,0.7068235047953069
