source,p,seed,weight,kind,endpoint,value
E,0.5,0,person_weighted,absolute_recovery,A/commute_over20,0.007656265359383574
E,0.5,0,person_weighted,absolute_recovery,A/SEX,0.01615578282805985
E,0.5,0,person_weighted,absolute_recovery,A/RAC1P,0.045886748078525
E,0.5,0,person_weighted,absolute_recovery,B/income_binary,0.11220310730888083
E,0.5,0,person_weighted,absolute_recovery,B/civilian_at_work,0.1309013903418782
E,0.5,0,person_weighted,absolute_recovery,B/same_residence,0.002202782313028284
E,0.5,0,person_weighted,absolute_recovery,B/SEX,0.00024811544601921476
E,0.5,0,person_weighted,absolute_recovery,B/RAC1P,0.038952962983740846
E,0.5,0,person_weighted,absolute_recovery,AB/SEX,0.01793296043082293
E,0.5,0,person_weighted,absolute_recovery,AB/RAC1P,0.06614288341800678
E,0.75,0,unweighted,utility_loss,income_binary,0.3072256446088457
E,0.75,0,unweighted,utility_loss,civilian_at_work,0.28366089794497273
E,0.75,0,unweighted,utility_loss,same_residence,0.5121037937224198
E,0.75,0,unweighted,utility_loss,public_coverage,0.5235798535143447
E,0.75,0,unweighted,utility_loss,commute_over20,0.6903134455382539
E,0.75,0,unweighted,absolute_recovery,A/public_coverage,0.05521079103511173
E,0.75,0,unweighted,absolute_recovery,A/commute_over20,0.007739082715090245
E,0.75,0,unweighted,absolute_recovery,A/SEX,0.021466750438709215
E,0.75,0,unweighted,absolute_recovery,A/RAC1P,0.06291177063559023
E,0.75,0,unweighted,absolute_recovery,B/income_binary,0.1149020322216483
E,0.75,0,unweighted,absolute_recovery,B/civilian_at_work,0.1261309185801246
E,0.75,0,unweighted,absolute_recovery,B/same_residence,-0.001705897420858249
E,0.75,0,unweighted,absolute_recovery,B/SEX,0.00038711733673957305
E,0.75,0,unweighted,absolute_recovery,B/RAC1P,0.0327909927859209
E,0.75,0,unweighted,absolute_recovery,AB/SEX,0.022705625733725116
E,0.75,0,unweighted,absolute_recovery,AB/RAC1P,0.07736650440673226
E,0.75,0,person_weighted,utility_loss,income_binary,0.3201975533924631
E,0.75,0,person_weighted,utility_loss,civilian_at_work,0.26640921088567404
E,0.75,0,person_weighted,utility_loss,same_residence,0.4985227331301587
