left,right,comparison_family,weight,endpoint,estimate,bootstrap_se,critical_value,adjusted_low,adjusted_high,unadjusted_low,unadjusted_high,degenerate,significantly_better,significantly_worse
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,unweighted,utility/same_residence,2.9053983231182745e-05,0.001232713313888721,2.543749713046361,-0.0031066601552416804,0.0031647681217040462,-0.002338904004978733,0.0024497814940864643,False,False,False
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,unweighted,recovery/A/SEX,-0.001545762774729472,0.0016604314158071738,2.543749713046361,-0.005769484712222134,0.0026779591627631894,-0.00487709038032561,0.0016984113681691579,False,False,False
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,unweighted,recovery/AB/SEX,-0.0014466864758171383,0.001373080775117464,2.543749713046361,-0.0049394603035116625,0.002046087351877386,-0.0040867983474949104,0.001193954739210998,False,False,False
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,unweighted,recovery/A/RAC1P,0.000764266878968541,0.0023715896242098825,2.543749713046361,-0.005268463547079075,0.006796997305016156,-0.003743879512041096,0.0053330356294457905,False,False,False
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,unweighted,recovery/AB/RAC1P,-0.0033491034649972087,0.0018762597727608236,2.543749713046361,-0.008121838723557984,0.0014236317935635667,-0.00707417477355929,0.00032415425558538586,False,False,False
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,person_weighted,utility/same_residence,0.00040950359119982605,0.0013309649206114512,2.552080018916062,-0.0029872253885708617,0.0038062325709705136,-0.0022161143806538864,0.0029494005771707604,False,False,False
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,person_weighted,recovery/A/SEX,0.0016954275732891468,0.0019107709395228016,2.552080018916062,-0.0031810127621924662,0.00657186790877076,-0.0021020035824166005,0.005350199171500539,False,False,False
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,person_weighted,recovery/AB/SEX,-0.0004087685659537321,0.001663978898843717,2.552080018916062,-0.004655375865590734,0.00383783873368327,-0.003760512125684549,0.0029503872933585628,False,False,False
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,person_weighted,recovery/A/RAC1P,0.0023597220619591868,0.0026826612111489905,2.552080018916062,-0.004486644012535315,0.00920608813645369,-0.00276406843711562,0.007831824259615537,False,False,False
spectral_nlr16_L1,spectral_lin16_L1,C1_nonlinear_vs_original_rank16,person_weighted,recovery/AB/RAC1P,-0.0032260989435366483,0.0022716801277031275,2.552080018916062,-0.00902360840681649,0.0025714105197431917,-0.007936364312410618,0.0012442788203898812,False,False,False
