seed,condition,weight,residence_loss,residence_gain_vs_H,residence_gain_at_least_01,half_headroom_pass,half_headroom_ratio_defined,half_headroom_retained_fraction,source_allowance_pass,pca32_residence,better_bank_residence,half_headroom_threshold
0,H,unweighted,0.5262273841030627,0.0,False,False,True,-1.0349394980460078,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,E,unweighted,0.5073959302622054,0.01883145384085727,True,False,True,0.0979974957568785,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,A0,unweighted,0.49857063353049874,0.02765675057256395,True,True,True,0.6289445608711584,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,L025,unweighted,0.506613517890102,0.019613866212960684,True,False,True,0.14506895015737814,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,L20,unweighted,0.5006206612697787,0.025606722833284024,True,True,True,0.5056108934984753,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,J,unweighted,0.5086346707489072,0.017592713354155465,True,False,True,0.023472451914486554,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_L1,unweighted,0.4989328331996214,0.027294550903441295,True,True,True,0.6071539223065504,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_L2,unweighted,0.5026797347976553,0.023547649305407425,True,False,True,0.38173301384001235,False,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_C1,unweighted,0.5040965647028562,0.022130819400206447,True,False,True,0.29649376321743,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_S0,unweighted,0.4998208584481827,0.026406525654879998,True,True,True,0.5537285912605063,False,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_lin16_L1,unweighted,0.4989328331996214,0.027294550903441295,True,True,True,0.6071539223065504,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_lin16_L2,unweighted,0.5026797347976553,0.023547649305407425,True,False,True,0.38173301384001235,False,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_lin16_C1,unweighted,0.5040965647028562,0.022130819400206447,True,False,True,0.29649376321743,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_nlr16_L1,unweighted,0.5003729428182468,0.025854441284815843,True,True,True,0.5205141187172877,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_nlr16_L2,unweighted,0.5053282611734004,0.02089912292966234,True,False,True,0.2223925011264335,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_nlr16_C1,unweighted,0.5034900487887932,0.02273733531426947,True,False,True,0.33298294361630715,False,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_lin8_L1,unweighted,0.5039629370230662,0.02226444707999653,True,False,True,0.30453306507429284,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_lin8_L2,unweighted,0.5031699856943729,0.02305739840868981,True,False,True,0.352238563659466,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_lin8_C1,unweighted,0.5049066086898596,0.021320775413203097,True,False,True,0.24775993696910553,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_nlr8_L1,unweighted,0.5054699902322413,0.020757393870821428,True,False,True,0.2138658045041389,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_nlr8_L2,unweighted,0.5071943909988904,0.01903299310417228,True,False,True,0.11012249094009481,True,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,spectral_nlr8_C1,unweighted,0.5078641404826235,0.018363243620439174,True,False,True,0.06982905565283405,False,0.4924030236699547,0.5090248251857181,0.5007139244278365
0,H,person_weighted,0.5132533479365754,0.0,False,False,True,-1.8266874788648233,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,E,person_weighted,0.49361252819468654,0.01964081974188886,True,False,True,-0.2791882766733909,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,A0,person_weighted,0.48596177627856707,0.02729157165800833,True,False,True,0.3236140830014829,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,L025,person_weighted,0.49430759797158885,0.018945749964986547,True,False,True,-0.3339527895276932,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,L20,person_weighted,0.48653448673609456,0.026718861200480837,True,False,True,0.2784902547826281,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,J,person_weighted,0.496727380539537,0.016525967397038377,True,False,True,-0.5246073366691358,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_L1,person_weighted,0.48617328581574903,0.027080062120826365,True,False,True,0.3069492571771871,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_L2,person_weighted,0.48830404646683956,0.02494930146973584,True,False,True,0.13906673236631703,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_C1,person_weighted,0.489545154984233,0.02370819295234239,True,False,True,0.041279854540480776,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_S0,person_weighted,0.4870623822832041,0.026190965653371312,True,False,True,0.23689739110748725,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_lin16_L1,person_weighted,0.48617328581574903,0.027080062120826365,True,False,True,0.3069492571771871,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_lin16_L2,person_weighted,0.48830404646683956,0.02494930146973584,True,False,True,0.13906673236631703,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_lin16_C1,person_weighted,0.489545154984233,0.02370819295234239,True,False,True,0.041279854540480776,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_nlr16_L1,person_weighted,0.48724233862517646,0.026011009311398936,True,False,True,0.2227186399509045,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_nlr16_L2,person_weighted,0.4902027716833658,0.02305057625320961,True,False,True,-0.010533732195175017,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_nlr16_C1,person_weighted,0.48959163779691295,0.02366171013966245,True,False,True,0.03761747606121575,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_lin8_L1,person_weighted,0.49155743349573033,0.021695914440845065,True,False,True,-0.1172674684354388,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_lin8_L2,person_weighted,0.4888317765769654,0.024421571359609984,True,False,True,0.09748690346282027,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_lin8_C1,person_weighted,0.49112338338808403,0.022129964548491365,True,False,True,-0.08306868222789542,True,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_nlr8_L1,person_weighted,0.49434618775495015,0.01890716018162525,True,False,True,-0.33699327662289247,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_nlr8_L2,person_weighted,0.49509957233025004,0.018153775606325362,True,False,True,-0.39635240951760664,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
0,spectral_nlr8_C1,person_weighted,0.49446223713731885,0.01879111079925655,True,False,True,-0.3461368016381625,False,0.4773771037611872,0.4900690778275229,0.48372309079435505
1,H,unweighted,0.5295207455947797,0.0,False,False,True,-0.45182169973827097,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,E,unweighted,0.4997456059157413,0.029775139679038387,True,False,True,0.44582897738069815,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,A0,unweighted,0.498368890205257,0.031151855389522698,True,False,True,0.48733372943351794,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,L025,unweighted,0.5104344589810411,0.019086286613738568,True,False,True,0.12358510900192769,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,L20,unweighted,0.5150096046402821,0.01451114095449757,True,False,True,-0.0143448098231661,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,J,unweighted,0.5000084175616282,0.029512328033151514,True,False,True,0.43790582221070967,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,spectral_L1,unweighted,0.5003071561365522,0.029213589458227496,True,False,True,0.4288995543324472,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,spectral_L2,unweighted,0.49580153106939057,0.03371921452538912,True,True,True,0.5647335902422479,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,spectral_C1,unweighted,0.5005978115762887,0.028922934018490998,True,False,True,0.4201369740355878,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,spectral_S0,unweighted,0.4950961399517171,0.0344246056430626,True,True,True,0.5859994792099854,False,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,spectral_lin16_L1,unweighted,0.5003071561365522,0.029213589458227496,True,False,True,0.4288995543324472,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
1,spectral_lin16_L2,unweighted,0.49580153106939057,0.03371921452538912,True,True,True,0.5647335902422479,True,0.4813637119060091,0.5145337862322519,0.49794874906913045
