seed,objective,index,eigenvalue,above_tolerance,tolerance,dimension
0,U_only,0,0.21552496323465017,1,2.155249632346502e-11,128
0,U_only,1,0.1900553162265054,1,2.155249632346502e-11,128
0,U_only,2,0.08363785878662287,1,2.155249632346502e-11,128
0,U_only,3,0.06674654249883781,1,2.155249632346502e-11,128
0,U_only,4,0.06004804676836901,1,2.155249632346502e-11,128
0,U_only,5,0.0565575286029222,1,2.155249632346502e-11,128
0,U_only,6,0.04330887554368726,1,2.155249632346502e-11,128
0,U_only,7,0.039557579651333864,1,2.155249632346502e-11,128
0,U_only,8,0.03656413310134695,1,2.155249632346502e-11,128
0,U_only,9,0.0297177425370338,1,2.155249632346502e-11,128
0,U_only,10,0.023119036832472805,1,2.155249632346502e-11,128
0,U_only,11,0.018963672678024634,1,2.155249632346502e-11,128
0,U_only,12,0.013331616900132438,1,2.155249632346502e-11,128
0,U_only,13,0.012438234931706982,1,2.155249632346502e-11,128
0,U_only,14,0.011406939087051083,1,2.155249632346502e-11,128
0,U_only,15,0.010776567485158971,1,2.155249632346502e-11,128
0,U_only,16,0.009017679641000307,1,2.155249632346502e-11,128
0,U_only,17,0.008306154321244631,1,2.155249632346502e-11,128
0,U_only,18,0.007663917929138163,1,2.155249632346502e-11,128
0,U_only,19,0.007387247043868371,1,2.155249632346502e-11,128
0,U_only,20,0.006915139493366731,1,2.155249632346502e-11,128
0,U_only,21,0.00638840792857172,1,2.155249632346502e-11,128
0,U_only,22,0.006281487135748501,1,2.155249632346502e-11,128
0,U_only,23,0.005894951944718193,1,2.155249632346502e-11,128
0,U_only,24,0.005402507198123116,1,2.155249632346502e-11,128
0,U_only,25,0.004928523332885466,1,2.155249632346502e-11,128
0,U_only,26,0.0042453429776097,1,2.155249632346502e-11,128
0,U_only,27,0.00390468559050907,1,2.155249632346502e-11,128
0,U_only,28,0.003686315346611318,1,2.155249632346502e-11,128
0,U_only,29,0.0035169821808299657,1,2.155249632346502e-11,128
0,U_only,30,0.003213034975174975,1,2.155249632346502e-11,128
0,U_only,31,0.0014929680947432236,1,2.155249632346502e-11,128
0,U_only,32,2.624151535755501e-17,0,2.155249632346502e-11,128
0,U_only,33,1.990116059795703e-17,0,2.155249632346502e-11,128
0,U_only,34,1.750684250139578e-17,0,2.155249632346502e-11,128
0,U_only,35,1.2546418352082968e-17,0,2.155249632346502e-11,128
0,U_only,36,1.1878652616121065e-17,0,2.155249632346502e-11,128
