method,seed,train_time_s,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs
INLP,2,1617.0,clinical_decision_support,race,0.751305,0.748523,0.002782,1e-06,True,5,6
INLP,2,1617.0,clinical_decision_support,gender,0.536913,0.531284,0.005628,1e-06,True,5,6
LEACE,2,1186.2,billing_audit,race,0.751398,0.748523,0.002875,0.032074,True,3,6
LEACE,2,1186.2,billing_audit,gender,0.552386,0.531284,0.021102,0.02327,False,3,6
LEACE,2,1186.2,quality_research,race,0.751771,0.748523,0.003248,0.031588,True,3,6
LEACE,2,1186.2,quality_research,age_bucket,0.628729,0.254932,0.373797,0.157715,False,3,6
LEACE,2,1186.2,clinical_decision_support,race,0.751398,0.748523,0.002875,0.032074,True,3,6
LEACE,2,1186.2,clinical_decision_support,gender,0.552386,0.531284,0.021102,0.02327,False,3,6
LAFTR,2,1522.1,billing_audit,race,0.751305,0.748523,0.002782,0.0,True,5,6
LAFTR,2,1522.1,billing_audit,gender,0.534955,0.531284,0.003671,0.0,True,5,6
LAFTR,2,1522.1,quality_research,race,0.751305,0.748523,0.002782,0.0,True,5,6
LAFTR,2,1522.1,quality_research,age_bucket,0.308538,0.254932,0.053607,0.0,False,5,6
LAFTR,2,1522.1,clinical_decision_support,race,0.751305,0.748523,0.002782,0.0,True,5,6
LAFTR,2,1522.1,clinical_decision_support,gender,0.53421,0.531284,0.002925,0.0,True,5,6
