seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,30,360,0.6553279644121828,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,35,420,0.6574586463609241,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,40,480,0.6584332767854953,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,45,540,0.6609241009985056,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,50,600,0.66231947720775,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,55,660,0.665804681350211,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,60,720,0.6661509000373773,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,65,780,0.6685446997816004,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,70,840,0.6720808206932397,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,75,900,0.6753437555355438,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,80,960,0.6788883554613041,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,85,1020,0.6831734191242194,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,90,1080,0.69185818006788,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,95,1140,0.6888773502000483,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,100,1200,0.6923513700529343,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,105,1260,0.6948948336444531,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,110,1320,0.6964183997865108,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,115,1380,0.7036185051338606,False
0,audit,PCA16,SEX,mlp_0,mlp,False,False,False,False,2993,"[1512,1481]",True,120,1440,0.7105712297686789,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,0,0,0.6906216129557142,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,5,60,0.6631566906379526,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,10,120,0.6550846137526524,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,15,180,0.6518234777067802,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,20,240,0.6509224668633202,True
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,25,300,0.652787656204541,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,30,360,0.6546230259407563,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,35,420,0.6554363881710366,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,40,480,0.6597907237080991,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,45,540,0.660201904984739,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,50,600,0.663113038611724,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,55,660,0.6636295419902064,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,60,720,0.6682727882277509,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,65,780,0.67009808486733,False
