left,right,comparison_family,weight,endpoint,estimate,bootstrap_se,critical_value,adjusted_low,adjusted_high,unadjusted_low,unadjusted_high,degenerate,significantly_better,significantly_worse
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,unweighted,utility/same_residence,-0.0007415441159631664,0.001392178879258325,2.561718236115268,-0.004307914138893734,0.002824825906967401,-0.003471989802041556,0.001971217145778584,False,False,False
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,unweighted,recovery/A/SEX,-0.002104276892528604,0.0014757161005384632,2.561718236115268,-0.005884645738606897,0.0016760919535496895,-0.0050394105161080316,0.0008194081129032472,False,False,False
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,unweighted,recovery/AB/SEX,-0.00046657768445242576,0.0013821714023921974,2.561718236115268,-0.004007311371397532,0.0030741560024926807,-0.0033010442905720577,0.0022206208299827158,False,False,False
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,unweighted,recovery/A/RAC1P,-4.262388797382499e-05,0.0020724302744827604,2.561718236115268,-0.005351606315193683,0.005266358539246033,-0.004014771785287016,0.004111129371347593,False,False,False
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,unweighted,recovery/AB/RAC1P,0.0012814184219665699,0.001866633267176022,2.561718236115268,-0.003500370058697669,0.0060632069026308084,-0.0022902070281882957,0.005024345877755738,False,False,False
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,person_weighted,utility/same_residence,-0.0009810479419020874,0.0015913228801128145,2.564373307612352,-0.005061793859456199,0.0030996979756520247,-0.004036860040300702,0.0020475772639508925,False,False,False
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,person_weighted,recovery/A/SEX,-0.003368702615083078,0.001719101715816831,2.564373307612352,-0.007777121168194354,0.0010397159380281982,-0.006615538282817324,1.6366268572674068e-05,False,False,False
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,person_weighted,recovery/AB/SEX,-0.0006815240014383939,0.0015468947995723164,2.564373307612352,-0.004648339735146001,0.0032852917322692132,-0.0037395798414157507,0.002401444782542821,False,False,False
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,person_weighted,recovery/A/RAC1P,-0.001053991264488315,0.002374051380566351,2.564373307612352,-0.007141945255712918,0.005033962726736289,-0.005673449314857109,0.0035570722773056933,False,False,False
spectral_riv16_L1,spectral_nlr16_L1,repair_vs_defective,person_weighted,recovery/AB/RAC1P,0.0013669752390560082,0.0021345338575506786,2.564373307612352,-0.004106766409441779,0.0068407168875537945,-0.002658981229119356,0.005614913395404764,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,unweighted,utility/same_residence,-0.0007124901327319837,0.0012462549083618745,2.569875693698837,-0.0039152103298840365,0.0024902300644200695,-0.0031276342928371523,0.001794290282595165,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,unweighted,recovery/A/SEX,-0.003650039667258076,0.0014346651705207057,2.569875693698837,-0.007336950817575535,3.6871483059383245e-05,-0.006488264588409075,-0.0008531325173594406,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,unweighted,recovery/AB/SEX,-0.0019132641602695641,0.001477044074672564,2.569875693698837,-0.0057090838262924765,0.0018825555057533482,-0.004864012156490977,0.0007854645149777928,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,unweighted,recovery/A/RAC1P,0.0007216429909947157,0.0023345305359173513,2.569875693698837,-0.005277810289457005,0.006721096271446437,-0.00387857426688116,0.005416425609867685,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,unweighted,recovery/AB/RAC1P,-0.002067685043030639,0.002112624651237274,2.569875693698837,-0.007496867784154293,0.003361497698093015,-0.006192444612112367,0.00198398289998046,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,person_weighted,utility/same_residence,-0.0005715443507022614,0.0013996803099826677,2.601475640220579,-0.004212778581218561,0.0030696898798140376,-0.0033760487307940654,0.0021431482333266394,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,person_weighted,recovery/A/SEX,-0.0016732750417939313,0.0016614654710829938,2.601475640220579,-0.005995536991883948,0.002648986908296086,-0.0048895894968746705,0.0016872540061951013,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,person_weighted,recovery/AB/SEX,-0.001090292567392126,0.0016722675093278352,2.601475640220579,-0.005440655756840829,0.0032600706220565767,-0.004350496790952345,0.0021300254392344997,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,person_weighted,recovery/A/RAC1P,0.0013057307974708723,0.0026353459029712797,2.601475640220579,-0.0055500573726640174,0.008161518967605762,-0.0037886218235609706,0.006680384805756202,False,False,False
spectral_riv16_L1,spectral_L1,repair_vs_original,person_weighted,recovery/AB/RAC1P,-0.0018591237044806401,0.002323755427790196,2.601475640220579,-0.007904316843707185,0.004186069434745905,-0.006138421697071441,0.002782347441100652,False,False,False
spectral_riv16_L1,J,repair_vs_J,unweighted,utility/same_residence,-0.007970193287604843,0.003014226964492936,2.559812139179289,-0.0156860480615554,-0.00025433851365428556,-0.013846272996173338,-0.0019193232326733256,False,True,False
spectral_riv16_L1,J,repair_vs_J,unweighted,recovery/A/SEX,0.01606596860089508,0.0032001162683833895,2.559812139179289,0.007874272130302153,0.024257665071488008,0.009931729292885962,0.02249344199235854,False,False,True
spectral_riv16_L1,J,repair_vs_J,unweighted,recovery/AB/SEX,0.011910902666458742,0.002865289490812802,2.559812139179289,0.0045762998456132875,0.019245505487304197,0.0061174767117509014,0.017522833316359537,False,False,True
