year,seed,condition,weight,scope,kind,endpoint,value
2017,0,J,person_weighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.011126996453417415
2017,0,J,person_weighted,transport_all,additional_recovery,A/public_coverage,0.005838443535176263
2017,0,J,person_weighted,transport_all,additional_recovery,A/commute_over20,0.0036547660602632703
2017,0,J,person_weighted,transport_all,additional_recovery,A/SEX,-0.009906490911906651
2017,0,J,person_weighted,transport_all,additional_recovery,A/RAC1P,-0.0014227516855460642
2017,0,J,person_weighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,J,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,J,person_weighted,transport_all,additional_recovery,B/same_residence,0.0
2017,0,J,person_weighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,J,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,J,person_weighted,transport_all,additional_recovery,AB/SEX,0.0009211509737283574
2017,0,J,person_weighted,transport_all,additional_recovery,AB/RAC1P,0.0017873357086173325
2017,0,J,person_weighted,transport_all,residence_gain_vs_H,utility/same_residence,0.011126996453417415
2017,0,E,unweighted,common_fresh,additional_recovery,A/public_coverage,0.017474226718868724
2017,0,E,unweighted,common_fresh,additional_recovery,A/commute_over20,-4.1148795743906064e-05
2017,0,E,unweighted,common_fresh,additional_recovery,A/SEX,0.013553124635192204
2017,0,E,unweighted,common_fresh,additional_recovery,A/RAC1P,0.04048451846834822
2017,0,E,unweighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,E,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,E,unweighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,E,unweighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,E,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,E,unweighted,common_fresh,additional_recovery,AB/SEX,0.013192193024660792
2017,0,E,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.022168673873115496
2017,0,E,unweighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.020895143976799035
2017,0,E,unweighted,transport_all,additional_recovery,A/public_coverage,0.014614184206313718
2017,0,E,unweighted,transport_all,additional_recovery,A/commute_over20,0.0014773681142873363
2017,0,E,unweighted,transport_all,additional_recovery,A/SEX,0.01324010219736349
2017,0,E,unweighted,transport_all,additional_recovery,A/RAC1P,0.0569100446161237
2017,0,E,unweighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,E,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,E,unweighted,transport_all,additional_recovery,B/same_residence,0.0
2017,0,E,unweighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,E,unweighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,E,unweighted,transport_all,additional_recovery,AB/SEX,0.016529591154502365
2017,0,E,unweighted,transport_all,additional_recovery,AB/RAC1P,0.04462943382763984
2017,0,E,unweighted,transport_all,residence_gain_vs_H,utility/same_residence,0.020895143976799035
2017,0,E,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.016140364804997587
2017,0,E,person_weighted,common_fresh,additional_recovery,A/commute_over20,7.091460305119757e-05
2017,0,E,person_weighted,common_fresh,additional_recovery,A/SEX,0.012594453856391907
2017,0,E,person_weighted,common_fresh,additional_recovery,A/RAC1P,0.03467824149056642
2017,0,E,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,E,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,E,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,E,person_weighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,E,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,E,person_weighted,common_fresh,additional_recovery,AB/SEX,0.012378910607597216
2017,0,E,person_weighted,common_fresh,additional_recovery,AB/RAC1P,0.018811365269709057
2017,0,E,person_weighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.01705497347744589
2017,0,E,person_weighted,transport_all,additional_recovery,A/public_coverage,0.010766522159753822
2017,0,E,person_weighted,transport_all,additional_recovery,A/commute_over20,0.002805133733727705
2017,0,E,person_weighted,transport_all,additional_recovery,A/SEX,0.013998050537085693
2017,0,E,person_weighted,transport_all,additional_recovery,A/RAC1P,0.053665063170343696
2017,0,E,person_weighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,E,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,E,person_weighted,transport_all,additional_recovery,B/same_residence,0.0
2017,0,E,person_weighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,E,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,E,person_weighted,transport_all,additional_recovery,AB/SEX,0.014449423903244552
