seed,condition,weight,endpoint,stored,recomputed,abs_difference
0,H,unweighted,utility/income_binary,0.3117223530812915,0.3117223530812914,5.551115123125783e-17
0,H,unweighted,utility/civilian_at_work,0.28394290887555057,0.2839429088755505,5.551115123125783e-17
0,H,unweighted,utility/same_residence,0.5262273841030627,0.5262273841030627,0.0
0,H,unweighted,utility/public_coverage,0.5235798535143447,0.5235798535143447,0.0
0,H,unweighted,utility/commute_over20,0.6903134455382539,0.6903134455382539,0.0
0,H,unweighted,loss/A/public_coverage,0.5321973700391548,0.5321973700391548,0.0
0,H,unweighted,loss/A/commute_over20,0.6879241832000024,0.6879241832000023,1.1102230246251565e-16
0,H,unweighted,loss/A/SEX,0.6854833224079383,0.6854833224079382,1.1102230246251565e-16
0,H,unweighted,loss/A/RAC1P,1.2636783954516455,1.2636783954516457,2.220446049250313e-16
0,H,unweighted,loss/B/income_binary,0.3601096176259651,0.3601096176259651,0.0
0,H,unweighted,loss/B/civilian_at_work,0.5052411049823564,0.5052411049823565,1.1102230246251565e-16
0,H,unweighted,loss/B/same_residence,0.5307958542054685,0.5307958542054685,0.0
0,H,unweighted,loss/B/SEX,0.6925151149328395,0.6925151149328395,0.0
0,H,unweighted,loss/B/RAC1P,1.2544373204586616,1.2544373204586619,2.220446049250313e-16
0,H,unweighted,loss/AB/SEX,0.6805278212278747,0.6805278212278746,1.1102230246251565e-16
0,H,unweighted,loss/AB/RAC1P,1.2392954465599366,1.2392954465599366,0.0
0,H,person_weighted,utility/income_binary,0.3276190366216051,0.3276190366216051,0.0
0,H,person_weighted,utility/civilian_at_work,0.26370824145171967,0.26370824145171967,0.0
0,H,person_weighted,utility/same_residence,0.5132533479365754,0.5132533479365754,0.0
0,H,person_weighted,utility/public_coverage,0.5329774634757038,0.5329774634757038,0.0
0,H,person_weighted,utility/commute_over20,0.6896974226359572,0.6896974226359572,0.0
0,H,person_weighted,loss/A/public_coverage,0.5345706180171366,0.5345706180171366,0.0
0,H,person_weighted,loss/A/commute_over20,0.6899171926789158,0.689917192678916,2.220446049250313e-16
0,H,person_weighted,loss/A/SEX,0.6849479262059521,0.6849479262059522,1.1102230246251565e-16
0,H,person_weighted,loss/A/RAC1P,1.233259154947449,1.233259154947449,0.0
0,H,person_weighted,loss/B/income_binary,0.36162104755867513,0.36162104755867513,0.0
0,H,person_weighted,loss/B/civilian_at_work,0.4819625166720576,0.4819625166720576,0.0
0,H,person_weighted,loss/B/same_residence,0.509783617325407,0.509783617325407,0.0
0,H,person_weighted,loss/B/SEX,0.6925358909018476,0.6925358909018476,0.0
0,H,person_weighted,loss/B/RAC1P,1.222007183633246,1.2220071836332458,2.220446049250313e-16
0,H,person_weighted,loss/AB/SEX,0.681393571000426,0.6813935710004261,1.1102230246251565e-16
0,H,person_weighted,loss/AB/RAC1P,1.2082015933371688,1.2082015933371688,0.0
0,E,unweighted,utility/income_binary,0.30572674178469716,0.3057267417846972,5.551115123125783e-17
0,E,unweighted,utility/civilian_at_work,0.28356689430144677,0.28356689430144677,0.0
0,E,unweighted,utility/same_residence,0.5073959302622054,0.5073959302622054,0.0
0,E,unweighted,utility/public_coverage,0.5235798535143447,0.5235798535143447,0.0
0,E,unweighted,utility/commute_over20,0.6903134455382539,0.6903134455382539,0.0
0,E,unweighted,loss/A/public_coverage,0.5190379817648559,0.5190379817648559,0.0
0,E,unweighted,loss/A/commute_over20,0.6864723057920339,0.6864723057920339,0.0
0,E,unweighted,loss/A/SEX,0.6667528683051803,0.6667528683051803,0.0
0,E,unweighted,loss/A/RAC1P,1.2111959249947746,1.2111959249947746,0.0
0,E,unweighted,loss/B/income_binary,0.3601096176259651,0.3601096176259651,0.0
0,E,unweighted,loss/B/civilian_at_work,0.5052411049823564,0.5052411049823565,1.1102230246251565e-16
0,E,unweighted,loss/B/same_residence,0.5307958542054685,0.5307958542054685,0.0
0,E,unweighted,loss/B/SEX,0.6925151149328395,0.6925151149328395,0.0
0,E,unweighted,loss/B/RAC1P,1.2544373204586616,1.2544373204586619,2.220446049250313e-16
0,E,unweighted,loss/AB/SEX,0.6667528683051803,0.6667528683051803,0.0
0,E,unweighted,loss/AB/RAC1P,1.2000505962638215,1.2000505962638215,0.0
0,E,person_weighted,utility/income_binary,0.31772372564941576,0.31772372564941576,0.0
0,E,person_weighted,utility/civilian_at_work,0.2673095340303255,0.26730953403032554,5.551115123125783e-17
0,E,person_weighted,utility/same_residence,0.49361252819468654,0.49361252819468654,0.0
0,E,person_weighted,utility/public_coverage,0.5329774634757038,0.5329774634757038,0.0
0,E,person_weighted,utility/commute_over20,0.6896974226359572,0.6896974226359572,0.0
0,E,person_weighted,loss/A/public_coverage,0.5364929309787826,0.5364929309787826,0.0
0,E,person_weighted,loss/A/commute_over20,0.6840466057584851,0.6840466057584851,0.0
0,E,person_weighted,loss/A/SEX,0.6683085208336619,0.6683085208336619,0.0
0,E,person_weighted,loss/A/RAC1P,1.1968876421294747,1.196887642129475,2.220446049250313e-16
0,E,person_weighted,loss/B/income_binary,0.36162104755867513,0.36162104755867513,0.0
0,E,person_weighted,loss/B/civilian_at_work,0.4819625166720576,0.4819625166720576,0.0
0,E,person_weighted,loss/B/same_residence,0.509783617325407,0.509783617325407,0.0
0,E,person_weighted,loss/B/SEX,0.6925358909018476,0.6925358909018476,0.0
0,E,person_weighted,loss/B/RAC1P,1.222007183633246,1.2220071836332458,2.220446049250313e-16
0,E,person_weighted,loss/AB/SEX,0.6683085208336619,0.6683085208336619,0.0
0,E,person_weighted,loss/AB/RAC1P,1.1814329330607913,1.1814329330607913,0.0
0,A0,unweighted,utility/income_binary,0.307446756332383,0.307446756332383,0.0
0,A0,unweighted,utility/civilian_at_work,0.272388546719305,0.27238854671930496,5.551115123125783e-17
0,A0,unweighted,utility/same_residence,0.49857063353049874,0.49857063353049874,0.0
0,A0,unweighted,utility/public_coverage,0.5235798535143447,0.5235798535143447,0.0
0,A0,unweighted,utility/commute_over20,0.6903134455382539,0.6903134455382539,0.0
0,A0,unweighted,loss/A/public_coverage,0.515496845733067,0.515496845733067,0.0
0,A0,unweighted,loss/A/commute_over20,0.6917621490848492,0.6917621490848492,0.0
0,A0,unweighted,loss/A/SEX,0.6550135824926362,0.6550135824926362,0.0
0,A0,unweighted,loss/A/RAC1P,1.1973170389979064,1.1973170389979062,2.220446049250313e-16
0,A0,unweighted,loss/B/income_binary,0.3601096176259651,0.3601096176259651,0.0
0,A0,unweighted,loss/B/civilian_at_work,0.5052411049823564,0.5052411049823565,1.1102230246251565e-16
0,A0,unweighted,loss/B/same_residence,0.5307958542054685,0.5307958542054685,0.0
0,A0,unweighted,loss/B/SEX,0.6925151149328395,0.6925151149328395,0.0
0,A0,unweighted,loss/B/RAC1P,1.2544373204586616,1.2544373204586619,2.220446049250313e-16
0,A0,unweighted,loss/AB/SEX,0.6550135824926362,0.6550135824926362,0.0
0,A0,unweighted,loss/AB/RAC1P,1.2008875672221844,1.2008875672221844,0.0
0,A0,person_weighted,utility/income_binary,0.3172234004080134,0.3172234004080134,0.0
0,A0,person_weighted,utility/civilian_at_work,0.25556758878104907,0.25556758878104907,0.0
0,A0,person_weighted,utility/same_residence,0.48596177627856707,0.485961776278567,5.551115123125783e-17
0,A0,person_weighted,utility/public_coverage,0.5329774634757038,0.5329774634757038,0.0
0,A0,person_weighted,utility/commute_over20,0.6896974226359572,0.6896974226359572,0.0
0,A0,person_weighted,loss/A/public_coverage,0.5212004235581148,0.5212004235581148,0.0
0,A0,person_weighted,loss/A/commute_over20,0.690476977345371,0.690476977345371,0.0
0,A0,person_weighted,loss/A/SEX,0.6518318059600902,0.65183180596009,1.1102230246251565e-16
0,A0,person_weighted,loss/A/RAC1P,1.1816008365952482,1.1816008365952482,0.0
0,A0,person_weighted,loss/B/income_binary,0.36162104755867513,0.36162104755867513,0.0
0,A0,person_weighted,loss/B/civilian_at_work,0.4819625166720576,0.4819625166720576,0.0
0,A0,person_weighted,loss/B/same_residence,0.509783617325407,0.509783617325407,0.0
0,A0,person_weighted,loss/B/SEX,0.6925358909018476,0.6925358909018476,0.0
0,A0,person_weighted,loss/B/RAC1P,1.222007183633246,1.2220071836332458,2.220446049250313e-16
0,A0,person_weighted,loss/AB/SEX,0.6518318059600902,0.65183180596009,1.1102230246251565e-16
0,A0,person_weighted,loss/AB/RAC1P,1.185485529884538,1.185485529884538,0.0
0,L025,unweighted,utility/income_binary,0.30619225465558797,0.30619225465558797,0.0
0,L025,unweighted,utility/civilian_at_work,0.2711620378577753,0.2711620378577753,0.0
0,L025,unweighted,utility/same_residence,0.506613517890102,0.506613517890102,0.0
0,L025,unweighted,utility/public_coverage,0.5235798535143447,0.5235798535143447,0.0
0,L025,unweighted,utility/commute_over20,0.6903134455382539,0.6903134455382539,0.0
0,L025,unweighted,loss/A/public_coverage,0.5283645062493224,0.5283645062493225,1.1102230246251565e-16
0,L025,unweighted,loss/A/commute_over20,0.6871463299831315,0.6871463299831315,0.0
0,L025,unweighted,loss/A/SEX,0.6854833224079383,0.6854833224079382,1.1102230246251565e-16
0,L025,unweighted,loss/A/RAC1P,1.2618056715308776,1.2618056715308776,0.0
0,L025,unweighted,loss/B/income_binary,0.3601096176259651,0.3601096176259651,0.0
0,L025,unweighted,loss/B/civilian_at_work,0.5052411049823564,0.5052411049823565,1.1102230246251565e-16
0,L025,unweighted,loss/B/same_residence,0.5307958542054685,0.5307958542054685,0.0
0,L025,unweighted,loss/B/SEX,0.6925151149328395,0.6925151149328395,0.0
0,L025,unweighted,loss/B/RAC1P,1.2544373204586616,1.2544373204586619,2.220446049250313e-16
0,L025,unweighted,loss/AB/SEX,0.6819845672006953,0.6819845672006953,0.0
0,L025,unweighted,loss/AB/RAC1P,1.2392954465599366,1.2392954465599366,0.0
0,L025,person_weighted,utility/income_binary,0.31584568538223373,0.31584568538223373,0.0
0,L025,person_weighted,utility/civilian_at_work,0.25451495429617704,0.25451495429617704,0.0
0,L025,person_weighted,utility/same_residence,0.49430759797158885,0.49430759797158874,1.1102230246251565e-16
0,L025,person_weighted,utility/public_coverage,0.5329774634757038,0.5329774634757038,0.0
0,L025,person_weighted,utility/commute_over20,0.6896974226359572,0.6896974226359572,0.0
0,L025,person_weighted,loss/A/public_coverage,0.5337715690673863,0.5337715690673864,1.1102230246251565e-16
0,L025,person_weighted,loss/A/commute_over20,0.6875074918561932,0.6875074918561932,0.0
0,L025,person_weighted,loss/A/SEX,0.6849479262059521,0.6849479262059522,1.1102230246251565e-16
0,L025,person_weighted,loss/A/RAC1P,1.234063047893122,1.234063047893122,0.0
0,L025,person_weighted,loss/B/income_binary,0.36162104755867513,0.36162104755867513,0.0
0,L025,person_weighted,loss/B/civilian_at_work,0.4819625166720576,0.4819625166720576,0.0
0,L025,person_weighted,loss/B/same_residence,0.509783617325407,0.509783617325407,0.0
0,L025,person_weighted,loss/B/SEX,0.6925358909018476,0.6925358909018476,0.0
0,L025,person_weighted,loss/B/RAC1P,1.222007183633246,1.2220071836332458,2.220446049250313e-16
0,L025,person_weighted,loss/AB/SEX,0.6861733242725622,0.6861733242725622,0.0
0,L025,person_weighted,loss/AB/RAC1P,1.2082015933371688,1.2082015933371688,0.0
0,L20,unweighted,utility/income_binary,0.30631296439806716,0.3063129643980671,5.551115123125783e-17
0,L20,unweighted,utility/civilian_at_work,0.27141794148216103,0.27141794148216103,0.0
0,L20,unweighted,utility/same_residence,0.5006206612697787,0.5006206612697787,0.0
0,L20,unweighted,utility/public_coverage,0.5235798535143447,0.5235798535143447,0.0
0,L20,unweighted,utility/commute_over20,0.6903134455382539,0.6903134455382539,0.0
0,L20,unweighted,loss/A/public_coverage,0.5249495169686336,0.5249495169686336,0.0
0,L20,unweighted,loss/A/commute_over20,0.6867836779788128,0.6867836779788128,0.0
0,L20,unweighted,loss/A/SEX,0.6891628081366953,0.6891628081366953,0.0
0,L20,unweighted,loss/A/RAC1P,1.2636783954516455,1.2636783954516457,2.220446049250313e-16
0,L20,unweighted,loss/B/income_binary,0.3601096176259651,0.3601096176259651,0.0
0,L20,unweighted,loss/B/civilian_at_work,0.5052411049823564,0.5052411049823565,1.1102230246251565e-16
0,L20,unweighted,loss/B/same_residence,0.5307958542054685,0.5307958542054685,0.0
0,L20,unweighted,loss/B/SEX,0.6925151149328395,0.6925151149328395,0.0
0,L20,unweighted,loss/B/RAC1P,1.2544373204586616,1.2544373204586619,2.220446049250313e-16
0,L20,unweighted,loss/AB/SEX,0.6734645160562913,0.6734645160562913,0.0
0,L20,unweighted,loss/AB/RAC1P,1.2267547827596998,1.2267547827596998,0.0
0,L20,person_weighted,utility/income_binary,0.3173042696812552,0.3173042696812552,0.0
0,L20,person_weighted,utility/civilian_at_work,0.2539884265870961,0.2539884265870961,0.0
0,L20,person_weighted,utility/same_residence,0.48653448673609456,0.4865344867360946,5.551115123125783e-17
0,L20,person_weighted,utility/public_coverage,0.5329774634757038,0.5329774634757038,0.0
0,L20,person_weighted,utility/commute_over20,0.6896974226359572,0.6896974226359572,0.0
0,L20,person_weighted,loss/A/public_coverage,0.5300289722121284,0.5300289722121284,0.0
0,L20,person_weighted,loss/A/commute_over20,0.6875863341626502,0.6875863341626501,1.1102230246251565e-16
0,L20,person_weighted,loss/A/SEX,0.6887870291954379,0.6887870291954379,0.0
0,L20,person_weighted,loss/A/RAC1P,1.233259154947449,1.233259154947449,0.0
0,L20,person_weighted,loss/B/income_binary,0.36162104755867513,0.36162104755867513,0.0
0,L20,person_weighted,loss/B/civilian_at_work,0.4819625166720576,0.4819625166720576,0.0
0,L20,person_weighted,loss/B/same_residence,0.509783617325407,0.509783617325407,0.0
0,L20,person_weighted,loss/B/SEX,0.6925358909018476,0.6925358909018476,0.0
0,L20,person_weighted,loss/B/RAC1P,1.222007183633246,1.2220071836332458,2.220446049250313e-16
0,L20,person_weighted,loss/AB/SEX,0.6793048071449402,0.6793048071449402,0.0
0,L20,person_weighted,loss/AB/RAC1P,1.1990023706126316,1.1990023706126316,0.0
0,J,unweighted,utility/income_binary,0.3063656308983444,0.3063656308983444,0.0
0,J,unweighted,utility/civilian_at_work,0.2696347665621491,0.2696347665621491,0.0
0,J,unweighted,utility/same_residence,0.5086346707489072,0.5086346707489072,0.0
0,J,unweighted,utility/public_coverage,0.5235798535143447,0.5235798535143447,0.0
0,J,unweighted,utility/commute_over20,0.6903134455382539,0.6903134455382539,0.0
0,J,unweighted,loss/A/public_coverage,0.5290569926131944,0.5290569926131944,0.0
0,J,unweighted,loss/A/commute_over20,0.6880316489689802,0.6880316489689801,1.1102230246251565e-16
0,J,unweighted,loss/A/SEX,0.6901145203442303,0.6901145203442303,0.0
0,J,unweighted,loss/A/RAC1P,1.2604756748405055,1.2604756748405055,0.0
0,J,unweighted,loss/B/income_binary,0.3601096176259651,0.3601096176259651,0.0
0,J,unweighted,loss/B/civilian_at_work,0.5052411049823564,0.5052411049823565,1.1102230246251565e-16
0,J,unweighted,loss/B/same_residence,0.5307958542054685,0.5307958542054685,0.0
0,J,unweighted,loss/B/SEX,0.6925151149328395,0.6925151149328395,0.0
0,J,unweighted,loss/B/RAC1P,1.2544373204586616,1.2544373204586619,2.220446049250313e-16
0,J,unweighted,loss/AB/SEX,0.6839019566215278,0.6839019566215278,0.0
0,J,unweighted,loss/AB/RAC1P,1.2392954465599366,1.2392954465599366,0.0
0,J,person_weighted,utility/income_binary,0.3149209709221805,0.3149209709221805,0.0
0,J,person_weighted,utility/civilian_at_work,0.25324252817007686,0.2532425281700769,5.551115123125783e-17
0,J,person_weighted,utility/same_residence,0.496727380539537,0.4967273805395372,1.6653345369377348e-16
0,J,person_weighted,utility/public_coverage,0.5329774634757038,0.5329774634757038,0.0
0,J,person_weighted,utility/commute_over20,0.6896974226359572,0.6896974226359572,0.0
0,J,person_weighted,loss/A/public_coverage,0.5360970234737354,0.5360970234737354,0.0
0,J,person_weighted,loss/A/commute_over20,0.6887029227770077,0.6887029227770077,0.0
0,J,person_weighted,loss/A/SEX,0.6925699777262222,0.6925699777262223,1.1102230246251565e-16
0,J,person_weighted,loss/A/RAC1P,1.2345167667525188,1.2345167667525188,0.0
0,J,person_weighted,loss/B/income_binary,0.36162104755867513,0.36162104755867513,0.0
0,J,person_weighted,loss/B/civilian_at_work,0.4819625166720576,0.4819625166720576,0.0
0,J,person_weighted,loss/B/same_residence,0.509783617325407,0.509783617325407,0.0
0,J,person_weighted,loss/B/SEX,0.6925358909018476,0.6925358909018476,0.0
0,J,person_weighted,loss/B/RAC1P,1.222007183633246,1.2220071836332458,2.220446049250313e-16
0,J,person_weighted,loss/AB/SEX,0.6832156121072069,0.6832156121072069,0.0
0,J,person_weighted,loss/AB/RAC1P,1.2082015933371688,1.2082015933371688,0.0
