year,seed,condition,weight,scope,kind,endpoint,value,absolute_recovery,selected_candidate
2017,0,H,person_weighted,transport_all,utility_gain_vs_H,income_binary,0.0,0.28197811954307,
2017,0,H,person_weighted,transport_all,utility_gain_vs_H,civilian_at_work,0.0,0.29653956146964666,
2017,0,H,person_weighted,transport_all,utility_gain_vs_H,same_residence,0.0,0.5226624393800507,
2017,0,H,person_weighted,transport_all,utility_gain_vs_H,public_coverage,0.0,0.5010399670950519,
2017,0,H,person_weighted,transport_all,utility_gain_vs_H,commute_over20,0.0,0.692762840032161,
2017,0,J,unweighted,common_fresh,additional_recovery,A/public_coverage,0.007376384398787517,0.0578735480535042,wire__mlp_0
2017,0,J,unweighted,common_fresh,additional_recovery,A/commute_over20,0.0009400017944461991,0.008690279100993958,wire__mlp_1
2017,0,J,unweighted,common_fresh,additional_recovery,A/SEX,-0.004906819898206183,0.002642666831364826,wire__hist_gb_5
2017,0,J,unweighted,common_fresh,additional_recovery,A/RAC1P,0.0025357594795054617,0.02111647691089913,wire__mlp_0
2017,0,J,unweighted,common_fresh,additional_recovery,B/income_binary,0.0,0.11318382174447267,wire__mlp_0
2017,0,J,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0,0.12939487326426502,wire__hist_gb_5
2017,0,J,unweighted,common_fresh,additional_recovery,B/same_residence,0.0,0.007410065052168235,wire__mlp_0
2017,0,J,unweighted,common_fresh,additional_recovery,B/SEX,0.0,-6.643951747031807e-05,wire__mlp_0
2017,0,J,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0,0.025258634050528528,wire__mlp_1
2017,0,J,unweighted,common_fresh,additional_recovery,AB/SEX,0.006060023565751083,0.013609510295322091,wire__mlp_0
2017,0,J,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.0007544625132087646,0.037651024539835154,wire__mlp_0
2017,0,J,unweighted,common_fresh,utility_gain_vs_H,income_binary,0.010144043373736644,0.2760070557324069,
2017,0,J,unweighted,common_fresh,utility_gain_vs_H,civilian_at_work,0.004888509680237074,0.29270968613695636,
2017,0,J,unweighted,common_fresh,utility_gain_vs_H,same_residence,0.013386306892118505,0.5297807285483805,
2017,0,J,unweighted,common_fresh,utility_gain_vs_H,public_coverage,0.0,0.49303362462409717,
2017,0,J,unweighted,common_fresh,utility_gain_vs_H,commute_over20,0.0,0.6908776829664436,
2017,0,J,unweighted,transport_all,additional_recovery,A/public_coverage,0.007013690607664547,0.0582305079474813,catchup
2017,0,J,unweighted,transport_all,additional_recovery,A/commute_over20,0.0024585187044774415,0.008690279100993958,wire__mlp_1
2017,0,J,unweighted,transport_all,additional_recovery,A/SEX,-0.007170257032458327,0.002642666831364826,wire__hist_gb_5
2017,0,J,unweighted,transport_all,additional_recovery,A/RAC1P,0.001771787332295105,0.02111647691089913,wire__mlp_0
2017,0,J,unweighted,transport_all,additional_recovery,B/income_binary,0.0,0.11318382174447267,wire__mlp_0
2017,0,J,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0,0.12939487326426502,wire__hist_gb_5
2017,0,J,unweighted,transport_all,additional_recovery,B/same_residence,0.0,0.007410065052168235,wire__mlp_0
2017,0,J,unweighted,transport_all,additional_recovery,B/SEX,0.0,0.00040107076730033775,frozen2018__wire__kernel__0.0001
2017,0,J,unweighted,transport_all,additional_recovery,B/RAC1P,0.0,0.024997374577194753,catchup
2017,0,J,unweighted,transport_all,additional_recovery,AB/SEX,0.001742067833372718,0.013914927968192048,catchup
2017,0,J,unweighted,transport_all,additional_recovery,AB/RAC1P,0.003882921385235605,0.0430136954873539,catchup
2017,0,J,unweighted,transport_all,utility_gain_vs_H,income_binary,0.010144043373736644,0.2760070557324069,
2017,0,J,unweighted,transport_all,utility_gain_vs_H,civilian_at_work,0.004888509680237074,0.29270968613695636,
2017,0,J,unweighted,transport_all,utility_gain_vs_H,same_residence,0.013386306892118505,0.5297807285483805,
2017,0,J,unweighted,transport_all,utility_gain_vs_H,public_coverage,0.0,0.49303362462409717,
2017,0,J,unweighted,transport_all,utility_gain_vs_H,commute_over20,0.0,0.6908776829664436,
2017,0,J,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.005556059572512817,0.05428032596921084,wire__mlp_0
2017,0,J,person_weighted,common_fresh,additional_recovery,A/commute_over20,0.000920546929586763,0.005262996582739432,wire__mlp_1
2017,0,J,person_weighted,common_fresh,additional_recovery,A/SEX,-0.008213152776133992,-0.0019331117444431056,wire__hist_gb_5
2017,0,J,person_weighted,common_fresh,additional_recovery,A/RAC1P,-0.00054953611871289,0.019913974036952498,wire__mlp_0
2017,0,J,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0,0.10587971082207881,wire__mlp_0
2017,0,J,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0,0.1265659938103304,wire__hist_gb_5
2017,0,J,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0,0.01001874337995945,wire__mlp_0
2017,0,J,person_weighted,common_fresh,additional_recovery,B/SEX,0.0,-0.0004106134712759113,wire__mlp_0
2017,0,J,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0,0.024745359786336074,wire__mlp_1
2017,0,J,person_weighted,common_fresh,additional_recovery,AB/SEX,0.004106521734749902,0.010386562766440788,wire__mlp_0
2017,0,J,person_weighted,common_fresh,additional_recovery,AB/RAC1P,-0.0018321936107537073,0.03449819276576904,wire__mlp_0
2017,0,J,person_weighted,common_fresh,utility_gain_vs_H,income_binary,0.009575684819894792,0.2724024347231752,
2017,0,J,person_weighted,common_fresh,utility_gain_vs_H,civilian_at_work,0.0017352307747982576,0.2948043306948484,
2017,0,J,person_weighted,common_fresh,utility_gain_vs_H,same_residence,0.011126996453417415,0.5115354429266333,
2017,0,J,person_weighted,common_fresh,utility_gain_vs_H,public_coverage,0.0,0.5010399670950519,
2017,0,J,person_weighted,common_fresh,utility_gain_vs_H,commute_over20,0.0,0.692762840032161,
2017,0,J,person_weighted,transport_all,additional_recovery,A/public_coverage,0.005838443535176263,0.05512161021698747,catchup
2017,0,J,person_weighted,transport_all,additional_recovery,A/commute_over20,0.0036547660602632703,0.005262996582739432,wire__mlp_1
2017,0,J,person_weighted,transport_all,additional_recovery,A/SEX,-0.009906490911906651,-0.0019331117444431056,wire__hist_gb_5
2017,0,J,person_weighted,transport_all,additional_recovery,A/RAC1P,-0.0014227516855460642,0.019913974036952498,wire__mlp_0
2017,0,J,person_weighted,transport_all,additional_recovery,B/income_binary,0.0,0.10587971082207881,wire__mlp_0
2017,0,J,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0,0.1265659938103304,wire__hist_gb_5
2017,0,J,person_weighted,transport_all,additional_recovery,B/same_residence,0.0,0.01001874337995945,wire__mlp_0
2017,0,J,person_weighted,transport_all,additional_recovery,B/SEX,0.0,-0.0002929064998229425,frozen2018__wire__kernel__0.0001
2017,0,J,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0,0.025237958593029575,catchup
2017,0,J,person_weighted,transport_all,additional_recovery,AB/SEX,0.0009211509737283574,0.011381275955143932,catchup
2017,0,J,person_weighted,transport_all,additional_recovery,AB/RAC1P,0.0017873357086173325,0.041797347222324754,catchup
2017,0,J,person_weighted,transport_all,utility_gain_vs_H,income_binary,0.009575684819894792,0.2724024347231752,
2017,0,J,person_weighted,transport_all,utility_gain_vs_H,civilian_at_work,0.0017352307747982576,0.2948043306948484,
2017,0,J,person_weighted,transport_all,utility_gain_vs_H,same_residence,0.011126996453417415,0.5115354429266333,
2017,0,J,person_weighted,transport_all,utility_gain_vs_H,public_coverage,0.0,0.5010399670950519,
2017,0,J,person_weighted,transport_all,utility_gain_vs_H,commute_over20,0.0,0.692762840032161,
2017,0,E,unweighted,common_fresh,additional_recovery,A/public_coverage,0.017474226718868724,0.0679713903735854,wire__mlp_0
2017,0,E,unweighted,common_fresh,additional_recovery,A/commute_over20,-4.1148795743906064e-05,0.007709128510803853,wire__mlp_0
