left,right,comparison_family,weight,endpoint,estimate,bootstrap_se,critical_value,adjusted_low,adjusted_high,unadjusted_low,unadjusted_high,degenerate,significantly_better,significantly_worse,family_size,candidate_wide_alpha,candidate_wide_level,candidate_wide_critical_value,candidate_wide_low,candidate_wide_high,candidate_wide_better,candidate_wide_worse,percentile_estimable
dax16_C1_b030,dax16_L1_b030,coalition_vs_local,unweighted,recovery/AB/SEX,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L1_b030,coalition_vs_local,unweighted,recovery/A/RAC1P,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L1_b030,coalition_vs_local,unweighted,recovery/AB/RAC1P,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L1_b030,coalition_vs_local,person_weighted,utility/same_residence,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L1_b030,coalition_vs_local,person_weighted,recovery/A/SEX,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L1_b030,coalition_vs_local,person_weighted,recovery/AB/SEX,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L1_b030,coalition_vs_local,person_weighted,recovery/A/RAC1P,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L1_b030,coalition_vs_local,person_weighted,recovery/AB/RAC1P,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,utility/same_residence,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/A/SEX,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/AB/SEX,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/A/RAC1P,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/AB/RAC1P,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,utility/same_residence,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/A/SEX,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/AB/SEX,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/A/RAC1P,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/AB/RAC1P,0.0,0.0,nan,0.0,0.0,0.0,0.0,True,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,0.0,0.0,False,False,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,utility/same_residence,0.007169928658166347,0.001622969391126236,2.5355759169949024,0.0030547665560067827,0.011285090760325911,0.0041072480005518806,0.010505452905017745,False,False,True,850,0.05,5.882352941176471e-05,4.017481188886016,0.0006496796591789157,0.013690177657153777,False,True,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/A/SEX,-0.011172091155508546,0.0023041773119551585,2.5355759169949024,-0.017014507656188095,-0.005329674654828995,-0.015647176034544547,-0.006635109275504207,False,True,False,850,0.05,5.882352941176471e-05,4.017481188886016,-0.020429080162146337,-0.0019151021488707544,True,False,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/AB/SEX,-0.006369344846062219,0.0023845484937645147,2.5355759169949024,-0.012415548579757992,-0.00032314111236644676,-0.011062313054283401,-0.0017390266801192364,False,True,False,850,0.05,5.882352941176471e-05,4.017481188886016,-0.015949223563747648,0.003210533871623209,False,False,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/A/RAC1P,-0.013696292411759847,0.0033715203542372518,2.5355759169949024,-0.022245038225621946,-0.00514754659789775,-0.02043990706269881,-0.0071069688062645,False,True,False,850,0.05,5.882352941176471e-05,4.017481188886016,-0.027241312012854322,-0.00015127281066537254,True,False,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/AB/RAC1P,-0.01672912844744171,0.0034218919354613185,2.5355759169949024,-0.025405595229556505,-0.008052661665326918,-0.02339072020627482,-0.010136581880191125,False,True,False,850,0.05,5.882352941176471e-05,4.017481188886016,-0.030476514928558317,-0.0029817419663251063,True,False,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,utility/same_residence,0.0072984446310912126,0.001907528551537198,2.5461507951532343,0.0024415892928172783,0.012155299969365147,0.0038991183705715626,0.011354451807043588,False,False,True,850,0.05,5.882352941176471e-05,4.017481188886016,-0.0003650154419724723,0.014961904704154897,False,False,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/A/SEX,-0.013330952084027941,0.0027530520082746156,2.5461507951532343,-0.02034063764399456,-0.00632126652406132,-0.018654765429542745,-0.008072888188510647,False,True,False,850,0.05,5.882352941176471e-05,4.017481188886016,-0.02439128673929608,-0.002270617428759803,True,False,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/AB/SEX,-0.00610045411559231,0.0028920869770504695,2.5461507951532343,-0.013464143671861675,0.0012632354406770562,-0.011530220250083328,-0.00022153494498465266,False,False,False,850,0.05,5.882352941176471e-05,4.017481188886016,-0.017719359142514806,0.005518450911330186,False,False,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/A/RAC1P,-0.01428446548314799,0.0038351372192140533,2.5461507951532343,-0.024049303163371616,-0.004519627802924364,-0.022070826988768357,-0.006982262776872255,False,True,False,850,0.05,5.882352941176471e-05,4.017481188886016,-0.02969205711813708,0.0011231261518411008,False,False,False
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/AB/RAC1P,-0.01800241846430143,0.00406576866602124,2.5461507951532343,-0.028354478586200514,-0.0076503583424023455,-0.026245216333203127,-0.01023857991910821,False,True,False,850,0.05,5.882352941176471e-05,4.017481188886016,-0.03433656759840395,-0.0016682693301989134,True,False,False
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,utility/same_residence,0.0034568413838410765,0.001317436128577005,2.5659034660764446,7.642745519100729e-05,0.006837255312491146,0.0008443223546826631,0.00603027911453999,False,False,True,850,0.05,5.882352941176471e-05,4.017481188886016,-0.0018359334802758552,0.008749616247958008,False,False,False
