seed,condition,weight,endpoint,recovery_budget_120,recovery_budget_360,catchup_gain
0,spectral_L025,unweighted,AB/RAC1P,0.08189713970137369,0.08189713970137369,0.0
0,spectral_L025,person_weighted,A/SEX,0.030501252312735594,0.030501252312735594,0.0
0,spectral_L025,person_weighted,AB/SEX,0.03305149158332421,0.03305149158332421,0.0
0,spectral_L025,person_weighted,A/RAC1P,0.06702019036855389,0.06702019036855389,0.0
0,spectral_L025,person_weighted,AB/RAC1P,0.07654766813933422,0.07654766813933422,0.0
0,spectral_L1,unweighted,A/SEX,0.022634608659861777,0.022634608659861777,0.0
0,spectral_L1,unweighted,AB/SEX,0.027957954165242604,0.027957954165242604,0.0
0,spectral_L1,unweighted,A/RAC1P,0.06482572138143428,0.06482572138143428,0.0
0,spectral_L1,unweighted,AB/RAC1P,0.07228013131297462,0.07228013131297462,0.0
0,spectral_L1,person_weighted,A/SEX,0.02396337893940026,0.02396337893940026,0.0
0,spectral_L1,person_weighted,AB/SEX,0.030861832118304955,0.030861832118304955,0.0
0,spectral_L1,person_weighted,A/RAC1P,0.06500751058282961,0.06500751058282961,0.0
0,spectral_L1,person_weighted,AB/RAC1P,0.06939128385315052,0.06939128385315052,0.0
0,spectral_C025,unweighted,A/SEX,0.02705868124645916,0.02705868124645916,0.0
0,spectral_C025,unweighted,AB/SEX,0.02705868124645916,0.02705868124645916,0.0
0,spectral_C025,unweighted,A/RAC1P,0.07434870914202629,0.07434870914202629,0.0
0,spectral_C025,unweighted,AB/RAC1P,0.07257938005050635,0.07257938005050635,0.0
0,spectral_C025,person_weighted,A/SEX,0.03261686699745481,0.03261686699745481,0.0
0,spectral_C025,person_weighted,AB/SEX,0.03261686699745481,0.03261686699745481,0.0
0,spectral_C025,person_weighted,A/RAC1P,0.06914657087520282,0.06914657087520282,0.0
0,spectral_C025,person_weighted,AB/RAC1P,0.07067576927185248,0.07067576927185248,0.0
0,spectral_C1,unweighted,A/SEX,0.02154369823903135,0.02154369823903135,0.0
0,spectral_C1,unweighted,AB/SEX,0.023609333360399387,0.023609333360399387,0.0
0,spectral_C1,unweighted,A/RAC1P,0.05558972335768009,0.05558972335768009,0.0
0,spectral_C1,unweighted,AB/RAC1P,0.07172945254300944,0.07172945254300944,0.0
0,spectral_C1,person_weighted,A/SEX,0.023438958079356476,0.023438958079356476,0.0
0,spectral_C1,person_weighted,AB/SEX,0.02440252504423901,0.02440252504423901,0.0
0,spectral_C1,person_weighted,A/RAC1P,0.05537209535515286,0.05537209535515286,0.0
0,spectral_C1,person_weighted,AB/RAC1P,0.06978946926112983,0.06978946926112983,0.0
0,spectral_L2,unweighted,A/SEX,0.021647208659879014,0.021647208659879014,0.0
0,spectral_L2,unweighted,AB/SEX,0.021647208659879014,0.021647208659879014,0.0
0,spectral_L2,unweighted,A/RAC1P,0.058248106921293896,0.058248106921293896,0.0
0,spectral_L2,unweighted,AB/RAC1P,0.0707541976618189,0.0707541976618189,0.0
0,spectral_L2,person_weighted,A/SEX,0.02502496779154273,0.02502496779154273,0.0
0,spectral_L2,person_weighted,AB/SEX,0.02502496779154273,0.02502496779154273,0.0
0,spectral_L2,person_weighted,A/RAC1P,0.05615086976681871,0.05615086976681871,0.0
0,spectral_L2,person_weighted,AB/RAC1P,0.06911337807512896,0.06911337807512896,0.0
0,leace_A0,unweighted,A/SEX,0.009689927865194736,0.009689927865194736,0.0
0,leace_A0,unweighted,AB/SEX,0.009689927865194736,0.009689927865194736,0.0
0,leace_A0,unweighted,A/RAC1P,0.017035674699698244,0.019686413052045104,0.0026507383523468597
0,leace_A0,unweighted,AB/RAC1P,0.03999977218151152,0.03999977218151152,0.0
0,leace_A0,person_weighted,A/SEX,0.00882230431265807,0.00882230431265807,0.0
0,leace_A0,person_weighted,AB/SEX,0.00882230431265807,0.00882230431265807,0.0
0,leace_A0,person_weighted,A/RAC1P,0.018724007365358064,0.01945925749108146,0.0007352501257233968
0,leace_A0,person_weighted,AB/RAC1P,0.04468590489667901,0.04468590489667901,0.0
0,splince_A0,unweighted,A/SEX,-0.0011529799218552572,-0.0011529799218552572,0.0
0,splince_A0,unweighted,AB/SEX,0.006542192555564208,0.006542192555564208,0.0
0,splince_A0,unweighted,A/RAC1P,0.017035674699698244,0.019686413052045104,0.0026507383523468597
0,splince_A0,unweighted,AB/RAC1P,0.03999977218151152,0.03999977218151152,0.0
0,splince_A0,person_weighted,A/SEX,-0.0004950715215966683,-0.0004950715215966683,0.0
0,splince_A0,person_weighted,AB/SEX,0.006375280641869541,0.006375280641869541,0.0
0,splince_A0,person_weighted,A/RAC1P,0.018724007365358064,0.01945925749108146,0.0007352501257233968
0,splince_A0,person_weighted,AB/RAC1P,0.04468590489667901,0.04468590489667901,0.0
0,optnet16_L1,unweighted,A/SEX,0.01062025165956837,0.01062025165956837,0.0
0,optnet16_L1,unweighted,AB/SEX,0.015327512414725075,0.015327512414725075,0.0
