left,right,family,weight,endpoint,seed,estimate,sign
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,utility/same_residence,2,0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/A/SEX,0,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/A/SEX,1,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/A/SEX,2,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/AB/SEX,0,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/AB/SEX,1,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/AB/SEX,2,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/A/RAC1P,0,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/A/RAC1P,1,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/A/RAC1P,2,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/AB/RAC1P,0,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/AB/RAC1P,1,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,unweighted,recovery/AB/RAC1P,2,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,utility/same_residence,0,0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,utility/same_residence,1,0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,utility/same_residence,2,0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/A/SEX,0,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/A/SEX,1,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/A/SEX,2,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/AB/SEX,0,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/AB/SEX,1,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/AB/SEX,2,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/A/RAC1P,0,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/A/RAC1P,1,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/A/RAC1P,2,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/AB/RAC1P,0,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/AB/RAC1P,1,-0.0,0
dax16_C1_b030,dax16_L2_b030,coalition_vs_local,person_weighted,recovery/AB/RAC1P,2,-0.0,0
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,utility/same_residence,0,0.0007880151373290678,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,utility/same_residence,1,0.012144656736322867,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,utility/same_residence,2,0.008577114100847105,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/A/SEX,0,5.07685707462624e-06,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/A/SEX,1,-0.01865151217720129,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/A/SEX,2,-0.014869838146398973,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/AB/SEX,0,-0.007174676692554116,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/AB/SEX,1,-0.006675966244965359,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/AB/SEX,2,-0.005257391600667183,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/A/RAC1P,0,0.0296060953604822,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/A/RAC1P,1,-0.024007159927852628,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/A/RAC1P,2,-0.04668781266790911,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/AB/RAC1P,0,0.01783404703434388,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/AB/RAC1P,1,-0.03231976856759,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,unweighted,recovery/AB/RAC1P,2,-0.03570166380907902,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,utility/same_residence,0,0.0033870458626765187,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,utility/same_residence,1,0.011033377666565591,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,utility/same_residence,2,0.007474910364031528,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/A/SEX,0,-0.004331640214122245,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/A/SEX,1,-0.022302122959956372,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/A/SEX,2,-0.013359093078005202,-1
