seed,condition,ambient_width,numerical_rank_1e-10,effective_rank_entropy,components_for_99pct,top_singular_share,per_coordinate_std_mean
0,dax16_L1_b010,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_L1_b030,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_L1_b100,16,16,2.135377354373368,9,0.8209457023133613,1.4938747244825226
0,dax16_L1_b300,16,16,1.9647120873220665,8,0.8394341443994686,1.4725734717505161
0,dax16_L2_b010,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_L2_b030,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_L2_b100,16,16,2.0632842866940853,9,0.8281153355843153,1.4891139028431875
0,dax16_L2_b300,16,16,1.7588627719988155,7,0.868870125895783,1.4455295050788095
0,dax16_C1_b010,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_C1_b030,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_C1_b100,16,16,2.08460008273099,9,0.8263324567389081,1.4919745119987529
0,dax16_C1_b300,16,16,2.1110335545801724,10,0.829678833936275,1.4789778021638451
0,dax8_L1_b010,8,8,2.085220547112494,7,0.8187155694051504,1.5208993780163207
0,dax8_L1_b030,8,8,2.085220547112494,7,0.8187155694051504,1.5208993780163207
0,dax8_L1_b100,8,8,2.0329847322595245,7,0.8254387515867792,1.4998209628012795
0,dax8_L1_b300,8,8,1.9005975982487016,6,0.8424207120476336,1.4413129164701464
0,dax8_L2_b010,8,8,2.085220547112494,7,0.8187155694051504,1.5208993780163207
0,dax8_L2_b030,8,8,2.085220547112494,7,0.8187155694051504,1.5208993780163207
0,dax8_L2_b100,8,8,1.9328217863953638,6,0.837765930525431,1.4551415512066652
0,dax8_L2_b300,8,8,1.871576454935368,6,0.8472427805244326,1.4372944118160784
0,dax8_C1_b010,8,8,2.085220547112494,7,0.8187155694051504,1.5208993780163207
0,dax8_C1_b030,8,8,2.085220547112494,7,0.8187155694051504,1.5208993780163207
0,dax8_C1_b100,8,8,2.0006313855913422,7,0.8296952960044113,1.4894054289198406
0,dax8_C1_b300,8,8,1.8761483180503868,6,0.8474470070224633,1.4358409162237098
0,dax16_none,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax8_none,8,8,2.085220547112494,7,0.8187155694051504,1.5208993780163207
0,dax16_L2_b030_single,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_L2_b100_single,16,16,2.1047158100865606,9,0.8237786509291066,1.487572872384598
0,dax16_C1_b030_single,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_C1_b100_single,16,16,2.1107639976673815,9,0.8237858349631513,1.490979967337526
0,dax16_L2_b030_r1,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_L2_b030_r2,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_L2_b100_r1,16,16,2.055643801900891,9,0.8287681138582204,1.486166912497871
0,dax16_L2_b100_r2,16,16,2.0397457798028604,8,0.8306962991450914,1.488062307336686
0,dax16_C1_b030_r1,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_C1_b030_r2,16,16,2.341705708622103,11,0.8032815774138935,1.5101890743423025
0,dax16_C1_b100_r1,16,16,2.0985589273381082,9,0.8241406485929755,1.4899939244951406
0,dax16_C1_b100_r2,16,16,2.0878685424912806,9,0.8254397672883202,1.4938836560440232
0,leace_dax16_none,16,6,2.689927457486684,6,0.692772468109332,0.5698394991292776
0,splince_dax16_none,16,6,1.3711678189822538,2,0.9108681943709455,4.229975020538275
0,leace_dax8_none,8,0,1.0,1,1.0,1.4883822653184619e-21
1,dax16_L1_b010,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_L1_b030,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_L1_b100,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
