seed,arm,weight,teacher_distortion,source_cross_entropy,monitor_penalty,residence_gain_vs_H,income_loss,employment_loss,commute_gain_vs_H
0,dax16_C1_b010,unweighted,0.0,0.23283565044403076,0.09396465122699738,0.02765675057256395,0.307446756332383,0.272388546719305,0.0
0,dax16_C1_b010,person_weighted,0.0,0.23283565044403076,0.09396465122699738,0.02729157165800833,0.3172234004080134,0.25556758878104907,0.0
0,dax16_C1_b030,unweighted,0.0,0.23283565044403076,0.09396465122699738,0.02765675057256395,0.307446756332383,0.272388546719305,0.0
0,dax16_C1_b030,person_weighted,0.0,0.23283565044403076,0.09396465122699738,0.02729157165800833,0.3172234004080134,0.25556758878104907,0.0
0,dax16_C1_b030_single,unweighted,0.0,0.23283565044403076,0.09049832820892334,0.02765675057256395,0.307446756332383,0.272388546719305,0.0
0,dax16_C1_b030_single,person_weighted,0.0,0.23283565044403076,0.09049832820892334,0.02729157165800833,0.3172234004080134,0.25556758878104907,0.0
0,dax16_C1_b100,unweighted,0.02877100557088852,0.24694731831550598,0.022662442177534103,0.020928571723899392,0.3096081559524892,0.27432084104258325,0.0
0,dax16_C1_b100,person_weighted,0.02877100557088852,0.24694731831550598,0.022662442177534103,0.0174962942436499,0.31962820349291177,0.25603312391979877,0.0
0,dax16_C1_b100_single,unweighted,0.025411048904061317,0.2456425428390503,0.007771780248731375,0.020039286291121283,0.30893294021856493,0.27268040986791464,0.0
0,dax16_C1_b100_single,person_weighted,0.025411048904061317,0.2456425428390503,0.007771780248731375,0.01926540992731396,0.3182727664221835,0.25497738069677733,0.0
0,dax16_C1_b300,unweighted,0.05466275289654732,0.2495288848876953,0.022017240524291992,0.02202486547446103,0.3115002093313778,0.27243559887830815,0.0
0,dax16_C1_b300,person_weighted,0.05466275289654732,0.2495288848876953,0.022017240524291992,0.02185642695526846,0.3210596800021256,0.25457831210329457,0.0
0,dax16_L1_b010,unweighted,0.0,0.23283565044403076,0.04600609466433525,0.02765675057256395,0.307446756332383,0.272388546719305,0.0
0,dax16_L1_b010,person_weighted,0.0,0.23283565044403076,0.04600609466433525,0.02729157165800833,0.3172234004080134,0.25556758878104907,0.0
0,dax16_L1_b030,unweighted,0.0,0.23283565044403076,0.04600609466433525,0.02765675057256395,0.307446756332383,0.272388546719305,0.0
