seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete,evidence_audit_budget,origin_metrics,origin_release
0,transfer,E_F_W,commute_over20,logistic,logistic,False,False,True,True,,False,False,2048,"[997,1051]",True,validation,1,975,975.0,0.49143145161290325,1127,1127.0,0.546583850931677,0.6317948717948718,0.5861084681255947,0.5819831770475973,True,True,,1051,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,logistic,logistic,False,False,True,True,,False,False,2048,"[997,1051]",True,development_evaluation,0,959,959.0,0.4865550481988838,787,787.0,0.5298602287166455,0.4348279457768509,0.47766323024054985,0.5550206695874738,True,True,,997,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,logistic,logistic,False,False,True,True,,False,False,2048,"[997,1051]",True,development_evaluation,1,1012,1012.0,0.5134449518011162,1184,1184.0,0.5422297297297297,0.6343873517786561,0.5846994535519126,0.5550206695874738,True,True,,1051,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,logistic,logistic,False,False,True,True,,False,False,2048,"[997,1051]",True,validation_person_weighted,0,1009,118499.0,0.5069931416298362,857,102787.0,0.5751116386313444,0.498856530434856,0.5342769086159992,0.5826614103712822,True,True,,997,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,logistic,logistic,False,False,True,True,,False,False,2048,"[997,1051]",True,validation_person_weighted,1,975,115230.0,0.4930068583701637,1127,130942.0,0.5464785935757817,0.6209927970146664,0.5813577498659473,0.5826614103712822,True,True,,1051,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,logistic,logistic,False,False,True,True,,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,787,89670.0,0.5356306457009034,0.43659667302972455,0.48106971153846156,0.5572113389539436,True,True,,997,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,logistic,logistic,False,False,True,True,,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1184,136881.0,0.5471979310495978,0.6427008520606482,0.5911167933328598,0.5572113389539437,True,True,,1051,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,validation,0,1009,1009.0,0.5085685483870968,1007,1007.0,0.5531281032770605,0.5520317145688801,0.5525793650793651,0.5807471220553481,True,True,,997,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,validation,1,975,975.0,0.49143145161290325,977,977.0,0.5373592630501536,0.5384615384615384,0.5379098360655737,0.5807471220553481,True,True,,1051,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,development_evaluation,0,959,959.0,0.4865550481988838,951,951.0,0.5215562565720294,0.5172054223149114,0.5193717277486911,0.5590309404971417,True,True,,997,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,development_evaluation,1,1012,1012.0,0.5134449518011162,1020,1020.0,0.546078431372549,0.5503952569169961,0.5482283464566929,0.5590309404971417,True,True,,1051,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,validation_person_weighted,0,1009,118499.0,0.5069931416298362,1007,122439.0,0.5474236150246246,0.5656250263715306,0.5563754990910524,0.5811890517929057,True,True,,997,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,validation_person_weighted,1,975,115230.0,0.4930068583701637,977,111290.0,0.5374876448917243,0.5191096068732101,0.5281387956913297,0.5811890517929057,True,True,,1051,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,951,111206.0,0.515745553297484,0.5213526043086992,0.5185339215969912,0.5576369225387011,True,True,,997,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1020,115345.0,0.5434912653344315,0.5379136956092706,0.5406880967371899,0.5576369225387011,True,True,,1051,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation,0,2434,2434.0,0.8156836461126006,2542,2542.0,0.9016522423288749,0.9416598192276089,0.9212218649517685,0.896947785164712,True,True,,1652,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation,1,550,550.0,0.18431635388739948,442,442.0,0.6787330316742082,0.5454545454545454,0.6048387096774194,0.896947785164712,True,True,,396,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation,0,2439,2439.0,0.817907444668008,2566,2566.0,0.8978955572876072,0.9446494464944649,0.9206793206793207,0.8969960970327936,True,True,,1652,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation,1,543,543.0,0.18209255533199195,416,416.0,0.6754807692307693,0.5174953959484346,0.5860271115745568,0.8969960970327935,True,True,,396,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation_person_weighted,0,2434,288007.0,0.8266798702603404,2542,303339.0,0.9037776217367368,0.9518900582277514,0.9272101274042608,0.9010865028498576,True,True,,1652,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation_person_weighted,1,550,60383.0,0.17332012973965957,442,45051.0,0.6924374597678187,0.5166189159200437,0.5917445985166075,0.9010865028498576,True,True,,396,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,0,2439,273575.0,0.8187411900963965,2566,290660.0,0.8904562031239248,0.9460659782509366,0.9174191604561929,0.889347455737602,True,True,,1652,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,1,543,60566.0,0.18125880990360357,416,43481.0,0.6606563786481452,0.4742925073473566,0.5521735369592587,0.889347455737602,True,True,,396,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,validation,0,2434,2434.0,0.8156836461126006,2463,2463.0,0.9110840438489647,0.9219391947411668,0.9164794772309577,0.8949831926495855,True,True,,1652,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,validation,1,550,550.0,0.18431635388739948,521,521.0,0.6353166986564299,0.6018181818181818,0.6181139122315593,0.8949831926495855,True,True,,396,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,development_evaluation,0,2439,2439.0,0.817907444668008,2489,2489.0,0.907191643230213,0.9257892578925789,0.9163961038961039,0.8951544764066425,True,True,,1652,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,development_evaluation,1,543,543.0,0.18209255533199195,493,493.0,0.6328600405679513,0.574585635359116,0.6023166023166023,0.8951544764066425,True,True,,396,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,validation_person_weighted,0,2434,288007.0,0.8266798702603404,2463,294899.0,0.9117494464206389,0.9335675868989295,0.92252953306365,0.8999448806299136,True,True,,1652,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,validation_person_weighted,1,550,60383.0,0.17332012973965957,521,53491.0,0.6423136602419098,0.5690012089495388,0.6034388885961677,0.8999448806299136,True,True,,396,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,0,2439,273575.0,0.8187411900963965,2489,281787.0,0.8976248017119314,0.9245691309512931,0.9108977567784616,0.8835381197617701,True,True,,1652,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,1,543,60566.0,0.18125880990360357,493,52354.0,0.6058371853153531,0.5236931611795397,0.5617782500885583,0.88353811976177,True,True,,396,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,validation,0,981,981.0,0.32875335120643434,772,772.0,0.9222797927461139,0.72579001019368,0.8123217341699943,0.8923345359127466,True,True,,665,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,validation,1,2003,2003.0,0.6712466487935657,2212,2212.0,0.8783905967450272,0.9700449326010984,0.9219454329774615,0.8923345359127467,True,True,,1383,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,development_evaluation,0,972,972.0,0.32595573440643866,786,786.0,0.9376590330788804,0.7582304526748971,0.838452787258248,0.9042160596195975,True,True,,665,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,development_evaluation,1,2010,2010.0,0.6740442655935613,2196,2196.0,0.8929872495446266,0.9756218905472637,0.9324774132192106,0.9042160596195974,True,True,,1383,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,validation_person_weighted,0,981,112512.0,0.3229484198742788,772,85317.0,0.9429422037811925,0.7150259527872582,0.8133185731111212,0.8847952065357806,True,True,,665,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,validation_person_weighted,1,2003,235878.0,0.6770515801257212,2212,263073.0,0.8781212819255492,0.9793622126692613,0.9259827117292079,0.8847952065357807,True,True,,1383,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,development_evaluation_person_weighted,0,972,100734.0,0.3014715344719744,786,80230.0,0.9568739872865512,0.762106140925606,0.8484560465064874,0.904502916081938,True,True,,665,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,development_evaluation_person_weighted,1,2010,233407.0,0.6985284655280256,2196,253911.0,0.905620473315453,0.9851761086856864,0.9437246315547548,0.904502916081938,True,True,,1383,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,validation,0,981,981.0,0.32875335120643434,764,764.0,0.9201570680628273,0.7166156982670744,0.805730659025788,0.8858269680087413,True,True,,665,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,validation,1,2003,2003.0,0.6712466487935657,2220,2220.0,0.8747747747747747,0.9695456814777833,0.9197253137579919,0.8858269680087413,True,True,,1383,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,development_evaluation,0,972,972.0,0.32595573440643866,768,768.0,0.9440104166666666,0.7458847736625515,0.8333333333333334,0.9031314620314066,True,True,,665,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,development_evaluation,1,2010,2010.0,0.6740442655935613,2214,2214.0,0.8884372177055104,0.9786069651741294,0.931344696969697,0.9031314620314067,True,True,,1383,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,validation_person_weighted,0,981,112512.0,0.3229484198742788,764,85688.0,0.9338063672859677,0.7111774744027304,0.8074268415741676,0.878873952151874,True,True,,665,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,validation_person_weighted,1,2003,235878.0,0.6770515801257212,2220,262702.0,0.8763009036855448,0.9759536709654991,0.9234465883108027,0.878873952151874,True,True,,1383,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,development_evaluation_person_weighted,0,972,100734.0,0.3014715344719744,768,79974.0,0.947082801910621,0.7519010463200111,0.8382805409832437,0.9005354428460355,True,True,,665,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,development_evaluation_person_weighted,1,2010,233407.0,0.6985284655280256,2214,254167.0,0.9016709486282641,0.9818685814907008,0.940062431548852,0.9005354428460355,True,True,,1383,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,validation,0,2275,2275.0,0.7623994638069705,2732,2732.0,0.794289897510981,0.9538461538461539,0.8667864989015378,0.7177817387126273,True,True,,1531,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,validation,1,709,709.0,0.23760053619302948,252,252.0,0.5833333333333334,0.2073342736248237,0.3059313215400624,0.7177817387126273,True,True,,517,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,development_evaluation,0,2199,2199.0,0.7374245472837022,2700,2700.0,0.7674074074074074,0.9422464756707595,0.8458869156970811,0.717465038386774,True,True,,1531,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,development_evaluation,1,783,783.0,0.2625754527162978,282,282.0,0.549645390070922,0.1979565772669221,0.29107981220657275,0.7174650383867739,True,True,,517,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,validation_person_weighted,0,2275,263229.0,0.7555584259020064,2732,319453.0,0.7870046610925551,0.9551037309718914,0.8629441101664372,0.7083453986630701,True,True,,1531,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,validation_person_weighted,1,709,85161.0,0.24444157409799364,252,28937.0,0.5915955351280368,0.20101924589894435,0.3000753738014689,0.70834539866307,True,True,,517,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,development_evaluation_person_weighted,0,2199,244261.0,0.7310117585091324,2700,303149.0,0.7593856486414271,0.9424631848719198,0.8410770720301054,0.7139083941126054,True,True,,1531,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,development_evaluation_person_weighted,1,783,89880.0,0.26898824149086764,282,30992.0,0.5465281362932369,0.18845126835781043,0.28026341915414654,0.7139083941126055,True,True,,517,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
