release,target,split,n_seeds,n_defined,complete,mean,sample_sd
E_K_W,income_binary,source_validation_person_weighted,3,3,True,0.35798286581483774,0.007850291237445184
E_K_W,civilian_at_work,source_validation,3,3,True,0.4111421373018731,0.039391426917415054
E_K_W,civilian_at_work,source_validation_person_weighted,3,3,True,0.4029323740230985,0.03801865233551154
E_K_W,public_coverage,source_validation,3,3,True,0.5094257024782785,0.008501001821050421
E_K_W,public_coverage,source_validation_person_weighted,3,3,True,0.5196177808343209,0.008742006046233083
E_K_W,income_binary,development_evaluation,3,3,True,0.3492779196458224,0.015391591093695447
E_K_W,income_binary,development_evaluation_person_weighted,3,3,True,0.3586127888457914,0.012274235165826581
E_K_W,civilian_at_work,development_evaluation,3,3,True,0.40095461621244,0.046869804545113435
E_K_W,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.3852469132350286,0.045501373493933
E_K_W,public_coverage,development_evaluation,3,3,True,0.5210626552220986,0.011704177821779849
E_K_W,public_coverage,development_evaluation_person_weighted,3,3,True,0.5269086625373463,0.013319335031678207
E_K_C,income_binary,source_validation,3,3,True,0.3397007202972296,0.0036951096353602837
E_K_C,income_binary,source_validation_person_weighted,3,3,True,0.33848011387207916,0.004956373960222488
E_K_C,civilian_at_work,source_validation,3,3,True,0.3834991440883413,0.03310934412556442
E_K_C,civilian_at_work,source_validation_person_weighted,3,3,True,0.3754964274154437,0.031824715472657965
E_K_C,public_coverage,source_validation,3,3,True,0.49951619075932613,0.006593162492880443
E_K_C,public_coverage,source_validation_person_weighted,3,3,True,0.5104359224548105,0.0052367410059224895
E_K_C,income_binary,development_evaluation,3,3,True,0.32945864312192225,0.011240078791317911
E_K_C,income_binary,development_evaluation_person_weighted,3,3,True,0.3394308367307778,0.00679636580387326
E_K_C,civilian_at_work,development_evaluation,3,3,True,0.3687925027827932,0.03714949629622576
E_K_C,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.3528543172965314,0.035054398482412014
E_K_C,public_coverage,development_evaluation,3,3,True,0.5120703623604353,0.012536200934590442
E_K_C,public_coverage,development_evaluation_person_weighted,3,3,True,0.5177172389851006,0.014088752523964217
E_K_D,income_binary,source_validation,3,3,True,0.34033201671724667,0.003549589954561537
E_K_D,income_binary,source_validation_person_weighted,3,3,True,0.3388142949256913,0.005000743402651711
E_K_D,civilian_at_work,source_validation,3,3,True,0.3837999238775677,0.03355153780459811
E_K_D,civilian_at_work,source_validation_person_weighted,3,3,True,0.37577330341710635,0.03214377818613598
E_K_D,public_coverage,source_validation,3,3,True,0.49963541855816423,0.007190607562870048
E_K_D,public_coverage,source_validation_person_weighted,3,3,True,0.5106644383103096,0.006021767455811249
E_K_D,income_binary,development_evaluation,3,3,True,0.329595159992081,0.011320774254144968
E_K_D,income_binary,development_evaluation_person_weighted,3,3,True,0.3396036900217286,0.0077460437048633155
E_K_D,civilian_at_work,development_evaluation,3,3,True,0.3685576591214599,0.037419141662155535
E_K_D,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.3525801413140637,0.03498261550257476
E_K_D,public_coverage,development_evaluation,3,3,True,0.512710422831346,0.013385461687242575
E_K_D,public_coverage,development_evaluation_person_weighted,3,3,True,0.518307396742833,0.015038929842010575
E_bank,income_binary,source_validation,3,3,True,0.3323659993690413,0.002601253036019251
E_bank,income_binary,source_validation_person_weighted,3,3,True,0.3278534267120243,0.0031165034043068632
E_bank,civilian_at_work,source_validation,3,3,True,0.37633431572111475,0.02904369405322042
E_bank,civilian_at_work,source_validation_person_weighted,3,3,True,0.36780650539441007,0.02078675809729095
E_bank,public_coverage,source_validation,3,3,True,0.49987751371121253,0.007447054699595239
E_bank,public_coverage,source_validation_person_weighted,3,3,True,0.511336829980717,0.005555394412364586
E_bank,income_binary,development_evaluation,3,3,True,0.3221717945209771,0.014326378434611188
E_bank,income_binary,development_evaluation_person_weighted,3,3,True,0.3312316384486611,0.008706274568491544
E_bank,civilian_at_work,development_evaluation,3,3,True,0.3586381430939415,0.020541574880706334
E_bank,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.34159907411260954,0.014862444128910426
E_bank,public_coverage,development_evaluation,3,3,True,0.5059681374800487,0.01873346351806458
E_bank,public_coverage,development_evaluation_person_weighted,3,3,True,0.512574552460672,0.01888974198683084
S_F_I,income_binary,source_validation,3,3,True,0.7202467883917689,0.017896456481888735
S_F_I,income_binary,source_validation_person_weighted,3,3,True,0.7247337842075141,0.02246518522620686
S_F_I,civilian_at_work,source_validation,3,3,True,0.6934110824419317,0.014532864058026871
S_F_I,civilian_at_work,source_validation_person_weighted,3,3,True,0.6954312001690314,0.021045903342044286
S_F_I,public_coverage,source_validation,3,3,True,0.7224832261241019,0.011246796928373447
S_F_I,public_coverage,source_validation_person_weighted,3,3,True,0.7235264208491471,0.012088963858110709
S_F_I,income_binary,development_evaluation,3,3,True,0.7223943338548195,0.01628340029456201
S_F_I,income_binary,development_evaluation_person_weighted,3,3,True,0.7258935855341919,0.019846336359656266
S_F_I,civilian_at_work,development_evaluation,3,3,True,0.6919617528700609,0.013363577516573313
S_F_I,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.6923605742313582,0.017019536057253842
S_F_I,public_coverage,development_evaluation,3,3,True,0.7214747675205433,0.013715657437483217
S_F_I,public_coverage,development_evaluation_person_weighted,3,3,True,0.7210860538884958,0.014216637390473739
S_F_W,income_binary,source_validation,3,3,True,0.3116946755035811,0.004438430124401182
S_F_W,income_binary,source_validation_person_weighted,3,3,True,0.3082434808235316,0.006589589697219616
S_F_W,civilian_at_work,source_validation,3,3,True,0.3145498132695448,0.01215829676045043
S_F_W,civilian_at_work,source_validation_person_weighted,3,3,True,0.3135784112688194,0.012252318935672052
S_F_W,public_coverage,source_validation,3,3,True,0.48713334970990424,0.0056852153710867425
S_F_W,public_coverage,source_validation_person_weighted,3,3,True,0.4985140600670909,0.00920411743229193
S_F_W,income_binary,development_evaluation,3,3,True,0.30290296130503275,0.0026367059363355126
S_F_W,income_binary,development_evaluation_person_weighted,3,3,True,0.3147320880646705,0.0014154032884939715
S_F_W,civilian_at_work,development_evaluation,3,3,True,0.30023513659942613,0.008257543031071558
S_F_W,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.29057327815143924,0.012596744579568444
S_F_W,public_coverage,development_evaluation,3,3,True,0.5021567931818227,0.012301430267591052
