seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fit_warnings,fallback_reason,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256,evidence_audit_budget,origin_metrics,origin_release
0,transfer,E_F_D,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,320,25,200,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.09272337495349348,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,D
0,transfer,E_F_D,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,23,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0032227500341832638,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,D
0,transfer,E_F_D,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,320,25,200,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08488262502942234,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,D
0,audit,E_F_C,SEX,logistic,logistic,False,False,True,False,120,False,False,2993,"[1512,1481]",True,20,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0036564170150086284,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,SEX,hist_gb_20,histgb,False,False,False,False,120,False,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.08451829198747873,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,SEX,hist_gb_5,histgb,False,False,True,False,120,False,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.08600904198829085,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,SEX,mlp_0,mlp,False,False,False,False,120,False,False,2993,"[1512,1481]",True,1440,30,360,359160,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,1260000,1960000,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3544032499194145,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,SEX,mlp_1,mlp,False,True,True,False,120,False,False,2993,"[1512,1481]",True,1440,35,420,359160,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1270000,1970000,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3558881669305265,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,SEX,catchup,catchup,True,False,True,True,120,False,False,2993,"[1512,1481]",True,1440,10,120,359160,0817bb1d32cf428bc8d0d3c942748d6c9dd53594247771b0441d66a4e7b55696,1300000,2000000,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",0.35132341703865677,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,,10080,,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,SEX,saved_adversary,saved_adversary,False,False,True,False,120,False,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,,10080,,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,RAC1P,logistic,logistic,False,False,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,103,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.029723166022449732,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
