case,S,history,probability,numerator,denominator
independent/cached/k4,-1,+-/--/+-/--,0,0,1
independent/cached/k4,-1,+-/--/+-/-+,0,0,1
independent/cached/k4,-1,+-/--/+-/+-,0,0,1
independent/cached/k4,-1,+-/--/+-/++,0,0,1
independent/cached/k4,-1,+-/--/++/--,0,0,1
independent/cached/k4,-1,+-/--/++/-+,0,0,1
independent/cached/k4,-1,+-/--/++/+-,0,0,1
independent/cached/k4,-1,+-/--/++/++,0,0,1
independent/cached/k4,-1,+-/-+/--/--,0,0,1
independent/cached/k4,-1,+-/-+/--/-+,0,0,1
independent/cached/k4,-1,+-/-+/--/+-,0,0,1
independent/cached/k4,-1,+-/-+/--/++,0,0,1
independent/cached/k4,-1,+-/-+/-+/--,0,0,1
independent/cached/k4,-1,+-/-+/-+/-+,0,0,1
independent/cached/k4,-1,+-/-+/-+/+-,0,0,1
independent/cached/k4,-1,+-/-+/-+/++,0,0,1
independent/cached/k4,-1,+-/-+/+-/--,0,0,1
independent/cached/k4,-1,+-/-+/+-/-+,0,0,1
independent/cached/k4,-1,+-/-+/+-/+-,0,0,1
independent/cached/k4,-1,+-/-+/+-/++,0,0,1
independent/cached/k4,-1,+-/-+/++/--,0,0,1
independent/cached/k4,-1,+-/-+/++/-+,0,0,1
independent/cached/k4,-1,+-/-+/++/+-,0,0,1
independent/cached/k4,-1,+-/-+/++/++,0,0,1
independent/cached/k4,-1,+-/+-/--/--,0,0,1
independent/cached/k4,-1,+-/+-/--/-+,0,0,1
independent/cached/k4,-1,+-/+-/--/+-,0,0,1
independent/cached/k4,-1,+-/+-/--/++,0,0,1
independent/cached/k4,-1,+-/+-/-+/--,0,0,1
independent/cached/k4,-1,+-/+-/-+/-+,0,0,1
independent/cached/k4,-1,+-/+-/-+/+-,0,0,1
independent/cached/k4,-1,+-/+-/-+/++,0,0,1
independent/cached/k4,-1,+-/+-/+-/--,0,0,1
independent/cached/k4,-1,+-/+-/+-/-+,0,0,1
independent/cached/k4,-1,+-/+-/+-/+-,5/32,5,32
independent/cached/k4,-1,+-/+-/+-/++,0,0,1
independent/cached/k4,-1,+-/+-/++/--,0,0,1
independent/cached/k4,-1,+-/+-/++/-+,0,0,1
independent/cached/k4,-1,+-/+-/++/+-,0,0,1
independent/cached/k4,-1,+-/+-/++/++,0,0,1
independent/cached/k4,-1,+-/++/--/--,0,0,1
independent/cached/k4,-1,+-/++/--/-+,0,0,1
independent/cached/k4,-1,+-/++/--/+-,0,0,1
independent/cached/k4,-1,+-/++/--/++,0,0,1
independent/cached/k4,-1,+-/++/-+/--,0,0,1
independent/cached/k4,-1,+-/++/-+/-+,0,0,1
independent/cached/k4,-1,+-/++/-+/+-,0,0,1
independent/cached/k4,-1,+-/++/-+/++,0,0,1
independent/cached/k4,-1,+-/++/+-/--,0,0,1
independent/cached/k4,-1,+-/++/+-/-+,0,0,1
independent/cached/k4,-1,+-/++/+-/+-,0,0,1
independent/cached/k4,-1,+-/++/+-/++,0,0,1
independent/cached/k4,-1,+-/++/++/--,0,0,1
independent/cached/k4,-1,+-/++/++/-+,0,0,1
independent/cached/k4,-1,+-/++/++/+-,0,0,1
independent/cached/k4,-1,+-/++/++/++,0,0,1
independent/cached/k4,-1,++/--/--/--,0,0,1
independent/cached/k4,-1,++/--/--/-+,0,0,1
independent/cached/k4,-1,++/--/--/+-,0,0,1
independent/cached/k4,-1,++/--/--/++,0,0,1
independent/cached/k4,-1,++/--/-+/--,0,0,1
independent/cached/k4,-1,++/--/-+/-+,0,0,1
independent/cached/k4,-1,++/--/-+/+-,0,0,1
independent/cached/k4,-1,++/--/-+/++,0,0,1
independent/cached/k4,-1,++/--/+-/--,0,0,1
independent/cached/k4,-1,++/--/+-/-+,0,0,1
independent/cached/k4,-1,++/--/+-/+-,0,0,1
independent/cached/k4,-1,++/--/+-/++,0,0,1
independent/cached/k4,-1,++/--/++/--,0,0,1
independent/cached/k4,-1,++/--/++/-+,0,0,1
independent/cached/k4,-1,++/--/++/+-,0,0,1
independent/cached/k4,-1,++/--/++/++,0,0,1
independent/cached/k4,-1,++/-+/--/--,0,0,1
independent/cached/k4,-1,++/-+/--/-+,0,0,1
independent/cached/k4,-1,++/-+/--/+-,0,0,1
independent/cached/k4,-1,++/-+/--/++,0,0,1
independent/cached/k4,-1,++/-+/-+/--,0,0,1
independent/cached/k4,-1,++/-+/-+/-+,0,0,1
independent/cached/k4,-1,++/-+/-+/+-,0,0,1
independent/cached/k4,-1,++/-+/-+/++,0,0,1
independent/cached/k4,-1,++/-+/+-/--,0,0,1
independent/cached/k4,-1,++/-+/+-/-+,0,0,1
independent/cached/k4,-1,++/-+/+-/+-,0,0,1
independent/cached/k4,-1,++/-+/+-/++,0,0,1
independent/cached/k4,-1,++/-+/++/--,0,0,1
independent/cached/k4,-1,++/-+/++/-+,0,0,1
independent/cached/k4,-1,++/-+/++/+-,0,0,1
independent/cached/k4,-1,++/-+/++/++,0,0,1
independent/cached/k4,-1,++/+-/--/--,0,0,1
independent/cached/k4,-1,++/+-/--/-+,0,0,1
independent/cached/k4,-1,++/+-/--/+-,0,0,1
independent/cached/k4,-1,++/+-/--/++,0,0,1
independent/cached/k4,-1,++/+-/-+/--,0,0,1
independent/cached/k4,-1,++/+-/-+/-+,0,0,1
independent/cached/k4,-1,++/+-/-+/+-,0,0,1
independent/cached/k4,-1,++/+-/-+/++,0,0,1
independent/cached/k4,-1,++/+-/+-/--,0,0,1
independent/cached/k4,-1,++/+-/+-/-+,0,0,1
independent/cached/k4,-1,++/+-/+-/+-,0,0,1
independent/cached/k4,-1,++/+-/+-/++,0,0,1
independent/cached/k4,-1,++/+-/++/--,0,0,1
independent/cached/k4,-1,++/+-/++/-+,0,0,1
independent/cached/k4,-1,++/+-/++/+-,0,0,1
independent/cached/k4,-1,++/+-/++/++,0,0,1
independent/cached/k4,-1,++/++/--/--,0,0,1
independent/cached/k4,-1,++/++/--/-+,0,0,1
independent/cached/k4,-1,++/++/--/+-,0,0,1
independent/cached/k4,-1,++/++/--/++,0,0,1
independent/cached/k4,-1,++/++/-+/--,0,0,1
independent/cached/k4,-1,++/++/-+/-+,0,0,1
independent/cached/k4,-1,++/++/-+/+-,0,0,1
independent/cached/k4,-1,++/++/-+/++,0,0,1
independent/cached/k4,-1,++/++/+-/--,0,0,1
independent/cached/k4,-1,++/++/+-/-+,0,0,1
independent/cached/k4,-1,++/++/+-/+-,0,0,1
independent/cached/k4,-1,++/++/+-/++,0,0,1
independent/cached/k4,-1,++/++/++/--,0,0,1
independent/cached/k4,-1,++/++/++/-+,0,0,1
independent/cached/k4,-1,++/++/++/+-,0,0,1
independent/cached/k4,-1,++/++/++/++,3/32,3,32
independent/cached/k4,1,--/--/--/--,5/32,5,32
independent/cached/k4,1,--/--/--/-+,0,0,1
independent/cached/k4,1,--/--/--/+-,0,0,1
independent/cached/k4,1,--/--/--/++,0,0,1
independent/cached/k4,1,--/--/-+/--,0,0,1
independent/cached/k4,1,--/--/-+/-+,0,0,1
independent/cached/k4,1,--/--/-+/+-,0,0,1
independent/cached/k4,1,--/--/-+/++,0,0,1
independent/cached/k4,1,--/--/+-/--,0,0,1
independent/cached/k4,1,--/--/+-/-+,0,0,1
independent/cached/k4,1,--/--/+-/+-,0,0,1
independent/cached/k4,1,--/--/+-/++,0,0,1
independent/cached/k4,1,--/--/++/--,0,0,1
independent/cached/k4,1,--/--/++/-+,0,0,1
independent/cached/k4,1,--/--/++/+-,0,0,1
independent/cached/k4,1,--/--/++/++,0,0,1
independent/cached/k4,1,--/-+/--/--,0,0,1
independent/cached/k4,1,--/-+/--/-+,0,0,1
independent/cached/k4,1,--/-+/--/+-,0,0,1
independent/cached/k4,1,--/-+/--/++,0,0,1
independent/cached/k4,1,--/-+/-+/--,0,0,1
independent/cached/k4,1,--/-+/-+/-+,0,0,1
independent/cached/k4,1,--/-+/-+/+-,0,0,1
independent/cached/k4,1,--/-+/-+/++,0,0,1
independent/cached/k4,1,--/-+/+-/--,0,0,1
independent/cached/k4,1,--/-+/+-/-+,0,0,1
independent/cached/k4,1,--/-+/+-/+-,0,0,1
independent/cached/k4,1,--/-+/+-/++,0,0,1
independent/cached/k4,1,--/-+/++/--,0,0,1
independent/cached/k4,1,--/-+/++/-+,0,0,1
independent/cached/k4,1,--/-+/++/+-,0,0,1
independent/cached/k4,1,--/-+/++/++,0,0,1
independent/cached/k4,1,--/+-/--/--,0,0,1
independent/cached/k4,1,--/+-/--/-+,0,0,1
independent/cached/k4,1,--/+-/--/+-,0,0,1
independent/cached/k4,1,--/+-/--/++,0,0,1
independent/cached/k4,1,--/+-/-+/--,0,0,1
independent/cached/k4,1,--/+-/-+/-+,0,0,1
independent/cached/k4,1,--/+-/-+/+-,0,0,1
independent/cached/k4,1,--/+-/-+/++,0,0,1
independent/cached/k4,1,--/+-/+-/--,0,0,1
independent/cached/k4,1,--/+-/+-/-+,0,0,1
independent/cached/k4,1,--/+-/+-/+-,0,0,1
independent/cached/k4,1,--/+-/+-/++,0,0,1
independent/cached/k4,1,--/+-/++/--,0,0,1
independent/cached/k4,1,--/+-/++/-+,0,0,1
independent/cached/k4,1,--/+-/++/+-,0,0,1
independent/cached/k4,1,--/+-/++/++,0,0,1
independent/cached/k4,1,--/++/--/--,0,0,1
independent/cached/k4,1,--/++/--/-+,0,0,1
independent/cached/k4,1,--/++/--/+-,0,0,1
independent/cached/k4,1,--/++/--/++,0,0,1
independent/cached/k4,1,--/++/-+/--,0,0,1
independent/cached/k4,1,--/++/-+/-+,0,0,1
independent/cached/k4,1,--/++/-+/+-,0,0,1
independent/cached/k4,1,--/++/-+/++,0,0,1
independent/cached/k4,1,--/++/+-/--,0,0,1
independent/cached/k4,1,--/++/+-/-+,0,0,1
independent/cached/k4,1,--/++/+-/+-,0,0,1
independent/cached/k4,1,--/++/+-/++,0,0,1
independent/cached/k4,1,--/++/++/--,0,0,1
independent/cached/k4,1,--/++/++/-+,0,0,1
independent/cached/k4,1,--/++/++/+-,0,0,1
independent/cached/k4,1,--/++/++/++,0,0,1
independent/cached/k4,1,-+/--/--/--,0,0,1
independent/cached/k4,1,-+/--/--/-+,0,0,1
independent/cached/k4,1,-+/--/--/+-,0,0,1
independent/cached/k4,1,-+/--/--/++,0,0,1
independent/cached/k4,1,-+/--/-+/--,0,0,1
independent/cached/k4,1,-+/--/-+/-+,0,0,1
independent/cached/k4,1,-+/--/-+/+-,0,0,1
independent/cached/k4,1,-+/--/-+/++,0,0,1
independent/cached/k4,1,-+/--/+-/--,0,0,1
independent/cached/k4,1,-+/--/+-/-+,0,0,1
independent/cached/k4,1,-+/--/+-/+-,0,0,1
independent/cached/k4,1,-+/--/+-/++,0,0,1
independent/cached/k4,1,-+/--/++/--,0,0,1
independent/cached/k4,1,-+/--/++/-+,0,0,1
independent/cached/k4,1,-+/--/++/+-,0,0,1
independent/cached/k4,1,-+/--/++/++,0,0,1
independent/cached/k4,1,-+/-+/--/--,0,0,1
independent/cached/k4,1,-+/-+/--/-+,0,0,1
independent/cached/k4,1,-+/-+/--/+-,0,0,1
independent/cached/k4,1,-+/-+/--/++,0,0,1
independent/cached/k4,1,-+/-+/-+/--,0,0,1
independent/cached/k4,1,-+/-+/-+/-+,3/32,3,32
independent/cached/k4,1,-+/-+/-+/+-,0,0,1
independent/cached/k4,1,-+/-+/-+/++,0,0,1
independent/cached/k4,1,-+/-+/+-/--,0,0,1
independent/cached/k4,1,-+/-+/+-/-+,0,0,1
independent/cached/k4,1,-+/-+/+-/+-,0,0,1
independent/cached/k4,1,-+/-+/+-/++,0,0,1
independent/cached/k4,1,-+/-+/++/--,0,0,1
independent/cached/k4,1,-+/-+/++/-+,0,0,1
independent/cached/k4,1,-+/-+/++/+-,0,0,1
independent/cached/k4,1,-+/-+/++/++,0,0,1
independent/cached/k4,1,-+/+-/--/--,0,0,1
independent/cached/k4,1,-+/+-/--/-+,0,0,1
independent/cached/k4,1,-+/+-/--/+-,0,0,1
independent/cached/k4,1,-+/+-/--/++,0,0,1
independent/cached/k4,1,-+/+-/-+/--,0,0,1
independent/cached/k4,1,-+/+-/-+/-+,0,0,1
independent/cached/k4,1,-+/+-/-+/+-,0,0,1
independent/cached/k4,1,-+/+-/-+/++,0,0,1
independent/cached/k4,1,-+/+-/+-/--,0,0,1
independent/cached/k4,1,-+/+-/+-/-+,0,0,1
independent/cached/k4,1,-+/+-/+-/+-,0,0,1
independent/cached/k4,1,-+/+-/+-/++,0,0,1
independent/cached/k4,1,-+/+-/++/--,0,0,1
independent/cached/k4,1,-+/+-/++/-+,0,0,1
independent/cached/k4,1,-+/+-/++/+-,0,0,1
independent/cached/k4,1,-+/+-/++/++,0,0,1
independent/cached/k4,1,-+/++/--/--,0,0,1
independent/cached/k4,1,-+/++/--/-+,0,0,1
independent/cached/k4,1,-+/++/--/+-,0,0,1
independent/cached/k4,1,-+/++/--/++,0,0,1
independent/cached/k4,1,-+/++/-+/--,0,0,1
independent/cached/k4,1,-+/++/-+/-+,0,0,1
independent/cached/k4,1,-+/++/-+/+-,0,0,1
independent/cached/k4,1,-+/++/-+/++,0,0,1
independent/cached/k4,1,-+/++/+-/--,0,0,1
independent/cached/k4,1,-+/++/+-/-+,0,0,1
independent/cached/k4,1,-+/++/+-/+-,0,0,1
independent/cached/k4,1,-+/++/+-/++,0,0,1
independent/cached/k4,1,-+/++/++/--,0,0,1
independent/cached/k4,1,-+/++/++/-+,0,0,1
independent/cached/k4,1,-+/++/++/+-,0,0,1
independent/cached/k4,1,-+/++/++/++,0,0,1
independent/cached/k4,1,+-/--/--/--,0,0,1
independent/cached/k4,1,+-/--/--/-+,0,0,1
independent/cached/k4,1,+-/--/--/+-,0,0,1
independent/cached/k4,1,+-/--/--/++,0,0,1
independent/cached/k4,1,+-/--/-+/--,0,0,1
independent/cached/k4,1,+-/--/-+/-+,0,0,1
independent/cached/k4,1,+-/--/-+/+-,0,0,1
independent/cached/k4,1,+-/--/-+/++,0,0,1
independent/cached/k4,1,+-/--/+-/--,0,0,1
independent/cached/k4,1,+-/--/+-/-+,0,0,1
independent/cached/k4,1,+-/--/+-/+-,0,0,1
independent/cached/k4,1,+-/--/+-/++,0,0,1
independent/cached/k4,1,+-/--/++/--,0,0,1
independent/cached/k4,1,+-/--/++/-+,0,0,1
independent/cached/k4,1,+-/--/++/+-,0,0,1
independent/cached/k4,1,+-/--/++/++,0,0,1
independent/cached/k4,1,+-/-+/--/--,0,0,1
independent/cached/k4,1,+-/-+/--/-+,0,0,1
independent/cached/k4,1,+-/-+/--/+-,0,0,1
independent/cached/k4,1,+-/-+/--/++,0,0,1
independent/cached/k4,1,+-/-+/-+/--,0,0,1
independent/cached/k4,1,+-/-+/-+/-+,0,0,1
independent/cached/k4,1,+-/-+/-+/+-,0,0,1
independent/cached/k4,1,+-/-+/-+/++,0,0,1
independent/cached/k4,1,+-/-+/+-/--,0,0,1
independent/cached/k4,1,+-/-+/+-/-+,0,0,1
independent/cached/k4,1,+-/-+/+-/+-,0,0,1
independent/cached/k4,1,+-/-+/+-/++,0,0,1
independent/cached/k4,1,+-/-+/++/--,0,0,1
independent/cached/k4,1,+-/-+/++/-+,0,0,1
independent/cached/k4,1,+-/-+/++/+-,0,0,1
independent/cached/k4,1,+-/-+/++/++,0,0,1
independent/cached/k4,1,+-/+-/--/--,0,0,1
independent/cached/k4,1,+-/+-/--/-+,0,0,1
independent/cached/k4,1,+-/+-/--/+-,0,0,1
independent/cached/k4,1,+-/+-/--/++,0,0,1
independent/cached/k4,1,+-/+-/-+/--,0,0,1
independent/cached/k4,1,+-/+-/-+/-+,0,0,1
independent/cached/k4,1,+-/+-/-+/+-,0,0,1
independent/cached/k4,1,+-/+-/-+/++,0,0,1
independent/cached/k4,1,+-/+-/+-/--,0,0,1
independent/cached/k4,1,+-/+-/+-/-+,0,0,1
independent/cached/k4,1,+-/+-/+-/+-,3/32,3,32
independent/cached/k4,1,+-/+-/+-/++,0,0,1
independent/cached/k4,1,+-/+-/++/--,0,0,1
independent/cached/k4,1,+-/+-/++/-+,0,0,1
independent/cached/k4,1,+-/+-/++/+-,0,0,1
independent/cached/k4,1,+-/+-/++/++,0,0,1
independent/cached/k4,1,+-/++/--/--,0,0,1
independent/cached/k4,1,+-/++/--/-+,0,0,1
independent/cached/k4,1,+-/++/--/+-,0,0,1
independent/cached/k4,1,+-/++/--/++,0,0,1
independent/cached/k4,1,+-/++/-+/--,0,0,1
independent/cached/k4,1,+-/++/-+/-+,0,0,1
independent/cached/k4,1,+-/++/-+/+-,0,0,1
independent/cached/k4,1,+-/++/-+/++,0,0,1
independent/cached/k4,1,+-/++/+-/--,0,0,1
independent/cached/k4,1,+-/++/+-/-+,0,0,1
independent/cached/k4,1,+-/++/+-/+-,0,0,1
independent/cached/k4,1,+-/++/+-/++,0,0,1
independent/cached/k4,1,+-/++/++/--,0,0,1
independent/cached/k4,1,+-/++/++/-+,0,0,1
independent/cached/k4,1,+-/++/++/+-,0,0,1
independent/cached/k4,1,+-/++/++/++,0,0,1
independent/cached/k4,1,++/--/--/--,0,0,1
independent/cached/k4,1,++/--/--/-+,0,0,1
independent/cached/k4,1,++/--/--/+-,0,0,1
independent/cached/k4,1,++/--/--/++,0,0,1
independent/cached/k4,1,++/--/-+/--,0,0,1
independent/cached/k4,1,++/--/-+/-+,0,0,1
independent/cached/k4,1,++/--/-+/+-,0,0,1
independent/cached/k4,1,++/--/-+/++,0,0,1
independent/cached/k4,1,++/--/+-/--,0,0,1
independent/cached/k4,1,++/--/+-/-+,0,0,1
independent/cached/k4,1,++/--/+-/+-,0,0,1
independent/cached/k4,1,++/--/+-/++,0,0,1
independent/cached/k4,1,++/--/++/--,0,0,1
independent/cached/k4,1,++/--/++/-+,0,0,1
independent/cached/k4,1,++/--/++/+-,0,0,1
independent/cached/k4,1,++/--/++/++,0,0,1
independent/cached/k4,1,++/-+/--/--,0,0,1
independent/cached/k4,1,++/-+/--/-+,0,0,1
independent/cached/k4,1,++/-+/--/+-,0,0,1
independent/cached/k4,1,++/-+/--/++,0,0,1
independent/cached/k4,1,++/-+/-+/--,0,0,1
independent/cached/k4,1,++/-+/-+/-+,0,0,1
independent/cached/k4,1,++/-+/-+/+-,0,0,1
independent/cached/k4,1,++/-+/-+/++,0,0,1
independent/cached/k4,1,++/-+/+-/--,0,0,1
independent/cached/k4,1,++/-+/+-/-+,0,0,1
independent/cached/k4,1,++/-+/+-/+-,0,0,1
independent/cached/k4,1,++/-+/+-/++,0,0,1
independent/cached/k4,1,++/-+/++/--,0,0,1
independent/cached/k4,1,++/-+/++/-+,0,0,1
independent/cached/k4,1,++/-+/++/+-,0,0,1
independent/cached/k4,1,++/-+/++/++,0,0,1
independent/cached/k4,1,++/+-/--/--,0,0,1
independent/cached/k4,1,++/+-/--/-+,0,0,1
independent/cached/k4,1,++/+-/--/+-,0,0,1
independent/cached/k4,1,++/+-/--/++,0,0,1
independent/cached/k4,1,++/+-/-+/--,0,0,1
independent/cached/k4,1,++/+-/-+/-+,0,0,1
independent/cached/k4,1,++/+-/-+/+-,0,0,1
independent/cached/k4,1,++/+-/-+/++,0,0,1
independent/cached/k4,1,++/+-/+-/--,0,0,1
independent/cached/k4,1,++/+-/+-/-+,0,0,1
independent/cached/k4,1,++/+-/+-/+-,0,0,1
independent/cached/k4,1,++/+-/+-/++,0,0,1
independent/cached/k4,1,++/+-/++/--,0,0,1
independent/cached/k4,1,++/+-/++/-+,0,0,1
independent/cached/k4,1,++/+-/++/+-,0,0,1
independent/cached/k4,1,++/+-/++/++,0,0,1
independent/cached/k4,1,++/++/--/--,0,0,1
independent/cached/k4,1,++/++/--/-+,0,0,1
independent/cached/k4,1,++/++/--/+-,0,0,1
independent/cached/k4,1,++/++/--/++,0,0,1
independent/cached/k4,1,++/++/-+/--,0,0,1
independent/cached/k4,1,++/++/-+/-+,0,0,1
independent/cached/k4,1,++/++/-+/+-,0,0,1
independent/cached/k4,1,++/++/-+/++,0,0,1
independent/cached/k4,1,++/++/+-/--,0,0,1
independent/cached/k4,1,++/++/+-/-+,0,0,1
independent/cached/k4,1,++/++/+-/+-,0,0,1
independent/cached/k4,1,++/++/+-/++,0,0,1
independent/cached/k4,1,++/++/++/--,0,0,1
independent/cached/k4,1,++/++/++/-+,0,0,1
independent/cached/k4,1,++/++/++/+-,0,0,1
independent/cached/k4,1,++/++/++/++,5/32,5,32
coordinated/fresh/k1,-1,--,1/8,1,8
coordinated/fresh/k1,-1,-+,1/8,1,8
coordinated/fresh/k1,-1,+-,1/8,1,8
coordinated/fresh/k1,-1,++,1/8,1,8
coordinated/fresh/k1,1,--,1/8,1,8
coordinated/fresh/k1,1,-+,1/8,1,8
coordinated/fresh/k1,1,+-,1/8,1,8
coordinated/fresh/k1,1,++,1/8,1,8
coordinated/fresh/k2,-1,--/--,1/32,1,32
coordinated/fresh/k2,-1,--/-+,1/32,1,32
coordinated/fresh/k2,-1,--/+-,1/32,1,32
coordinated/fresh/k2,-1,--/++,1/32,1,32
coordinated/fresh/k2,-1,-+/--,1/32,1,32
coordinated/fresh/k2,-1,-+/-+,1/16,1,16
coordinated/fresh/k2,-1,-+/+-,0,0,1
coordinated/fresh/k2,-1,-+/++,1/32,1,32
coordinated/fresh/k2,-1,+-/--,1/32,1,32
coordinated/fresh/k2,-1,+-/-+,0,0,1
coordinated/fresh/k2,-1,+-/+-,1/16,1,16
coordinated/fresh/k2,-1,+-/++,1/32,1,32
coordinated/fresh/k2,-1,++/--,1/32,1,32
coordinated/fresh/k2,-1,++/-+,1/32,1,32
coordinated/fresh/k2,-1,++/+-,1/32,1,32
coordinated/fresh/k2,-1,++/++,1/32,1,32
coordinated/fresh/k2,1,--/--,1/16,1,16
coordinated/fresh/k2,1,--/-+,1/32,1,32
coordinated/fresh/k2,1,--/+-,1/32,1,32
coordinated/fresh/k2,1,--/++,0,0,1
coordinated/fresh/k2,1,-+/--,1/32,1,32
coordinated/fresh/k2,1,-+/-+,1/32,1,32
coordinated/fresh/k2,1,-+/+-,1/32,1,32
coordinated/fresh/k2,1,-+/++,1/32,1,32
coordinated/fresh/k2,1,+-/--,1/32,1,32
coordinated/fresh/k2,1,+-/-+,1/32,1,32
coordinated/fresh/k2,1,+-/+-,1/32,1,32
coordinated/fresh/k2,1,+-/++,1/32,1,32
coordinated/fresh/k2,1,++/--,0,0,1
coordinated/fresh/k2,1,++/-+,1/32,1,32
coordinated/fresh/k2,1,++/+-,1/32,1,32
coordinated/fresh/k2,1,++/++,1/16,1,16
coordinated/fresh/k4,-1,--/--/--/--,1/512,1,512
coordinated/fresh/k4,-1,--/--/--/-+,1/512,1,512
coordinated/fresh/k4,-1,--/--/--/+-,1/512,1,512
coordinated/fresh/k4,-1,--/--/--/++,1/512,1,512
coordinated/fresh/k4,-1,--/--/-+/--,1/512,1,512
coordinated/fresh/k4,-1,--/--/-+/-+,1/256,1,256
coordinated/fresh/k4,-1,--/--/-+/+-,0,0,1
coordinated/fresh/k4,-1,--/--/-+/++,1/512,1,512
coordinated/fresh/k4,-1,--/--/+-/--,1/512,1,512
coordinated/fresh/k4,-1,--/--/+-/-+,0,0,1
coordinated/fresh/k4,-1,--/--/+-/+-,1/256,1,256
coordinated/fresh/k4,-1,--/--/+-/++,1/512,1,512
coordinated/fresh/k4,-1,--/--/++/--,1/512,1,512
coordinated/fresh/k4,-1,--/--/++/-+,1/512,1,512
coordinated/fresh/k4,-1,--/--/++/+-,1/512,1,512
coordinated/fresh/k4,-1,--/--/++/++,1/512,1,512
coordinated/fresh/k4,-1,--/-+/--/--,1/512,1,512
coordinated/fresh/k4,-1,--/-+/--/-+,1/256,1,256
coordinated/fresh/k4,-1,--/-+/--/+-,0,0,1
coordinated/fresh/k4,-1,--/-+/--/++,1/512,1,512
coordinated/fresh/k4,-1,--/-+/-+/--,1/256,1,256
coordinated/fresh/k4,-1,--/-+/-+/-+,1/128,1,128
coordinated/fresh/k4,-1,--/-+/-+/+-,0,0,1
coordinated/fresh/k4,-1,--/-+/-+/++,1/256,1,256
coordinated/fresh/k4,-1,--/-+/+-/--,0,0,1
coordinated/fresh/k4,-1,--/-+/+-/-+,0,0,1
coordinated/fresh/k4,-1,--/-+/+-/+-,0,0,1
coordinated/fresh/k4,-1,--/-+/+-/++,0,0,1
coordinated/fresh/k4,-1,--/-+/++/--,1/512,1,512
coordinated/fresh/k4,-1,--/-+/++/-+,1/256,1,256
coordinated/fresh/k4,-1,--/-+/++/+-,0,0,1
coordinated/fresh/k4,-1,--/-+/++/++,1/512,1,512
coordinated/fresh/k4,-1,--/+-/--/--,1/512,1,512
coordinated/fresh/k4,-1,--/+-/--/-+,0,0,1
coordinated/fresh/k4,-1,--/+-/--/+-,1/256,1,256
coordinated/fresh/k4,-1,--/+-/--/++,1/512,1,512
coordinated/fresh/k4,-1,--/+-/-+/--,0,0,1
coordinated/fresh/k4,-1,--/+-/-+/-+,0,0,1
coordinated/fresh/k4,-1,--/+-/-+/+-,0,0,1
coordinated/fresh/k4,-1,--/+-/-+/++,0,0,1
coordinated/fresh/k4,-1,--/+-/+-/--,1/256,1,256
coordinated/fresh/k4,-1,--/+-/+-/-+,0,0,1
coordinated/fresh/k4,-1,--/+-/+-/+-,1/128,1,128
coordinated/fresh/k4,-1,--/+-/+-/++,1/256,1,256
coordinated/fresh/k4,-1,--/+-/++/--,1/512,1,512
coordinated/fresh/k4,-1,--/+-/++/-+,0,0,1
coordinated/fresh/k4,-1,--/+-/++/+-,1/256,1,256
coordinated/fresh/k4,-1,--/+-/++/++,1/512,1,512
coordinated/fresh/k4,-1,--/++/--/--,1/512,1,512
coordinated/fresh/k4,-1,--/++/--/-+,1/512,1,512
coordinated/fresh/k4,-1,--/++/--/+-,1/512,1,512
coordinated/fresh/k4,-1,--/++/--/++,1/512,1,512
coordinated/fresh/k4,-1,--/++/-+/--,1/512,1,512
coordinated/fresh/k4,-1,--/++/-+/-+,1/256,1,256
coordinated/fresh/k4,-1,--/++/-+/+-,0,0,1
coordinated/fresh/k4,-1,--/++/-+/++,1/512,1,512
coordinated/fresh/k4,-1,--/++/+-/--,1/512,1,512
coordinated/fresh/k4,-1,--/++/+-/-+,0,0,1
coordinated/fresh/k4,-1,--/++/+-/+-,1/256,1,256
coordinated/fresh/k4,-1,--/++/+-/++,1/512,1,512
coordinated/fresh/k4,-1,--/++/++/--,1/512,1,512
coordinated/fresh/k4,-1,--/++/++/-+,1/512,1,512
coordinated/fresh/k4,-1,--/++/++/+-,1/512,1,512
coordinated/fresh/k4,-1,--/++/++/++,1/512,1,512
coordinated/fresh/k4,-1,-+/--/--/--,1/512,1,512
coordinated/fresh/k4,-1,-+/--/--/-+,1/256,1,256
coordinated/fresh/k4,-1,-+/--/--/+-,0,0,1
coordinated/fresh/k4,-1,-+/--/--/++,1/512,1,512
coordinated/fresh/k4,-1,-+/--/-+/--,1/256,1,256
coordinated/fresh/k4,-1,-+/--/-+/-+,1/128,1,128
coordinated/fresh/k4,-1,-+/--/-+/+-,0,0,1
coordinated/fresh/k4,-1,-+/--/-+/++,1/256,1,256
coordinated/fresh/k4,-1,-+/--/+-/--,0,0,1
coordinated/fresh/k4,-1,-+/--/+-/-+,0,0,1
coordinated/fresh/k4,-1,-+/--/+-/+-,0,0,1
coordinated/fresh/k4,-1,-+/--/+-/++,0,0,1
coordinated/fresh/k4,-1,-+/--/++/--,1/512,1,512
coordinated/fresh/k4,-1,-+/--/++/-+,1/256,1,256
coordinated/fresh/k4,-1,-+/--/++/+-,0,0,1
coordinated/fresh/k4,-1,-+/--/++/++,1/512,1,512
coordinated/fresh/k4,-1,-+/-+/--/--,1/256,1,256
coordinated/fresh/k4,-1,-+/-+/--/-+,1/128,1,128
