seed,release,target,split,audit_budget,independent_loss,independent_candidate,independent_epoch,pooled_loss,pooled_candidate,pooled_epoch,catchup_loss,catchup_candidate,catchup_epoch,saved_loss,saved_candidate,saved_epoch
0,E_F_D,RAC1P,development_evaluation_person_weighted,120,1.2150538433352902,mlp_0,30,1.2028837854049805,catchup,5,1.2028837854049805,catchup,5,1.2174544478948957,saved_adversary,0
0,E_F_D,RAC1P,development_evaluation_person_weighted,360,1.2150538433352902,mlp_0,30,1.2028837854049805,catchup,5,1.2028837854049805,catchup,5,1.2174544478948957,saved_adversary,0
0,E_K_C,SEX,validation,120,0.6830412377910033,mlp_0,25,0.6745759477786555,catchup,15,0.6745759477786555,catchup,15,0.6831831524807433,saved_adversary,0
0,E_K_C,SEX,validation,360,0.6830412377910033,mlp_0,25,0.6745759477786555,catchup,15,0.6745759477786555,catchup,15,0.6831831524807433,saved_adversary,0
0,E_K_C,SEX,development_evaluation,120,0.6872099166564384,mlp_0,25,0.6773455389504729,catchup,15,0.6773455389504729,catchup,15,0.6806873463050599,saved_adversary,0
0,E_K_C,SEX,development_evaluation,360,0.6872099166564384,mlp_0,25,0.6773455389504729,catchup,15,0.6773455389504729,catchup,15,0.6806873463050599,saved_adversary,0
0,E_K_C,SEX,validation_person_weighted,120,0.6844064992012836,mlp_0,25,0.6758142205965004,catchup,15,0.6758142205965004,catchup,15,0.6820743558741641,saved_adversary,0
0,E_K_C,SEX,validation_person_weighted,360,0.6844064992012836,mlp_0,25,0.6758142205965004,catchup,15,0.6758142205965004,catchup,15,0.6820743558741641,saved_adversary,0
0,E_K_C,SEX,development_evaluation_person_weighted,120,0.6914150036289739,mlp_0,25,0.6812504794898354,catchup,15,0.6812504794898354,catchup,15,0.6810520723952981,saved_adversary,0
0,E_K_C,SEX,development_evaluation_person_weighted,360,0.6914150036289739,mlp_0,25,0.6812504794898354,catchup,15,0.6812504794898354,catchup,15,0.6810520723952981,saved_adversary,0
0,E_K_C,RAC1P,validation,120,1.2541465303068167,mlp_0,25,1.2301156343997715,catchup,5,1.2301156343997715,catchup,5,1.2317047996341788,saved_adversary,0
0,E_K_C,RAC1P,validation,360,1.2541465303068167,mlp_0,25,1.2301156343997715,catchup,5,1.2301156343997715,catchup,5,1.2317047996341788,saved_adversary,0
0,E_K_C,RAC1P,development_evaluation,120,1.2348383268997085,mlp_0,25,1.2048883767202472,catchup,5,1.2048883767202472,catchup,5,1.2114144338615591,saved_adversary,0
0,E_K_C,RAC1P,development_evaluation,360,1.2348383268997085,mlp_0,25,1.2048883767202472,catchup,5,1.2048883767202472,catchup,5,1.2114144338615591,saved_adversary,0
0,E_K_C,RAC1P,validation_person_weighted,120,1.2616344943800877,mlp_0,25,1.2391615781058314,catchup,5,1.2391615781058314,catchup,5,1.249652771599737,saved_adversary,0
0,E_K_C,RAC1P,validation_person_weighted,360,1.2616344943800877,mlp_0,25,1.2391615781058314,catchup,5,1.2391615781058314,catchup,5,1.249652771599737,saved_adversary,0
0,E_K_C,RAC1P,development_evaluation_person_weighted,120,1.2144491410253866,mlp_0,25,1.1873505768092065,catchup,5,1.1873505768092065,catchup,5,1.1985067043282212,saved_adversary,0
0,E_K_C,RAC1P,development_evaluation_person_weighted,360,1.2144491410253866,mlp_0,25,1.1873505768092065,catchup,5,1.1873505768092065,catchup,5,1.1985067043282212,saved_adversary,0
0,E_K_D,SEX,validation,120,0.6833150010880634,mlp_0,25,0.6742990498859284,catchup,10,0.6742990498859284,catchup,10,0.6819230542637726,saved_adversary,0
0,E_K_D,SEX,validation,360,0.6833150010880634,mlp_0,25,0.6742990498859284,catchup,10,0.6742990498859284,catchup,10,0.6819230542637726,saved_adversary,0
0,E_K_D,SEX,development_evaluation,120,0.6870015006590626,mlp_0,25,0.6765520032637388,catchup,10,0.6765520032637388,catchup,10,0.6794326887201433,saved_adversary,0
0,E_K_D,SEX,development_evaluation,360,0.6870015006590626,mlp_0,25,0.6765520032637388,catchup,10,0.6765520032637388,catchup,10,0.6794326887201433,saved_adversary,0
0,E_K_D,SEX,validation_person_weighted,120,0.6845757927720975,mlp_0,25,0.6740467673389321,catchup,10,0.6740467673389321,catchup,10,0.6814018800927288,saved_adversary,0
0,E_K_D,SEX,validation_person_weighted,360,0.6845757927720975,mlp_0,25,0.6740467673389321,catchup,10,0.6740467673389321,catchup,10,0.6814018800927288,saved_adversary,0
0,E_K_D,SEX,development_evaluation_person_weighted,120,0.690732459388844,mlp_0,25,0.6809571029583842,catchup,10,0.6809571029583842,catchup,10,0.6809086299962377,saved_adversary,0
0,E_K_D,SEX,development_evaluation_person_weighted,360,0.690732459388844,mlp_0,25,0.6809571029583842,catchup,10,0.6809571029583842,catchup,10,0.6809086299962377,saved_adversary,0
0,E_K_D,RAC1P,validation,120,1.254366165971582,mlp_0,25,1.2255670427003669,catchup,0,1.2255670427003669,catchup,0,1.2255670427003669,saved_adversary,0
0,E_K_D,RAC1P,validation,360,1.254366165971582,mlp_0,25,1.2255670427003669,catchup,0,1.2255670427003669,catchup,0,1.2255670427003669,saved_adversary,0
