seed,release,target,split,selector,loss120,loss360,difference,candidate120,candidate360
0,E_F_C,RAC1P,development_evaluation,candidate:hist_gb_5,1.4327735275088176,1.4327735275088176,0.0,hist_gb_5,hist_gb_5
0,E_F_C,RAC1P,development_evaluation,candidate:catchup,1.219496106810147,1.219496106810147,0.0,catchup,catchup
0,E_F_C,RAC1P,development_evaluation,candidate:saved_adversary,1.22913269533672,1.22913269533672,0.0,saved_adversary,saved_adversary
0,E_F_C,RAC1P,validation_person_weighted,primary,1.2551885940234588,1.2551885940234588,0.0,mlp_0,mlp_0
0,E_F_C,RAC1P,validation_person_weighted,pooled,1.2307355777717603,1.2307355777717603,0.0,catchup,catchup
0,E_F_C,RAC1P,validation_person_weighted,candidate:logistic,1.2733451260825257,1.2733451260825257,0.0,logistic,logistic
0,E_F_C,RAC1P,validation_person_weighted,candidate:mlp_0,1.2551885940234588,1.2551885940234588,0.0,mlp_0,mlp_0
0,E_F_C,RAC1P,validation_person_weighted,candidate:mlp_1,1.2535001815175546,1.2535001815175546,0.0,mlp_1,mlp_1
0,E_F_C,RAC1P,validation_person_weighted,candidate:hist_gb_20,1.473363679209108,1.473363679209108,0.0,hist_gb_20,hist_gb_20
0,E_F_C,RAC1P,validation_person_weighted,candidate:hist_gb_5,1.462763806786209,1.462763806786209,0.0,hist_gb_5,hist_gb_5
0,E_F_C,RAC1P,validation_person_weighted,candidate:catchup,1.2307355777717603,1.2307355777717603,0.0,catchup,catchup
0,E_F_C,RAC1P,validation_person_weighted,candidate:saved_adversary,1.2491745432710522,1.2491745432710522,0.0,saved_adversary,saved_adversary
0,E_F_C,RAC1P,development_evaluation_person_weighted,primary,1.2136239833684748,1.2136239833684748,0.0,mlp_0,mlp_0
0,E_F_C,RAC1P,development_evaluation_person_weighted,pooled,1.2053688429288785,1.2053688429288785,0.0,catchup,catchup
0,E_F_C,RAC1P,development_evaluation_person_weighted,candidate:logistic,1.2478352749274921,1.2478352749274921,0.0,logistic,logistic
0,E_F_C,RAC1P,development_evaluation_person_weighted,candidate:mlp_0,1.2136239833684748,1.2136239833684748,0.0,mlp_0,mlp_0
0,E_F_C,RAC1P,development_evaluation_person_weighted,candidate:mlp_1,1.2147814150009575,1.2147814150009575,0.0,mlp_1,mlp_1
0,E_F_C,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_20,1.4153117052119266,1.4153117052119266,0.0,hist_gb_20,hist_gb_20
0,E_F_C,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_5,1.4009752410049219,1.4009752410049219,0.0,hist_gb_5,hist_gb_5
0,E_F_C,RAC1P,development_evaluation_person_weighted,candidate:catchup,1.2053688429288785,1.2053688429288785,0.0,catchup,catchup
0,E_F_C,RAC1P,development_evaluation_person_weighted,candidate:saved_adversary,1.219743824163333,1.219743824163333,0.0,saved_adversary,saved_adversary
0,E_F_D,SEX,validation,primary,0.6758554457769218,0.6758554457769218,0.0,mlp_1,mlp_1
0,E_F_D,SEX,validation,pooled,0.6623720131017078,0.6623720131017078,0.0,catchup,catchup
0,E_F_D,SEX,validation,candidate:logistic,0.6890798821904122,0.6890798821904122,0.0,logistic,logistic
0,E_F_D,SEX,validation,candidate:mlp_0,0.6760663021679623,0.6760663021679623,0.0,mlp_0,mlp_0
0,E_F_D,SEX,validation,candidate:mlp_1,0.6758554457769218,0.6758554457769218,0.0,mlp_1,mlp_1
0,E_F_D,SEX,validation,candidate:hist_gb_20,0.7005631933411195,0.7005631933411195,0.0,hist_gb_20,hist_gb_20
0,E_F_D,SEX,validation,candidate:hist_gb_5,0.6946391070824308,0.6946391070824308,0.0,hist_gb_5,hist_gb_5
0,E_F_D,SEX,validation,candidate:catchup,0.6623720131017078,0.6623720131017078,0.0,catchup,catchup
0,E_F_D,SEX,validation,candidate:saved_adversary,0.6740528528295745,0.6740528528295745,0.0,saved_adversary,saved_adversary
0,E_F_D,SEX,development_evaluation,primary,0.6816838573897842,0.6816838573897842,0.0,mlp_1,mlp_1
0,E_F_D,SEX,development_evaluation,pooled,0.6712540370450266,0.6712540370450266,0.0,catchup,catchup
0,E_F_D,SEX,development_evaluation,candidate:logistic,0.6896980914004064,0.6896980914004064,0.0,logistic,logistic
0,E_F_D,SEX,development_evaluation,candidate:mlp_0,0.6849213406899249,0.6849213406899249,0.0,mlp_0,mlp_0
0,E_F_D,SEX,development_evaluation,candidate:mlp_1,0.6816838573897842,0.6816838573897842,0.0,mlp_1,mlp_1
0,E_F_D,SEX,development_evaluation,candidate:hist_gb_20,0.7109937375634326,0.7109937375634326,0.0,hist_gb_20,hist_gb_20
0,E_F_D,SEX,development_evaluation,candidate:hist_gb_5,0.7109630113478381,0.7109630113478381,0.0,hist_gb_5,hist_gb_5
0,E_F_D,SEX,development_evaluation,candidate:catchup,0.6712540370450266,0.6712540370450266,0.0,catchup,catchup
0,E_F_D,SEX,development_evaluation,candidate:saved_adversary,0.6823988395109396,0.6823988395109396,0.0,saved_adversary,saved_adversary
0,E_F_D,SEX,validation_person_weighted,primary,0.6730926898774319,0.6730926898774319,0.0,mlp_1,mlp_1
0,E_F_D,SEX,validation_person_weighted,pooled,0.6591917742819782,0.6591917742819782,0.0,catchup,catchup
0,E_F_D,SEX,validation_person_weighted,candidate:logistic,0.6870222011137602,0.6870222011137602,0.0,logistic,logistic
0,E_F_D,SEX,validation_person_weighted,candidate:mlp_0,0.6740587260333456,0.6740587260333456,0.0,mlp_0,mlp_0
0,E_F_D,SEX,validation_person_weighted,candidate:mlp_1,0.6730926898774319,0.6730926898774319,0.0,mlp_1,mlp_1
0,E_F_D,SEX,validation_person_weighted,candidate:hist_gb_20,0.6996169782809303,0.6996169782809303,0.0,hist_gb_20,hist_gb_20
0,E_F_D,SEX,validation_person_weighted,candidate:hist_gb_5,0.6950889073126795,0.6950889073126795,0.0,hist_gb_5,hist_gb_5
0,E_F_D,SEX,validation_person_weighted,candidate:catchup,0.6591917742819782,0.6591917742819782,0.0,catchup,catchup
0,E_F_D,SEX,validation_person_weighted,candidate:saved_adversary,0.6678093867338698,0.6678093867338698,0.0,saved_adversary,saved_adversary
0,E_F_D,SEX,development_evaluation_person_weighted,primary,0.6834332333085297,0.6834332333085297,0.0,mlp_1,mlp_1
0,E_F_D,SEX,development_evaluation_person_weighted,pooled,0.6716379110130878,0.6716379110130878,0.0,catchup,catchup
0,E_F_D,SEX,development_evaluation_person_weighted,candidate:logistic,0.6913652635443517,0.6913652635443517,0.0,logistic,logistic
0,E_F_D,SEX,development_evaluation_person_weighted,candidate:mlp_0,0.6880900067430047,0.6880900067430047,0.0,mlp_0,mlp_0
0,E_F_D,SEX,development_evaluation_person_weighted,candidate:mlp_1,0.6834332333085297,0.6834332333085297,0.0,mlp_1,mlp_1
0,E_F_D,SEX,development_evaluation_person_weighted,candidate:hist_gb_20,0.7093837984484894,0.7093837984484894,0.0,hist_gb_20,hist_gb_20
0,E_F_D,SEX,development_evaluation_person_weighted,candidate:hist_gb_5,0.7077045377352263,0.7077045377352263,0.0,hist_gb_5,hist_gb_5
0,E_F_D,SEX,development_evaluation_person_weighted,candidate:catchup,0.6716379110130878,0.6716379110130878,0.0,catchup,catchup
0,E_F_D,SEX,development_evaluation_person_weighted,candidate:saved_adversary,0.6813435635924376,0.6813435635924376,0.0,saved_adversary,saved_adversary
0,E_F_D,RAC1P,validation,primary,1.2487641825857096,1.2487641825857096,0.0,mlp_0,mlp_0
0,E_F_D,RAC1P,validation,pooled,1.2291893064086064,1.2291893064086064,0.0,catchup,catchup
0,E_F_D,RAC1P,validation,candidate:logistic,1.2629601706489713,1.2629601706489713,0.0,logistic,logistic
0,E_F_D,RAC1P,validation,candidate:mlp_0,1.2487641825857096,1.2487641825857096,0.0,mlp_0,mlp_0
0,E_F_D,RAC1P,validation,candidate:mlp_1,1.2545204846025164,1.2545204846025164,0.0,mlp_1,mlp_1
0,E_F_D,RAC1P,validation,candidate:hist_gb_20,1.4813936986577834,1.4813936986577834,0.0,hist_gb_20,hist_gb_20
0,E_F_D,RAC1P,validation,candidate:hist_gb_5,1.4654021299009927,1.4654021299009927,0.0,hist_gb_5,hist_gb_5
0,E_F_D,RAC1P,validation,candidate:catchup,1.2291893064086064,1.2291893064086064,0.0,catchup,catchup
0,E_F_D,RAC1P,validation,candidate:saved_adversary,1.2364668670499468,1.2364668670499468,0.0,saved_adversary,saved_adversary
0,E_F_D,RAC1P,development_evaluation,primary,1.2318067695594441,1.2318067695594441,0.0,mlp_0,mlp_0
0,E_F_D,RAC1P,development_evaluation,pooled,1.2174342617050875,1.2174342617050875,0.0,catchup,catchup
0,E_F_D,RAC1P,development_evaluation,candidate:logistic,1.2716689625449498,1.2716689625449498,0.0,logistic,logistic
0,E_F_D,RAC1P,development_evaluation,candidate:mlp_0,1.2318067695594441,1.2318067695594441,0.0,mlp_0,mlp_0
0,E_F_D,RAC1P,development_evaluation,candidate:mlp_1,1.2402497590340404,1.2402497590340404,0.0,mlp_1,mlp_1
0,E_F_D,RAC1P,development_evaluation,candidate:hist_gb_20,1.4386628479211931,1.4386628479211931,0.0,hist_gb_20,hist_gb_20
0,E_F_D,RAC1P,development_evaluation,candidate:hist_gb_5,1.4239545724712004,1.4239545724712004,0.0,hist_gb_5,hist_gb_5
0,E_F_D,RAC1P,development_evaluation,candidate:catchup,1.2174342617050875,1.2174342617050875,0.0,catchup,catchup
0,E_F_D,RAC1P,development_evaluation,candidate:saved_adversary,1.2258134773760259,1.2258134773760259,0.0,saved_adversary,saved_adversary
0,E_F_D,RAC1P,validation_person_weighted,primary,1.2581063565151662,1.2581063565151662,0.0,mlp_0,mlp_0
0,E_F_D,RAC1P,validation_person_weighted,pooled,1.2380061945237018,1.2380061945237018,0.0,catchup,catchup
0,E_F_D,RAC1P,validation_person_weighted,candidate:logistic,1.2732554554790765,1.2732554554790765,0.0,logistic,logistic
0,E_F_D,RAC1P,validation_person_weighted,candidate:mlp_0,1.2581063565151662,1.2581063565151662,0.0,mlp_0,mlp_0
0,E_F_D,RAC1P,validation_person_weighted,candidate:mlp_1,1.2560032354435982,1.2560032354435982,0.0,mlp_1,mlp_1
0,E_F_D,RAC1P,validation_person_weighted,candidate:hist_gb_20,1.4748268564306322,1.4748268564306322,0.0,hist_gb_20,hist_gb_20
0,E_F_D,RAC1P,validation_person_weighted,candidate:hist_gb_5,1.459447667292058,1.459447667292058,0.0,hist_gb_5,hist_gb_5
