seed,comparison,left,right,target,split,left_minus_right,left_value,right_value
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,source_validation,-0.01344002337312622,0.31938449368268623,0.33282451705581245
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,source_validation_person_weighted,-0.03498851163710165,0.2914682018945039,0.32645671353160555
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,source_validation_person_weighted,-0.02930897900081547,0.30211499644119394,0.3314239754420094
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,source_validation_person_weighted,-0.015551753519225553,0.3101278376432323,0.32567959116245787
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,development_evaluation,-0.030350293841552745,0.303148443910492,0.33349873775204475
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,development_evaluation,-0.04049346908546625,0.28645613663540836,0.3269496057208746
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,development_evaluation,-0.008604315629505144,0.29746272446050687,0.306067040090012
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,development_evaluation_person_weighted,-0.027042645296146528,0.3096245335430608,0.3366671788392073
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,development_evaluation_person_weighted,-0.0377609613277225,0.2980768670811427,0.3358378284088652
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,income_binary,development_evaluation_person_weighted,-0.010294921374720212,0.31089498672319055,0.32118990809791076
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,source_validation,-0.09652835599378223,0.30896973205163925,0.4054980880454215
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,source_validation,-0.0417595721048693,0.3343330789349156,0.3760926510397849
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,source_validation,-0.04512337541470518,0.3022888326634327,0.3474122080781379
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,source_validation_person_weighted,-0.08634197772172653,0.3032382322740859,0.38958020999581244
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,source_validation_person_weighted,-0.036613331331166676,0.3290538158690531,0.36566714720021976
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,source_validation_person_weighted,-0.04541206934048997,0.30276008964670803,0.348172158987198
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,development_evaluation,-0.08707911908206645,0.29511588757451934,0.3821950066565858
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,development_evaluation,-0.042258994616710954,0.30220031404262565,0.3444593086593366
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,development_evaluation,-0.04358673558248649,0.30567337838341563,0.3492601139659021
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,development_evaluation_person_weighted,-0.08442280735374241,0.273971736842884,0.3583945441966264
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,development_evaluation_person_weighted,-0.03953749917453797,0.29060992699985044,0.3301474261743884
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,civilian_at_work,development_evaluation_person_weighted,-0.04062456724111824,0.2956306847256955,0.3362552519668137
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,source_validation,-0.016164717962230957,0.4908826077323213,0.5070473256945522
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,source_validation,-0.00983562341633687,0.48234554042161965,0.4921811638379565
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,source_validation,-0.011012943789620921,0.48939110781150785,0.5004040516011288
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,source_validation_person_weighted,-0.01880111518145633,0.4947733919699462,0.5135745071514025
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,source_validation_person_weighted,-0.016314440697567878,0.4886971116328814,0.5050115523304493
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,source_validation_person_weighted,-0.008849303638093109,0.506575126822206,0.5154244304602991
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,development_evaluation,0.001174953396763434,0.5270316586342843,0.5258567052375208
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,development_evaluation,-0.004154915736883813,0.4992361836048657,0.5033910993417495
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,development_evaluation,0.008663942338450081,0.49732055019932575,0.48865660786087567
0,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,development_evaluation_person_weighted,0.0069303823612321125,0.5402233631742697,0.5332929808130376
1,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,development_evaluation_person_weighted,-0.004107729406317984,0.5040137410545589,0.5081214704608769
2,native_main_minus_equal_exposure_bank,E_F_D,E_bank,public_coverage,development_evaluation_person_weighted,0.014457956452745724,0.5107671625608473,0.4963092061081016
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,source_validation,0.014368842173293539,0.3439348165669202,0.32956597439362667
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,source_validation,0.0024199234619452503,0.33712743011963014,0.3347075066576849
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,source_validation,0.0052153971493260065,0.33803991420513846,0.33282451705581245
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,source_validation_person_weighted,0.01764765430630938,0.3441043678379149,0.32645671353160555
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,source_validation_person_weighted,0.005161327275755523,0.33658530271776493,0.3314239754420094
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,source_validation_person_weighted,0.009071079898099688,0.33475067106055756,0.32567959116245787
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,development_evaluation,0.0065411141932295025,0.34003985194527425,0.33349873775204475
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,development_evaluation,0.0037274948351753157,0.33067710055604993,0.3269496057208746
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,development_evaluation,0.011591936774430489,0.3176589768644425,0.306067040090012
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,development_evaluation_person_weighted,0.006021799649930826,0.34268897848913815,0.3366671788392073
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,development_evaluation_person_weighted,0.008146895662862863,0.3439847240717281,0.3358378284088652
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,development_evaluation_person_weighted,0.010428899533556357,0.3316188076314671,0.32118990809791076
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,source_validation,0.012478961091678953,0.41797704913710043,0.4054980880454215
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,source_validation,0.004474329682181755,0.38056698072196665,0.3760926510397849
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,source_validation,0.004541194327818854,0.35195340240595674,0.3474122080781379
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,source_validation_person_weighted,0.02039958656467611,0.40997979656048855,0.38958020999581244
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,source_validation_person_weighted,0.003586934451037249,0.369254081651257,0.36566714720021976
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,source_validation_person_weighted,-0.0009167549526125085,0.3472554040345855,0.348172158987198
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,development_evaluation,0.029486485755047975,0.41168149241163376,0.3821950066565858
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,development_evaluation,0.0021915612121022887,0.3466508698714389,0.3444593086593366
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,development_evaluation,-0.0012149679005951652,0.34804514606530695,0.3492601139659021
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,development_evaluation_person_weighted,0.03490005535746604,0.39329459955409246,0.3583945441966264
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,development_evaluation_person_weighted,0.0009872396865217015,0.3311346658609101,0.3301474261743884
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,development_evaluation_person_weighted,-0.0021215654922221994,0.3341336864745915,0.3362552519668137
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,source_validation,4.158179035540499e-07,0.5070477415124558,0.5070473256945522
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,source_validation,0.00453185172000703,0.49671301555796354,0.4921811638379565
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,source_validation,-0.005616236393569729,0.49478781520755905,0.5004040516011288
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,source_validation_person_weighted,0.00286970126073971,0.5164442084121422,0.5135745071514025
