seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,evidence_audit_budget,origin_metrics,origin_release,validation_auroc,validation_coverage_complete
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,0,0,0.6735015633261249,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,5,40,0.418325045578412,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,10,80,0.32565169962393004,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,15,120,0.3151984104172231,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,20,160,0.31358265953434483,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,25,200,0.31320812284880195,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,30,240,0.31367497608471384,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,35,280,0.31424049737083865,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,40,320,0.3149576689703149,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,0,0,0.6446985195195112,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,5,40,0.5208573824604602,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,10,80,0.5012951273005526,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,15,120,0.4992950817499558,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,20,160,0.4983707629523649,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,25,200,0.49739094393019984,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,30,240,0.4981756786678767,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,35,280,0.4988938962817318,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,40,320,0.49915153425237974,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
