comparison,left,right,target,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,source_validation,3,3,True,0.007334720928188265,0.0062500251641365865,"{""0"":0.014368842173293539,""1"":0.0024199234619452503,""2"":0.0052153971493260065}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,source_validation_person_weighted,3,3,True,0.010626687160054863,0.006386863560744877,"{""0"":0.01764765430630938,""1"":0.005161327275755523,""2"":0.009071079898099688}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,development_evaluation,3,3,True,0.007286848600945102,0.00398490296106657,"{""0"":0.0065411141932295025,""1"":0.0037274948351753157,""2"":0.011591936774430489}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,income_binary,development_evaluation_person_weighted,3,3,True,0.008199198282116682,0.002204015430764642,"{""0"":0.006021799649930826,""1"":0.008146895662862863,""2"":0.010428899533556357}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,source_validation,3,3,True,0.007164828367226521,0.004602295370793928,"{""0"":0.012478961091678953,""1"":0.004474329682181755,""2"":0.004541194327818854}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,source_validation_person_weighted,3,3,True,0.007689922021033617,0.011234878022038295,"{""0"":0.02039958656467611,""1"":0.003586934451037249,""2"":-0.0009167549526125085}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,development_evaluation,3,3,True,0.0101543596888517,0.0168285303526004,"{""0"":0.029486485755047975,""1"":0.0021915612121022887,""2"":-0.0012149679005951652}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.011255243183921848,0.020535920345859448,"{""0"":0.03490005535746604,""1"":0.0009872396865217015,""2"":-0.0021215654922221994}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,source_validation,3,3,True,-0.0003613229518863818,0.005083705763850454,"{""0"":4.158179035540499e-07,""1"":0.00453185172000703,""2"":-0.005616236393569729}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,source_validation_person_weighted,3,3,True,-0.0009009075259064359,0.005654105527172239,"{""0"":0.00286970126073971,""1"":0.0018296077637682817,""2"":-0.007402031602227299}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,development_evaluation,3,3,True,0.006102224880386642,0.006197304338392271,"{""0"":-0.00046872437032008385,""1"":0.006933407240924505,""2"":0.011841991770555504}"
native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,development_evaluation_person_weighted,3,3,True,0.005142686524428545,0.006137188724988206,"{""0"":0.0006363965353770595,""1"":0.0026592612041533847,""2"":0.012132401833755191}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,source_validation,3,3,True,0.007966017348205345,0.005852501358465986,"{""0"":0.014723868810392782,""1"":0.004568253833150904,""2"":0.004605929401072351}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,source_validation_person_weighted,3,3,True,0.010960868213667041,0.0057310552831958675,"{""0"":0.01753481792752465,""1"":0.007016334592215345,""2"":0.00833145212126113}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,development_evaluation,3,3,True,0.007423365471103856,0.003260814589760863,"{""0"":0.005947785175234921,""1"":0.005161170805471793,""2"":0.011161140432604855}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,development_evaluation_person_weighted,3,3,True,0.008372051573067455,0.002284307296515585,"{""0"":0.005734640726921703,""1"":0.009724041322615395,""2"":0.009657472669665268}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,source_validation,3,3,True,0.007465608156452919,0.004699727805997867,"{""0"":0.012775871335904465,""1"":0.005779120037871399,""2"":0.0038418330955828917}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,source_validation_person_weighted,3,3,True,0.007966798022696306,0.011421569110174716,"{""0"":0.02055850245106494,""1"":0.005067852582320842,""2"":-0.0017259609652968688}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,development_evaluation,3,3,True,0.009919516027518357,0.01715149534274867,"{""0"":0.02956951369776256,""1"":0.0022350746342504335,""2"":-0.0020460402494579255}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.010981067201454161,0.020517142193398754,"{""0"":0.034561157592560066,""1"":0.0011753674003826542,""2"":-0.0027933233885802378}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,source_validation,3,3,True,-0.000242095153048257,0.005482330767582451,"{""0"":0.0007537105617794193,""1"":0.0046740789079902645,""2"":-0.006154074928914455}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,source_validation_person_weighted,3,3,True,-0.0006723916704073721,0.006095368452288815,"{""0"":0.0040026477613654965,""1"":0.0015465698550463092,""2"":-0.007566392627633922}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,development_evaluation,3,3,True,0.006742285351297376,0.005354450393117208,"{""0"":0.0009617328920963342,""1"":0.007732811870496126,""2"":0.011532311291299668}"
native_main_minus_equal_exposure_bank,E_K_D,E_bank,public_coverage,development_evaluation_person_weighted,3,3,True,0.005732844282160994,0.005352625093687396,"{""0"":0.002298297471468369,""1"":0.0030000040319426713,""2"":0.011900231343071943}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,source_validation,3,3,True,-0.013517106966398703,0.007593069673304732,"{""0"":-0.004883727733595078,""1"":-0.01650968203692227,""2"":-0.019157911128678762}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,source_validation_person_weighted,3,3,True,-0.012091683855459704,0.008211648128543476,"{""0"":-0.0031416864538098,""1"":-0.013854796705099814,""2"":-0.0192785684074695}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,development_evaluation,3,3,True,-0.017340918729058723,0.009687501334800832,"{""0"":-0.01807508929214524,""1"":-0.026640447503118947,""2"":-0.007307219391911979}"
