unit,seed,stage,point,diagnostic_scope,coefficients,reconstruction_coefficient,decoder_objective_path,source_loss,preservation_loss,normalized_adversary_ce,raw_protection_definition,protection_available,input_teacher_l2,input_raw_l2,teacher_input_weight_l2,raw_input_weight_l2,source_raw_mapper_l2,source_raw_teacher_input_weight_l2,source_raw_raw_input_weight_l2,source_applied_mapper_l2,source_applied_teacher_input_weight_l2,source_applied_raw_input_weight_l2,teacher_raw_mapper_l2,teacher_raw_teacher_input_weight_l2,teacher_raw_raw_input_weight_l2,teacher_applied_mapper_l2,teacher_applied_teacher_input_weight_l2,teacher_applied_raw_input_weight_l2,protection_raw_mapper_l2,protection_raw_teacher_input_weight_l2,protection_raw_raw_input_weight_l2,protection_applied_mapper_l2,protection_applied_teacher_input_weight_l2,protection_applied_raw_input_weight_l2,teacher_protection_raw_dot,teacher_protection_raw_cosine,teacher_protection_applied_dot,teacher_protection_applied_cosine,source_protection_raw_dot,source_protection_raw_cosine,source_protection_applied_dot,source_protection_applied_cosine,source_teacher_raw_dot,source_teacher_raw_cosine,source_teacher_applied_dot,source_teacher_applied_cosine,training_state_unchanged,torch_rng_unchanged,optimizer_steps,preservation_nonmapper_gradients_all_absent,cosine_zero_policy,hypothetical_preobserver_warmup,protection_observer_basis,diagnostic_observer_state_sha256
E_F,0,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.7101714015007019,2.4118875655492833e-15,1.3632149696350098,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,88.41986083984375,8.0,0.0,0.6834924221038818,0.024006539955735207,0.06540528684854507,0.6834924221038818,0.024006539955735207,0.06540528684854507,2.0892376539904944e-07,8.165452314301547e-09,1.1172327951669558e-08,2.0892376539904944e-07,8.165452314301547e-09,1.1172327951669558e-08,0.09999744594097137,0.009217326529324055,0.02021927200257778,0.0,0.0,0.0,-3.93023125155878e-09,-0.18812276463817884,0.0,,-0.008982060477137566,-0.13141754904136,0.0,,7.057373352381546e-08,0.4942213980912772,7.057373352381546e-08,0.4942213980912772,True,True,0,True,None when either norm is zero or component unavailable,True,disposable original initialization,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
E_F,0,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.36312833428382874,0.03313678875565529,1.3653056621551514,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,88.41986083984375,7.77246618270874,3.320291519165039,0.33648058772087097,0.08080272376537323,0.19172503054141998,0.33648058772087097,0.08080272376537323,0.19172503054141998,0.34792277216911316,0.028335830196738243,0.07540921121835709,0.34792277216911316,0.028335830196738243,0.07540921121835709,0.09824027121067047,0.008739368990063667,0.020507846027612686,0.0,0.0,0.0,0.0045638675801455975,0.13352439755578502,0.0,,0.0036638551391661167,0.1108380119948229,0.0,,-0.02589876390993595,-0.22122600041997453,-0.02589876390993595,-0.22122600041997453,True,True,0,True,None when either norm is zero or component unavailable,True,disposable original initialization,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
E_F,0,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.36312833428382874,0.03313678875565529,0.9423688650131226,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,88.41986083984375,7.77246618270874,3.320291519165039,0.33648058772087097,0.08080272376537323,0.19172503054141998,0.33648058772087097,0.08080272376537323,0.19172503054141998,0.34792277216911316,0.028335830196738243,0.07540921121835709,0.34792277216911316,0.028335830196738243,0.07540921121835709,0.39927688241004944,0.09388227015733719,0.21035897731781006,0.039927687495946884,0.009388226084411144,0.021035898476839066,0.029879607260227203,0.21508883332461948,-0.002987960819154978,-0.21508884404235767,-0.0006479414878413081,-0.004822826172089061,6.479413423221558e-05,0.004822825178940427,-0.02589876390993595,-0.22122600041997453,-0.02589876390993595,-0.22122600041997453,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,3f5d6916e78cad762419bfddbb7bcbd0cca78b40f6f02129c44dee967bb1ab22
E_F,0,C,shared_fork,,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.36312833428382874,0.03313678875565529,0.9423688650131226,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,88.41986083984375,7.77246618270874,3.320291519165039,0.33648058772087097,0.08080272376537323,0.19172503054141998,0.33648058772087097,0.08080272376537323,0.19172503054141998,0.34792277216911316,0.028335830196738243,0.07540921121835709,0.34792277216911316,0.028335830196738243,0.07540921121835709,0.39927688241004944,0.09388227015733719,0.21035897731781006,0.0,0.0,0.0,0.029879607260227203,0.21508883332461948,0.0,,-0.0006479414878413081,-0.004822826172089061,0.0,,-0.02589876390993595,-0.22122600041997453,-0.02589876390993595,-0.22122600041997453,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,3f5d6916e78cad762419bfddbb7bcbd0cca78b40f6f02129c44dee967bb1ab22
E_F,0,C,final,,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.33306199312210083,0.02213074266910553,0.8835608959197998,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,88.41986083984375,7.7282304763793945,3.913374185562134,0.7037229537963867,0.1228986606001854,0.27023130655288696,0.7037229537963867,0.1228986606001854,0.27023130655288696,0.2729681730270386,0.025406450033187866,0.0593128465116024,0.2729681730270386,0.025406450033187866,0.0593128465116024,1.2324573993682861,0.19301575422286987,0.44949108362197876,0.0,0.0,0.0,0.11845079809427261,0.35209030091182464,0.0,,0.3606764078140259,0.415857082265382,0.0,,0.0697236955165863,0.36296660365815625,0.0697236955165863,0.36296660365815625,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,1eef3ecbab67914305b170c3c2fa510e0f8a783375c937f90c78e5358c263114
E_F,0,D,shared_fork,,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.36312833428382874,0.03313678875565529,0.9423688650131226,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,88.41986083984375,7.77246618270874,3.320291519165039,0.33648058772087097,0.08080272376537323,0.19172503054141998,0.33648058772087097,0.08080272376537323,0.19172503054141998,0.34792277216911316,0.028335830196738243,0.07540921121835709,0.34792277216911316,0.028335830196738243,0.07540921121835709,0.39927688241004944,0.09388227015733719,0.21035897731781006,0.039927687495946884,0.009388226084411144,0.021035898476839066,0.029879607260227203,0.21508883332461948,-0.002987960819154978,-0.21508884404235767,-0.0006479414878413081,-0.004822826172089061,6.479413423221558e-05,0.004822825178940427,-0.02589876390993595,-0.22122600041997453,-0.02589876390993595,-0.22122600041997453,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,3f5d6916e78cad762419bfddbb7bcbd0cca78b40f6f02129c44dee967bb1ab22
E_F,0,D,final,,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.33302462100982666,0.022012105211615562,0.8966482877731323,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,88.41986083984375,7.737239837646484,3.9155800342559814,0.70843905210495,0.12111885845661163,0.26260069012641907,0.70843905210495,0.12111885845661163,0.26260069012641907,0.24356721341609955,0.02547447942197323,0.05863059684634209,0.24356721341609955,0.02547447942197323,0.05863059684634209,0.9988414645195007,0.17201349139213562,0.3909788429737091,0.09988415241241455,0.01720135286450386,0.03909788653254509,0.09777477383613586,0.40189391418395753,-0.009777477942407131,-0.40189391317010653,0.2832928001880646,0.40034691027214103,-0.028329282999038696,-0.40034692849830855,0.07376740872859955,0.427506977299557,0.07376740872859955,0.427506977299557,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,bf867712347d4ed1ac8cfa48a07ee2bb0d2436ba28dbfdb0700fe7e4e2343e91
E_K,0,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.7101714015007019,2.4118875655492833e-15,1.3632149696350098,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,0.0,8.0,0.0,0.6803558468818665,0.024006539955735207,0.0,0.6803558468818665,0.024006539955735207,0.0,2.0862482585926045e-07,8.165452314301547e-09,0.0,2.0862482585926045e-07,8.165452314301547e-09,0.0,0.09793196618556976,0.009217326529324055,0.0,0.0,0.0,0.0,-3.926827751854489e-09,-0.19219911804802445,0.0,,-0.008924203924834728,-0.13393956691245837,0.0,,7.052282313679825e-08,0.4968526160935365,7.052282313679825e-08,0.4968526160935365,True,True,0,True,None when either norm is zero or component unavailable,True,disposable original initialization,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
E_K,0,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.46471908688545227,0.02057019993662834,1.3627886772155762,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,0.0,8.78519058227539,0.0,0.5544528365135193,0.14067643880844116,0.0,0.5544528365135193,0.14067643880844116,0.0,0.28555482625961304,0.05825074017047882,0.0,0.28555482625961304,0.05825074017047882,0.0,0.08617337048053741,0.009917019866406918,0.0,0.0,0.0,0.0,0.004616243299096823,0.18759709364612273,0.0,,0.01288779266178608,0.2697372038445394,0.0,,0.051063913851976395,0.32252247540007106,0.051063913851976395,0.32252247540007106,True,True,0,True,None when either norm is zero or component unavailable,True,disposable original initialization,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
E_K,0,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.46471908688545227,0.02057019993662834,0.9668087959289551,positive mean prior-entropy-normalized adversary CE,True,40.06552505493164,0.0,8.78519058227539,0.0,0.5544528365135193,0.14067643880844116,0.0,0.5544528365135193,0.14067643880844116,0.0,0.28555482625961304,0.05825074017047882,0.0,0.28555482625961304,0.05825074017047882,0.0,0.32024914026260376,0.07554953545331955,0.0,0.03202491253614426,0.007554954849183559,0.0,0.013682604767382145,0.14962057001967563,-0.0013682604767382145,-0.14962057698150646,-0.0010171981994062662,-0.005728659383680336,0.00010171985195484012,0.005728661453211677,0.051063913851976395,0.32252247540007106,0.051063913851976395,0.32252247540007106,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,7f14d254d25927419b7a1a40ca8e640eab52a08b6f95833705a6301dc1341a0f
