teacher,seed,source_release,bank,target,audit_budget,candidate_id,scope,selected_epoch,selected_epoch_zero,validation_log_loss,test_log_loss,test_person_weighted_log_loss,global_independent,global_catchup,global_pooled,witness_id
E,1,C,False,RAC1P,120,mlp_1,independent,40,False,1.2423026638067132,1.2682354243751468,1.2928139908152068,True,False,False,E_K/seed_1/audit/C/RAC1P/budget120/mlp_1
E,1,C,False,RAC1P,120,saved_adversary,saved_diagnostic,0,True,1.2225737861017572,1.2550099668953918,1.2877777642499044,False,False,False,E_K/seed_1/audit/C/RAC1P/budget120/saved_adversary
E,1,C,False,SEX,120,catchup,catchup,15,False,0.6656380350874115,0.6650386385200294,0.6689800094086693,False,True,True,E_K/seed_1/audit/C/SEX/budget120/catchup
E,1,C,False,SEX,120,hist_gb_20,independent,,False,0.725766770554288,0.7036201707510529,0.7112410388576995,False,False,False,E_K/seed_1/audit/C/SEX/budget120/hist_gb_20
E,1,C,False,SEX,120,hist_gb_5,independent,,False,0.7217707867329326,0.7035172857382752,0.7128949672917975,False,False,False,E_K/seed_1/audit/C/SEX/budget120/hist_gb_5
E,1,C,False,SEX,120,logistic,independent,,False,0.6958670414974905,0.6924175179449217,0.6917950676102812,False,False,False,E_K/seed_1/audit/C/SEX/budget120/logistic
E,1,C,False,SEX,120,mlp_0,independent,10,False,0.6905879163370038,0.6860601381602722,0.6887494504169043,False,False,False,E_K/seed_1/audit/C/SEX/budget120/mlp_0
E,1,C,False,SEX,120,mlp_1,independent,20,False,0.6869352828808236,0.6802451460544376,0.6826496237017509,True,False,False,E_K/seed_1/audit/C/SEX/budget120/mlp_1
E,1,C,False,SEX,120,saved_adversary,saved_diagnostic,0,True,0.670778123280524,0.6707517572941388,0.6701927555377192,False,False,False,E_K/seed_1/audit/C/SEX/budget120/saved_adversary
E,1,D,False,RAC1P,120,catchup,catchup,5,False,1.2144990294019071,1.2463283438955186,1.2746964508859686,False,True,True,E_K/seed_1/audit/D/RAC1P/budget120/catchup
E,1,D,False,RAC1P,120,hist_gb_20,independent,,False,1.466085318679224,1.511318962996844,1.5555625025593562,False,False,False,E_K/seed_1/audit/D/RAC1P/budget120/hist_gb_20
E,1,D,False,RAC1P,120,hist_gb_5,independent,,False,1.4535395371578492,1.499887926108117,1.5409425841272388,False,False,False,E_K/seed_1/audit/D/RAC1P/budget120/hist_gb_5
E,1,D,False,RAC1P,120,logistic,independent,,False,1.2741689619942527,1.306224140554173,1.3291054762956027,False,False,False,E_K/seed_1/audit/D/RAC1P/budget120/logistic
E,1,D,False,RAC1P,120,mlp_0,independent,50,False,1.2462770903851725,1.266069689331341,1.2884875847519979,False,False,False,E_K/seed_1/audit/D/RAC1P/budget120/mlp_0
E,1,D,False,RAC1P,120,mlp_1,independent,35,False,1.2426473750922382,1.2683766727722952,1.2942878455559126,False,False,False,E_K/seed_1/audit/D/RAC1P/budget120/mlp_1
E,1,D,False,RAC1P,120,saved_adversary,saved_diagnostic,0,True,1.2201510890571372,1.2547090073319145,1.2858299094537702,False,False,False,E_K/seed_1/audit/D/RAC1P/budget120/saved_adversary
E,1,D,False,SEX,120,catchup,catchup,5,False,0.6681650044563113,0.6657261989125826,0.66799929838785,False,False,False,E_K/seed_1/audit/D/SEX/budget120/catchup
E,1,D,False,SEX,120,hist_gb_20,independent,,False,0.7251856445698682,0.7022517210337962,0.7145475234218923,False,False,False,E_K/seed_1/audit/D/SEX/budget120/hist_gb_20
E,1,D,False,SEX,120,hist_gb_5,independent,,False,0.7198110443505426,0.6982247470729072,0.7089387381540238,False,False,False,E_K/seed_1/audit/D/SEX/budget120/hist_gb_5
E,1,D,False,SEX,120,logistic,independent,,False,0.6958867386721539,0.6926516235820277,0.6922912800471769,False,False,False,E_K/seed_1/audit/D/SEX/budget120/logistic
E,1,D,False,SEX,120,mlp_0,independent,15,False,0.6906434942981584,0.6837183042711953,0.6865186325764218,False,False,False,E_K/seed_1/audit/D/SEX/budget120/mlp_0
E,1,D,False,SEX,120,mlp_1,independent,25,False,0.6874609607892367,0.6798741452689006,0.6822852958368589,False,False,False,E_K/seed_1/audit/D/SEX/budget120/mlp_1
E,1,D,False,SEX,120,saved_adversary,saved_diagnostic,0,True,0.6725599492320775,0.6689212217683939,0.6692466363465613,False,False,False,E_K/seed_1/audit/D/SEX/budget120/saved_adversary
E,1,C,False,RAC1P,360,catchup,catchup,5,False,1.2150640512132305,1.2450300136543597,1.2761177448965924,False,False,False,E_K/seed_1/audit/C/RAC1P/budget360/catchup
E,1,C,False,RAC1P,360,hist_gb_20,independent,,False,1.4574750700146226,1.5140559160279714,1.556175166626388,False,False,False,E_K/seed_1/audit/C/RAC1P/budget360/hist_gb_20
E,1,C,False,RAC1P,360,hist_gb_5,independent,,False,1.4537341637367205,1.500394497368969,1.536185398670776,False,False,False,E_K/seed_1/audit/C/RAC1P/budget360/hist_gb_5
E,1,C,False,RAC1P,360,logistic,independent,,False,1.2731442661467975,1.3048876516112606,1.3284572312569607,False,False,False,E_K/seed_1/audit/C/RAC1P/budget360/logistic
E,1,C,False,RAC1P,360,mlp_0,independent,50,False,1.2451442275197016,1.2652065129742256,1.2880374521006075,False,False,False,E_K/seed_1/audit/C/RAC1P/budget360/mlp_0
E,1,C,False,RAC1P,360,mlp_1,independent,40,False,1.2423026638067132,1.2682354243751468,1.2928139908152068,True,False,False,E_K/seed_1/audit/C/RAC1P/budget360/mlp_1
E,1,C,False,RAC1P,360,saved_adversary,saved_diagnostic,0,True,1.2225737861017572,1.2550099668953918,1.2877777642499044,False,False,False,E_K/seed_1/audit/C/RAC1P/budget360/saved_adversary
E,1,C,False,SEX,360,catchup,catchup,15,False,0.6656380350874115,0.6650386385200294,0.6689800094086693,False,True,True,E_K/seed_1/audit/C/SEX/budget360/catchup
E,1,C,False,SEX,360,hist_gb_20,independent,,False,0.725766770554288,0.7036201707510529,0.7112410388576995,False,False,False,E_K/seed_1/audit/C/SEX/budget360/hist_gb_20
E,1,C,False,SEX,360,hist_gb_5,independent,,False,0.7217707867329326,0.7035172857382752,0.7128949672917975,False,False,False,E_K/seed_1/audit/C/SEX/budget360/hist_gb_5
E,1,C,False,SEX,360,logistic,independent,,False,0.6958670414974905,0.6924175179449217,0.6917950676102812,False,False,False,E_K/seed_1/audit/C/SEX/budget360/logistic
E,1,C,False,SEX,360,mlp_0,independent,10,False,0.6905879163370038,0.6860601381602722,0.6887494504169043,False,False,False,E_K/seed_1/audit/C/SEX/budget360/mlp_0
E,1,C,False,SEX,360,mlp_1,independent,20,False,0.6869352828808236,0.6802451460544376,0.6826496237017509,True,False,False,E_K/seed_1/audit/C/SEX/budget360/mlp_1
E,1,C,False,SEX,360,saved_adversary,saved_diagnostic,0,True,0.670778123280524,0.6707517572941388,0.6701927555377192,False,False,False,E_K/seed_1/audit/C/SEX/budget360/saved_adversary
E,1,D,False,RAC1P,360,catchup,catchup,5,False,1.2144990294019071,1.2463283438955186,1.2746964508859686,False,True,True,E_K/seed_1/audit/D/RAC1P/budget360/catchup
E,1,D,False,RAC1P,360,hist_gb_20,independent,,False,1.466085318679224,1.511318962996844,1.5555625025593562,False,False,False,E_K/seed_1/audit/D/RAC1P/budget360/hist_gb_20
E,1,D,False,RAC1P,360,hist_gb_5,independent,,False,1.4535395371578492,1.499887926108117,1.5409425841272388,False,False,False,E_K/seed_1/audit/D/RAC1P/budget360/hist_gb_5
E,1,D,False,RAC1P,360,logistic,independent,,False,1.2741689619942527,1.306224140554173,1.3291054762956027,False,False,False,E_K/seed_1/audit/D/RAC1P/budget360/logistic
E,1,D,False,RAC1P,360,mlp_0,independent,50,False,1.2462770903851725,1.266069689331341,1.2884875847519979,False,False,False,E_K/seed_1/audit/D/RAC1P/budget360/mlp_0
E,1,D,False,RAC1P,360,mlp_1,independent,35,False,1.2426473750922382,1.2683766727722952,1.2942878455559126,False,False,False,E_K/seed_1/audit/D/RAC1P/budget360/mlp_1
E,1,D,False,RAC1P,360,saved_adversary,saved_diagnostic,0,True,1.2201510890571372,1.2547090073319145,1.2858299094537702,False,False,False,E_K/seed_1/audit/D/RAC1P/budget360/saved_adversary
E,1,D,False,SEX,360,catchup,catchup,5,False,0.6681650044563113,0.6657261989125826,0.66799929838785,False,False,False,E_K/seed_1/audit/D/SEX/budget360/catchup
