seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc,evidence_audit_budget,origin_metrics,origin_release
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,validation,1984,2,"[0,1]",False,1984.0,"[1009,975]","[1009.0,975.0]","[0.5085685483870968,0.49143145161290325]",True,True,"[true,true]",0.6833381840508113,1e-12,0.5453629032258065,0.5452466265152093,0.5452466265152093,0.5807471220553481,0.5807471220553481,0.5807471220553481,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,development_evaluation,1971,2,"[0,1]",False,1971.0,"[959,1012]","[959.0,1012.0]","[0.4865550481988838,0.5134449518011162]",True,True,"[true,true]",0.691605049518296,1e-12,0.5342465753424658,0.5338003396159537,0.5338003396159537,0.5590309404971417,0.5590309404971417,0.5590309404971417,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,validation_person_weighted,1984,2,"[0,1]",True,233729.0,"[1009,975]","[118499.0,115230.0]","[0.5069931416298362,0.4930068583701637]",True,True,"[true,true]",0.6829004156773899,1e-12,0.5426926055388933,0.5423673166223704,0.5423673166223704,0.5811890517929057,0.5811890517929057,0.5811890517929057,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,1971,2,"[0,1]",True,226551.0,"[959,1012]","[110010.0,116541.0]","[0.48558602698730086,0.5144139730126991]",True,True,"[true,true]",0.6914730890281083,1e-12,0.5298718610820522,0.5296331499589849,0.5296331499589849,0.5576369225387011,0.5576369225387011,0.5576369225387011,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation,2984,2,"[0,1]",False,2984.0,"[2434,550]","[2434.0,550.0]","[0.8156836461126006,0.18431635388739948]",True,True,"[true,true]",0.30279673905465687,1e-12,0.868632707774799,0.7435571823410771,0.7435571823410771,0.896947785164712,0.896947785164712,0.896947785164712,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[2439,543]","[2439.0,543.0]","[0.817907444668008,0.18209255533199195]",True,True,"[true,true]",0.2994194547057992,1e-12,0.8668678739101274,0.7310724212214498,0.7310724212214498,0.8969960970327935,0.8969960970327935,0.8969960970327935,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[2434,550]","[288007.0,60383.0]","[0.8266798702603404,0.17332012973965957]",True,True,"[true,true]",0.2887769600162705,1e-12,0.8764488073710497,0.7342544870738976,0.7342544870738976,0.9010865028498576,0.9010865028498576,0.9010865028498576,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[2439,543]","[273575.0,60566.0]","[0.8187411900963965,0.18125880990360357]",True,True,"[true,true]",0.3080256983818532,1e-12,0.8605528803708614,0.7101792427991467,0.7101792427991467,0.889347455737602,0.889347455737602,0.889347455737602,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,validation,2984,2,"[0,1]",False,2984.0,"[2434,550]","[2434.0,550.0]","[0.8156836461126006,0.18431635388739948]",True,True,"[true,true]",0.30296810045993294,1e-12,0.8629356568364611,0.7618786882796743,0.7618786882796743,0.8949831926495855,0.8949831926495855,0.8949831926495855,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,development_evaluation,2982,2,"[0,1]",False,2982.0,"[2439,543]","[2439.0,543.0]","[0.817907444668008,0.18209255533199195]",True,True,"[true,true]",0.29979465042661924,1e-12,0.8618376928236083,0.7501874466258475,0.7501874466258475,0.8951544764066425,0.8951544764066425,0.8951544764066425,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
