unit,seed,release,split,target,mean_mse,per_coordinate_mse
E_F,0,E_F_I,fit,R,0.5624999741002891,"[0.6631267734852792,0.5669923508647727,0.6753757512174781,0.7970195931494191,0.6666856755785968,0.44786275490099287,0.7253810867824896,0.8872773858717314,0.5165343550116942,0.7236390990780417,0.20361903351312252,0.49206869479790266,0.5073028162519916,0.29526442513297513,0.4865751195728615,0.34527467039527526]"
E_F,0,E_F_I,fit,E,2.4158106556171984e-15,"[1.6747539924535816e-15,2.7237333541929014e-15,3.2403985033490662e-15,2.574157861962205e-15,1.710667289851965e-15,2.4331052147970776e-15,2.506058446176008e-15,1.0245157983221263e-15,1.99833888080038e-15,1.7981679836089437e-15,2.406106647465641e-15,3.3335925430992264e-15,4.957919150351672e-15,1.9626736054415993e-15,1.604459776976123e-15,2.7043214410266605e-15]"
E_F,0,E_F_I,fit,S,0.5443103380709213,"[0.7169950699262312,0.5506139167276036,0.3457466268988305,0.8522870081154024,0.6127740327530542,0.5668768135614042,0.5289584435633993,0.49286244083064235,0.5509225039175625,0.3293403357895186,0.537349921819103,0.5994224249731872,0.4069900445609425,0.6300708690824514,0.45049824755720974,0.5372567090581992]"
E_F,0,E_F_I,source_validation,R,0.5664353829295063,"[0.7113989748811985,0.5772130820104028,0.6780339123131052,0.7787757033121098,0.6821642513523175,0.44378582920934506,0.7091799235356196,0.9180227574152212,0.5003439602198361,0.7146374973019892,0.20609455332888335,0.49710851528786076,0.5116059449668559,0.28786191757285634,0.4851502827539021,0.36158902141059784]"
E_F,0,E_F_I,source_validation,E,2.413781202586708e-15,"[1.8277756036191707e-15,2.7625635743299512e-15,3.266041024126936e-15,2.605246956467139e-15,1.8117468453374515e-15,2.539047597747031e-15,2.435133965496152e-15,1.0258568036754515e-15,1.945259837547544e-15,1.790432270357576e-15,2.4221880465652534e-15,3.2593175569462255e-15,4.701534455839195e-15,1.9137367851424415e-15,1.6101736815071034e-15,2.7044442366827104e-15]"
E_F,0,E_F_I,source_validation,S,0.5417632940141022,"[0.7501087572008023,0.5424331952706593,0.3479365012358915,0.8355536975819134,0.5942459039077431,0.5510611649903382,0.5124744650728624,0.4775893330319385,0.5464497586143563,0.3350142366854031,0.5390193060677864,0.5946132173163823,0.4152649763365991,0.6089045229622315,0.4712582400650898,0.5462854278856384]"
E_F,0,E_F_I,development_evaluation,R,0.5621705461929001,"[0.6019900322496757,0.52796176185237,0.6945520464637327,0.7870676787046269,0.6891755038110782,0.43892953874727986,0.764789387854835,0.9428834423299456,0.5082022918846871,0.739424065974004,0.20608750789453997,0.492564931629472,0.5136184756063489,0.2773325674639346,0.46616168638312516,0.34398782023674446]"
E_F,0,E_F_I,development_evaluation,E,2.4875349008641316e-15,"[1.9153636597759526e-15,2.7541248744131326e-15,3.2916810111795988e-15,2.7565763959729193e-15,1.860274471319863e-15,2.7544966694877953e-15,2.4898251764078605e-15,1.0487594064644564e-15,2.124422710702203e-15,1.8621051305815162e-15,2.4144446947352585e-15,3.4241403084766074e-15,5.055277868985036e-15,1.823526152307615e-15,1.669335265728511e-15,2.5562046172877794e-15]"
E_F,0,E_F_I,development_evaluation,S,0.549679783522283,"[0.6856856444421465,0.5484346122851521,0.3507481920657991,0.8939022168887246,0.6128090256244988,0.5754103582829393,0.5537527879577581,0.5259468223472393,0.5296531196883847,0.3390005821887908,0.538718267709023,0.6113662464281355,0.42154060014484357,0.604639563152767,0.4642862402123351,0.5389822569379898]"
E_F,0,E_F_W,fit,R,0.5840786369300788,"[0.6317892422750865,0.5952681032594201,0.7148930656804768,0.7314760612693546,0.7113595286891066,0.4741132793459161,0.8259835520944967,1.0701251068453865,0.5200255018767507,0.687115016394218,0.2208177897081858,0.49441769605283603,0.5183997002436044,0.29894811486569334,0.4958299324832303,0.35469649979749696]"
