seed,comparison,left,right,role,target,audit_budget,selector,split,left_value,right_value,left_minus_right,signed_gain_left_minus_right
0,K_minus_F,E_K_C,E_F_C,audit,RAC1P,360,primary,development_evaluation,1.2348383268997085,1.2308692561384535,0.003969070761254967,-0.003969070761254967
0,K_minus_F,E_K_C,E_F_C,audit,RAC1P,360,primary,validation_person_weighted,1.2616344943800877,1.2551885940234588,0.006445900356628842,-0.006445900356628842
0,K_minus_F,E_K_C,E_F_C,audit,RAC1P,360,primary,development_evaluation_person_weighted,1.2144491410253866,1.2136239833684748,0.0008251576569118235,-0.0008251576569118235
0,K_minus_F,E_K_C,E_F_C,audit,SEX,360,pooled,validation,0.6745759477786555,0.6597168715240799,0.01485907625457561,-0.01485907625457561
0,K_minus_F,E_K_C,E_F_C,audit,SEX,360,pooled,development_evaluation,0.6773455389504729,0.6690627973168664,0.008282741633606538,-0.008282741633606538
0,K_minus_F,E_K_C,E_F_C,audit,SEX,360,pooled,validation_person_weighted,0.6758142205965004,0.6606331120276733,0.01518110856882715,-0.01518110856882715
0,K_minus_F,E_K_C,E_F_C,audit,SEX,360,pooled,development_evaluation_person_weighted,0.6812504794898354,0.6716429527741451,0.009607526715690318,-0.009607526715690318
0,K_minus_F,E_K_C,E_F_C,audit,RAC1P,360,pooled,validation,1.2301156343997715,1.2214579202162996,0.008657714183471832,-0.008657714183471832
0,K_minus_F,E_K_C,E_F_C,audit,RAC1P,360,pooled,development_evaluation,1.2048883767202472,1.219496106810147,-0.014607730089899906,0.014607730089899906
0,K_minus_F,E_K_C,E_F_C,audit,RAC1P,360,pooled,validation_person_weighted,1.2391615781058314,1.2307355777717603,0.008426000334071038,-0.008426000334071038
0,K_minus_F,E_K_C,E_F_C,audit,RAC1P,360,pooled,development_evaluation_person_weighted,1.1873505768092065,1.2053688429288785,-0.018018266119671944,0.018018266119671944
0,K_minus_F,E_K_D,E_F_D,transfer,same_residence,,primary,validation,0.5201809684000736,0.5164372074234251,0.0037437609766484137,
0,K_minus_F,E_K_D,E_F_D,transfer,same_residence,,primary,development_evaluation,0.5069808154673355,0.5053061073673409,0.001674708099994593,
0,K_minus_F,E_K_D,E_F_D,transfer,same_residence,,primary,validation_person_weighted,0.48943951815209613,0.4873697061894913,0.002069811962604806,
0,K_minus_F,E_K_D,E_F_D,transfer,same_residence,,primary,development_evaluation_person_weighted,0.4920188261862168,0.4906864184207168,0.0013324077654999766,
0,K_minus_F,E_K_D,E_F_D,transfer,commute_over20,,primary,validation,0.6857686313089664,0.6829431775519899,0.002825453756976515,
0,K_minus_F,E_K_D,E_F_D,transfer,commute_over20,,primary,development_evaluation,0.692083011309107,0.6876124543038065,0.004470557005300524,
0,K_minus_F,E_K_D,E_F_D,transfer,commute_over20,,primary,validation_person_weighted,0.6867229917389623,0.681588789082851,0.0051342026561113085,
0,K_minus_F,E_K_D,E_F_D,transfer,commute_over20,,primary,development_evaluation_person_weighted,0.6925805155608473,0.6867533753544633,0.005827140206383974,
0,K_minus_F,E_K_D,E_F_D,transfer,income_binary,,primary,validation,0.3452868048216631,0.30582412804534026,0.039462676776322814,
0,K_minus_F,E_K_D,E_F_D,transfer,income_binary,,primary,development_evaluation,0.33787032389616084,0.3045818310799565,0.03328849281620433,
0,K_minus_F,E_K_D,E_F_D,transfer,income_binary,,primary,validation_person_weighted,0.3241929575888725,0.28697292773089605,0.037220029857976455,
0,K_minus_F,E_K_D,E_F_D,transfer,income_binary,,primary,development_evaluation_person_weighted,0.34205053684146053,0.3192078727790466,0.02284266406241392,
0,K_minus_F,E_K_D,E_F_D,transfer,civilian_at_work,,primary,validation,0.41378049752326074,0.31758102416369255,0.09619947335956819,
0,K_minus_F,E_K_D,E_F_D,transfer,civilian_at_work,,primary,development_evaluation,0.3890535416829073,0.2892630254226533,0.09979051626025398,
0,K_minus_F,E_K_D,E_F_D,transfer,civilian_at_work,,primary,validation_person_weighted,0.4092499804643874,0.31466465707339164,0.09458532339099573,
0,K_minus_F,E_K_D,E_F_D,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,0.37050654918958514,0.2703303429582994,0.10017620623128576,
0,K_minus_F,E_K_D,E_F_D,transfer,public_coverage,,primary,validation,0.5180670618627158,0.49378765859233237,0.024279403270383415,
0,K_minus_F,E_K_D,E_F_D,transfer,public_coverage,,primary,development_evaluation,0.5325785051045047,0.5174383410218873,0.015140164082617313,
0,K_minus_F,E_K_D,E_F_D,transfer,public_coverage,,primary,validation_person_weighted,0.5285799062954848,0.5101161704639873,0.01846373583149752,
0,K_minus_F,E_K_D,E_F_D,transfer,public_coverage,,primary,development_evaluation_person_weighted,0.5385507928843213,0.5284346928019994,0.010116100082321888,
0,K_minus_F,E_K_D,E_F_D,audit,SEX,120,primary,validation,0.6833150010880634,0.6758554457769218,0.007459555311141619,-0.007459555311141619
0,K_minus_F,E_K_D,E_F_D,audit,SEX,120,primary,development_evaluation,0.6870015006590626,0.6816838573897842,0.005317643269278416,-0.005317643269278416
0,K_minus_F,E_K_D,E_F_D,audit,SEX,120,primary,validation_person_weighted,0.6845757927720975,0.6730926898774319,0.011483102894665587,-0.011483102894665587
0,K_minus_F,E_K_D,E_F_D,audit,SEX,120,primary,development_evaluation_person_weighted,0.690732459388844,0.6834332333085297,0.007299226080314303,-0.007299226080314303
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,120,primary,validation,1.254366165971582,1.2487641825857096,0.005601983385872256,-0.005601983385872256
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,120,primary,development_evaluation,1.235303073758682,1.2318067695594441,0.003496304199237965,-0.003496304199237965
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,120,primary,validation_person_weighted,1.2624475325810964,1.2581063565151662,0.004341176065930208,-0.004341176065930208
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,120,primary,development_evaluation_person_weighted,1.2151369873816082,1.2150538433352902,8.314404631803995e-05,-8.314404631803995e-05
0,K_minus_F,E_K_D,E_F_D,audit,SEX,120,pooled,validation,0.6742990498859284,0.6623720131017078,0.01192703678422058,-0.01192703678422058
0,K_minus_F,E_K_D,E_F_D,audit,SEX,120,pooled,development_evaluation,0.6765520032637388,0.6712540370450266,0.005297966218712147,-0.005297966218712147
0,K_minus_F,E_K_D,E_F_D,audit,SEX,120,pooled,validation_person_weighted,0.6740467673389321,0.6591917742819782,0.014854993056953925,-0.014854993056953925
0,K_minus_F,E_K_D,E_F_D,audit,SEX,120,pooled,development_evaluation_person_weighted,0.6809571029583842,0.6716379110130878,0.009319191945296401,-0.009319191945296401
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,120,pooled,validation,1.2255670427003669,1.2291893064086064,-0.0036222637082394815,0.0036222637082394815
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,120,pooled,development_evaluation,1.2089217957900915,1.2174342617050875,-0.008512465914995992,0.008512465914995992
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,120,pooled,validation_person_weighted,1.2430332102668953,1.2380061945237018,0.00502701574319353,-0.00502701574319353
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,120,pooled,development_evaluation_person_weighted,1.1959214610581375,1.2028837854049805,-0.006962324346843074,0.006962324346843074
0,K_minus_F,E_K_D,E_F_D,audit,SEX,360,primary,validation,0.6833150010880634,0.6758554457769218,0.007459555311141619,-0.007459555311141619
0,K_minus_F,E_K_D,E_F_D,audit,SEX,360,primary,development_evaluation,0.6870015006590626,0.6816838573897842,0.005317643269278416,-0.005317643269278416
0,K_minus_F,E_K_D,E_F_D,audit,SEX,360,primary,validation_person_weighted,0.6845757927720975,0.6730926898774319,0.011483102894665587,-0.011483102894665587
0,K_minus_F,E_K_D,E_F_D,audit,SEX,360,primary,development_evaluation_person_weighted,0.690732459388844,0.6834332333085297,0.007299226080314303,-0.007299226080314303
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,360,primary,validation,1.254366165971582,1.2487641825857096,0.005601983385872256,-0.005601983385872256
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,360,primary,development_evaluation,1.235303073758682,1.2318067695594441,0.003496304199237965,-0.003496304199237965
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,360,primary,validation_person_weighted,1.2624475325810964,1.2581063565151662,0.004341176065930208,-0.004341176065930208
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,360,primary,development_evaluation_person_weighted,1.2151369873816082,1.2150538433352902,8.314404631803995e-05,-8.314404631803995e-05
0,K_minus_F,E_K_D,E_F_D,audit,SEX,360,pooled,validation,0.6742990498859284,0.6623720131017078,0.01192703678422058,-0.01192703678422058
0,K_minus_F,E_K_D,E_F_D,audit,SEX,360,pooled,development_evaluation,0.6765520032637388,0.6712540370450266,0.005297966218712147,-0.005297966218712147
0,K_minus_F,E_K_D,E_F_D,audit,SEX,360,pooled,validation_person_weighted,0.6740467673389321,0.6591917742819782,0.014854993056953925,-0.014854993056953925
0,K_minus_F,E_K_D,E_F_D,audit,SEX,360,pooled,development_evaluation_person_weighted,0.6809571029583842,0.6716379110130878,0.009319191945296401,-0.009319191945296401
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,360,pooled,validation,1.2255670427003669,1.2291893064086064,-0.0036222637082394815,0.0036222637082394815
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,360,pooled,development_evaluation,1.2089217957900915,1.2174342617050875,-0.008512465914995992,0.008512465914995992
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,360,pooled,validation_person_weighted,1.2430332102668953,1.2380061945237018,0.00502701574319353,-0.00502701574319353
0,K_minus_F,E_K_D,E_F_D,audit,RAC1P,360,pooled,development_evaluation_person_weighted,1.1959214610581375,1.2028837854049805,-0.006962324346843074,0.006962324346843074
0,D_minus_C,E_F_D,E_F_C,transfer,same_residence,,primary,validation,0.5164372074234251,0.5169225362889904,-0.0004853288655652932,
0,D_minus_C,E_F_D,E_F_C,transfer,same_residence,,primary,development_evaluation,0.5053061073673409,0.5062237321102718,-0.0009176247429308892,
0,D_minus_C,E_F_D,E_F_C,transfer,same_residence,,primary,validation_person_weighted,0.4873697061894913,0.4871642317105253,0.00020547447896601678,
0,D_minus_C,E_F_D,E_F_C,transfer,same_residence,,primary,development_evaluation_person_weighted,0.4906864184207168,0.491689139711262,-0.0010027212905451832,
0,D_minus_C,E_F_D,E_F_C,transfer,commute_over20,,primary,validation,0.6829431775519899,0.6830075375685856,-6.436001659571033e-05,
0,D_minus_C,E_F_D,E_F_C,transfer,commute_over20,,primary,development_evaluation,0.6876124543038065,0.687758484123448,-0.0001460298196415133,
0,D_minus_C,E_F_D,E_F_C,transfer,commute_over20,,primary,validation_person_weighted,0.681588789082851,0.6815475529597292,4.123612312179059e-05,
0,D_minus_C,E_F_D,E_F_C,transfer,commute_over20,,primary,development_evaluation_person_weighted,0.6867533753544633,0.6870644961013529,-0.00031112074688954827,
0,D_minus_C,E_F_D,E_F_C,transfer,income_binary,,primary,validation,0.30582412804534026,0.30285698372790526,0.002967144317435,
0,D_minus_C,E_F_D,E_F_C,transfer,income_binary,,primary,development_evaluation,0.3045818310799565,0.3060986084617026,-0.0015167773817461039,
