seed,release,role,target,selector,split,log_loss,prior_relative_gain,candidate,evidence_audit_budget
1,E_direct,audit,SEX,pooled,development_evaluation_person_weighted,0.685462048840255,0.005818097496110064,mlp_1,360
1,E_direct,audit,RAC1P,pooled,validation,1.2422815606954603,0.04645812411621986,mlp_1,360
1,E_direct,audit,RAC1P,pooled,development_evaluation,1.2714152269589722,0.04552125831644571,mlp_1,360
1,E_direct,audit,RAC1P,pooled,validation_person_weighted,1.237645857384828,0.051087594773736145,mlp_1,360
1,E_direct,audit,RAC1P,pooled,development_evaluation_person_weighted,1.2913576559284727,0.0408232006827014,mlp_1,360
2,E_direct,transfer,same_residence,primary,validation,0.517234085558236,,mlp,
2,E_direct,transfer,same_residence,primary,development_evaluation,0.5086127536737874,,mlp,
2,E_direct,transfer,same_residence,primary,validation_person_weighted,0.49764237367642966,,mlp,
2,E_direct,transfer,same_residence,primary,development_evaluation_person_weighted,0.4805559593368701,,mlp,
2,E_direct,transfer,commute_over20,primary,validation,0.6839273145158181,,mlp,
2,E_direct,transfer,commute_over20,primary,development_evaluation,0.6839032180170344,,mlp,
2,E_direct,transfer,commute_over20,primary,validation_person_weighted,0.6854258954887978,,mlp,
2,E_direct,transfer,commute_over20,primary,development_evaluation_person_weighted,0.6889963314754978,,mlp,
2,E_direct,transfer,income_binary,primary,validation,0.34662066610393755,,mlp,
2,E_direct,transfer,income_binary,primary,development_evaluation,0.3382866210155599,,mlp,
2,E_direct,transfer,income_binary,primary,validation_person_weighted,0.35660531379222576,,mlp,
2,E_direct,transfer,income_binary,primary,development_evaluation_person_weighted,0.34894789525165176,,mlp,
2,E_direct,transfer,civilian_at_work,primary,validation,0.3912329927868094,,mlp,
2,E_direct,transfer,civilian_at_work,primary,development_evaluation,0.39818142732129386,,mlp,
2,E_direct,transfer,civilian_at_work,primary,validation_person_weighted,0.3850876937259799,,mlp,
2,E_direct,transfer,civilian_at_work,primary,development_evaluation_person_weighted,0.3833159288641032,,mlp,
2,E_direct,transfer,public_coverage,primary,validation,0.5119698665041329,,mlp,
2,E_direct,transfer,public_coverage,primary,development_evaluation,0.503367244297671,,mlp,
2,E_direct,transfer,public_coverage,primary,validation_person_weighted,0.5246474292738135,,mlp,
2,E_direct,transfer,public_coverage,primary,development_evaluation_person_weighted,0.5136408343620422,,mlp,
2,E_direct,audit,SEX,primary,validation,0.6781017014095692,0.014038381645087639,mlp_1,360
2,E_direct,audit,SEX,primary,development_evaluation,0.6814786554678828,0.011642537605182635,mlp_1,360
2,E_direct,audit,SEX,primary,validation_person_weighted,0.6843030354519879,0.008136226602203367,mlp_1,360
2,E_direct,audit,SEX,primary,development_evaluation_person_weighted,0.6835108469459852,0.008765268829746597,mlp_1,360
2,E_direct,audit,RAC1P,primary,validation,1.2279927360414926,0.05674907936221407,mlp_1,360
2,E_direct,audit,RAC1P,primary,development_evaluation,1.2188109516145256,0.04715219735767007,mlp_1,360
2,E_direct,audit,RAC1P,primary,validation_person_weighted,1.2340410234695387,0.045838113861542906,mlp_1,360
2,E_direct,audit,RAC1P,primary,development_evaluation_person_weighted,1.2234414391284718,0.04514332369999896,mlp_1,360
2,E_direct,audit,SEX,pooled,validation,0.6781017014095692,0.014038381645087639,mlp_1,360
2,E_direct,audit,SEX,pooled,development_evaluation,0.6814786554678828,0.011642537605182635,mlp_1,360
2,E_direct,audit,SEX,pooled,validation_person_weighted,0.6843030354519879,0.008136226602203367,mlp_1,360
2,E_direct,audit,SEX,pooled,development_evaluation_person_weighted,0.6835108469459852,0.008765268829746597,mlp_1,360
2,E_direct,audit,RAC1P,pooled,validation,1.2279927360414926,0.05674907936221407,mlp_1,360
2,E_direct,audit,RAC1P,pooled,development_evaluation,1.2188109516145256,0.04715219735767007,mlp_1,360
2,E_direct,audit,RAC1P,pooled,validation_person_weighted,1.2340410234695387,0.045838113861542906,mlp_1,360
2,E_direct,audit,RAC1P,pooled,development_evaluation_person_weighted,1.2234414391284718,0.04514332369999896,mlp_1,360
0,S_direct,transfer,same_residence,primary,validation,0.5271515787078236,,mlp,
0,S_direct,transfer,same_residence,primary,development_evaluation,0.5150512471685831,,mlp,
0,S_direct,transfer,same_residence,primary,validation_person_weighted,0.49275335900687206,,mlp,
0,S_direct,transfer,same_residence,primary,development_evaluation_person_weighted,0.5010302466038609,,mlp,
0,S_direct,transfer,commute_over20,primary,validation,0.678331042355068,,mlp,
0,S_direct,transfer,commute_over20,primary,development_evaluation,0.6918271518635484,,mlp,
0,S_direct,transfer,commute_over20,primary,validation_person_weighted,0.6748492292935047,,mlp,
0,S_direct,transfer,commute_over20,primary,development_evaluation_person_weighted,0.691289246595345,,mlp,
