anchor,configuration,arm,budget,role,weighting,fit_status,audit_status,registered_feasible,fallback,release_sha256,alias_of,n_people,n_households,release_loss,H_loss,H_minus_release,audit_selected_route
0,a0_u0p0_b010,U0P0,b010,attack:A/SEX,U,reused_historical_Q,complete,True,False,79ad2a3b7d8ab20b5d980bb4d22e375fe9345b35e8bd8dbc7c8391f321c3d4ed,,1494,1004,0.6853273911417861,0.6853273911417861,0.0,H/mlp_120
0,a0_u0p0_b010,U0P0,b010,attack:A/SEX,PWGTP,reused_historical_Q,complete,True,False,79ad2a3b7d8ab20b5d980bb4d22e375fe9345b35e8bd8dbc7c8391f321c3d4ed,,1494,1004,0.6879099878504567,0.6879099878504567,0.0,H/mlp_120
0,a0_u0p0_b010,U0P0,b010,attack:A/RAC1P,U,reused_historical_Q,complete,True,False,79ad2a3b7d8ab20b5d980bb4d22e375fe9345b35e8bd8dbc7c8391f321c3d4ed,,1494,1004,1.254400079686015,1.254400079686015,0.0,H/mlp_120
0,a0_u0p0_b010,U0P0,b010,attack:A/RAC1P,PWGTP,reused_historical_Q,complete,True,False,79ad2a3b7d8ab20b5d980bb4d22e375fe9345b35e8bd8dbc7c8391f321c3d4ed,,1494,1004,1.2642272681067221,1.2642272681067221,0.0,H/mlp_120
0,a0_u0p0_b010,U0P0,b010,attack:AB/SEX,U,reused_historical_Q,complete,True,False,79ad2a3b7d8ab20b5d980bb4d22e375fe9345b35e8bd8dbc7c8391f321c3d4ed,,1494,1004,0.6939511882247802,0.6939511882247802,0.0,H/hist_gb_20
0,a0_u0p0_b010,U0P0,b010,attack:AB/SEX,PWGTP,reused_historical_Q,complete,True,False,79ad2a3b7d8ab20b5d980bb4d22e375fe9345b35e8bd8dbc7c8391f321c3d4ed,,1494,1004,0.6936913360928808,0.6936913360928808,0.0,H/hist_gb_20
0,a0_u0p0_b010,U0P0,b010,attack:AB/RAC1P,U,reused_historical_Q,complete,True,False,79ad2a3b7d8ab20b5d980bb4d22e375fe9345b35e8bd8dbc7c8391f321c3d4ed,,1494,1004,1.219956702875183,1.219956702875183,0.0,H/mlp_120
0,a0_u0p0_b010,U0P0,b010,attack:AB/RAC1P,PWGTP,reused_historical_Q,complete,True,False,79ad2a3b7d8ab20b5d980bb4d22e375fe9345b35e8bd8dbc7c8391f321c3d4ed,,1494,1004,1.2438043873661795,1.2438043873661795,0.0,H/mlp_120
0,a0_u0p0_b020,U0P0,b020,utility:A/same_residence,U,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,0.4935362852831524,0.5328579213725678,0.03932163608941541,own/mlp_120
0,a0_u0p0_b020,U0P0,b020,utility:A/same_residence,PWGTP,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,0.4621560010307829,0.5008645741906776,0.03870857315989473,own/mlp_120
0,a0_u0p0_b020,U0P0,b020,attack:A/SEX,U,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,0.6853273911417861,0.6853273911417861,0.0,H/mlp_120
0,a0_u0p0_b020,U0P0,b020,attack:A/SEX,PWGTP,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,0.6879099878504567,0.6879099878504567,0.0,H/mlp_120
