unit,seed,release,teacher,target,split,metric,coordinate,value
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,5,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,6,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,7,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,8,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,9,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,10,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,11,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,12,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,13,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,14,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,15,True
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,0,0.7107959099456319
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,1,0.5768833354574301
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,2,0.6795374870164255
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,3,0.7777680722839383
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,4,0.6825761660618896
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,5,0.44420778675547
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,6,0.7095646239139571
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,7,0.917150213799372
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,8,0.499893842550247
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,9,0.7145929424053127
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,10,0.20636165633300804
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,11,0.4977664607703535
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,12,0.5107394388424298
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,13,0.2900536510567761
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,14,0.48605095391554787
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,15,0.3624955407927257
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,0,1.0375578121569773
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,1,1.0351422418203997
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,2,0.9750677344807709
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,3,0.9852156941423459
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,4,1.0449103277810163
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,5,1.0149874253989823
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,6,0.9938024083599571
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,7,1.0459225809466342
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,8,0.9687395256866196
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,9,0.9756343957422708
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,10,0.97858520125265
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,11,0.9488550732997493
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,12,1.0018383456210087
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,13,0.9545327194285073
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,14,1.0603772333333958
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,15,0.9705334707511628
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,0,1.0373818638628898
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,1,1.0348946819869582
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,2,0.9734824845999365
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,3,0.983970865093517
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,4,1.0448924891455917
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,5,1.0140402771446926
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,6,0.9935758359779715
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,7,1.0454397175730188
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,8,0.9686422832201831
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,9,0.9756187361685676
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,10,0.9783677366806165
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,11,0.9483152959106874
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,12,1.0017086849121735
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,13,0.9540367946482948
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,14,1.0600358922288733
static,0,E_direct,E,raw,source_validation,target_variance_per_coordinate,15,0.9702729171651121
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,0,0.6850663178642156
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,1,0.557298612838873
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,2,0.6969131097115864
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,3,0.7894393856169782
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,4,0.6532389889488568
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,5,0.4376485615877024
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,6,0.7139896401387583
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,7,0.8768815498459609
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,8,0.5160250297374148
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,9,0.7324392677460334
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,10,0.21087755677160483
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,11,0.5245969324264823
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,12,0.5098022461157026
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,13,0.3038697837727715
