seed,release,target,split,selector,loss_120,loss_360,loss_360_minus_120
0,R_rho0p1_C,RAC1P,validation_person_weighted,candidate:mlp_1,1.2316893925060814,1.2316893925060814,0.0
0,R_rho0p1_C,RAC1P,validation_person_weighted,candidate:hist_gb_20,1.4804414020539818,1.4804414020539818,0.0
0,R_rho0p1_C,RAC1P,validation_person_weighted,candidate:hist_gb_5,1.4731969220700092,1.4731969220700092,0.0
0,R_rho0p1_C,RAC1P,validation_person_weighted,candidate:catchup,1.230840707274953,1.230840707274953,0.0
0,R_rho0p1_C,RAC1P,validation_person_weighted,candidate:saved_adversary,1.2559612102635853,1.2559612102635853,0.0
0,R_rho0p1_C,RAC1P,development_evaluation_person_weighted,primary,1.1891142400070045,1.1891142400070045,0.0
0,R_rho0p1_C,RAC1P,development_evaluation_person_weighted,pooled,1.1891142400070045,1.1891142400070045,0.0
0,R_rho0p1_C,RAC1P,development_evaluation_person_weighted,candidate:logistic,1.1896097061859559,1.1896097061859559,0.0
0,R_rho0p1_C,RAC1P,development_evaluation_person_weighted,candidate:mlp_0,1.1891142400070045,1.1891142400070045,0.0
0,R_rho0p1_C,RAC1P,development_evaluation_person_weighted,candidate:mlp_1,1.1938231296061257,1.1938231296061257,0.0
0,R_rho0p1_C,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_20,1.4004472837681283,1.4004472837681283,0.0
0,R_rho0p1_C,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_5,1.3829137523205635,1.3829137523205635,0.0
0,R_rho0p1_C,RAC1P,development_evaluation_person_weighted,candidate:catchup,1.2104084272361975,1.2104084272361975,0.0
0,R_rho0p1_C,RAC1P,development_evaluation_person_weighted,candidate:saved_adversary,1.2252504102493245,1.2252504102493245,0.0
0,R_rho0p1_D,SEX,validation,primary,0.6488642739946809,0.6488642739946809,0.0
0,R_rho0p1_D,SEX,validation,pooled,0.6488642739946809,0.6488642739946809,0.0
0,R_rho0p1_D,SEX,validation,candidate:logistic,0.6674583423093373,0.6674583423093373,0.0
0,R_rho0p1_D,SEX,validation,candidate:mlp_0,0.651225516483872,0.651225516483872,0.0
0,R_rho0p1_D,SEX,validation,candidate:mlp_1,0.6488642739946809,0.6488642739946809,0.0
0,R_rho0p1_D,SEX,validation,candidate:hist_gb_20,0.6822619145983819,0.6822619145983819,0.0
0,R_rho0p1_D,SEX,validation,candidate:hist_gb_5,0.6770299884695875,0.6770299884695875,0.0
0,R_rho0p1_D,SEX,validation,candidate:catchup,0.6613634789954262,0.6613634789954262,0.0
0,R_rho0p1_D,SEX,validation,candidate:saved_adversary,0.6790375609555934,0.6790375609555934,0.0
0,R_rho0p1_D,SEX,development_evaluation,primary,0.6606035210915451,0.6606035210915451,0.0
0,R_rho0p1_D,SEX,development_evaluation,pooled,0.6606035210915451,0.6606035210915451,0.0
0,R_rho0p1_D,SEX,development_evaluation,candidate:logistic,0.6724616195439277,0.6724616195439277,0.0
0,R_rho0p1_D,SEX,development_evaluation,candidate:mlp_0,0.6577404783951579,0.6577404783951579,0.0
0,R_rho0p1_D,SEX,development_evaluation,candidate:mlp_1,0.6606035210915451,0.6606035210915451,0.0
0,R_rho0p1_D,SEX,development_evaluation,candidate:hist_gb_20,0.6920657422409497,0.6920657422409497,0.0
0,R_rho0p1_D,SEX,development_evaluation,candidate:hist_gb_5,0.6873045063533361,0.6873045063533361,0.0
0,R_rho0p1_D,SEX,development_evaluation,candidate:catchup,0.6677551723399113,0.6677551723399113,0.0
0,R_rho0p1_D,SEX,development_evaluation,candidate:saved_adversary,0.6891953866451891,0.6891953866451891,0.0
0,R_rho0p1_D,SEX,validation_person_weighted,primary,0.6451465980484122,0.6451465980484122,0.0
0,R_rho0p1_D,SEX,validation_person_weighted,pooled,0.6451465980484122,0.6451465980484122,0.0
0,R_rho0p1_D,SEX,validation_person_weighted,candidate:logistic,0.6616341653374006,0.6616341653374006,0.0
0,R_rho0p1_D,SEX,validation_person_weighted,candidate:mlp_0,0.650763063480602,0.650763063480602,0.0
0,R_rho0p1_D,SEX,validation_person_weighted,candidate:mlp_1,0.6451465980484122,0.6451465980484122,0.0
0,R_rho0p1_D,SEX,validation_person_weighted,candidate:hist_gb_20,0.6807537951254548,0.6807537951254548,0.0
0,R_rho0p1_D,SEX,validation_person_weighted,candidate:hist_gb_5,0.6760358501648644,0.6760358501648644,0.0
0,R_rho0p1_D,SEX,validation_person_weighted,candidate:catchup,0.6624982113989877,0.6624982113989877,0.0
0,R_rho0p1_D,SEX,validation_person_weighted,candidate:saved_adversary,0.6774695418872866,0.6774695418872866,0.0
0,R_rho0p1_D,SEX,development_evaluation_person_weighted,primary,0.6598364830406231,0.6598364830406231,0.0
0,R_rho0p1_D,SEX,development_evaluation_person_weighted,pooled,0.6598364830406231,0.6598364830406231,0.0
0,R_rho0p1_D,SEX,development_evaluation_person_weighted,candidate:logistic,0.6699271752995086,0.6699271752995086,0.0
0,R_rho0p1_D,SEX,development_evaluation_person_weighted,candidate:mlp_0,0.6570768489358496,0.6570768489358496,0.0
0,R_rho0p1_D,SEX,development_evaluation_person_weighted,candidate:mlp_1,0.6598364830406231,0.6598364830406231,0.0
0,R_rho0p1_D,SEX,development_evaluation_person_weighted,candidate:hist_gb_20,0.6903957751193588,0.6903957751193588,0.0
0,R_rho0p1_D,SEX,development_evaluation_person_weighted,candidate:hist_gb_5,0.6869780626959654,0.6869780626959654,0.0
0,R_rho0p1_D,SEX,development_evaluation_person_weighted,candidate:catchup,0.6662712265984362,0.6662712265984362,0.0
0,R_rho0p1_D,SEX,development_evaluation_person_weighted,candidate:saved_adversary,0.6827109116730905,0.6827109116730905,0.0
0,R_rho0p1_D,RAC1P,validation,primary,1.2192688681425952,1.2192688681425952,0.0
0,R_rho0p1_D,RAC1P,validation,pooled,1.2192688681425952,1.2192688681425952,0.0
0,R_rho0p1_D,RAC1P,validation,candidate:logistic,1.22058889841228,1.22058889841228,0.0
0,R_rho0p1_D,RAC1P,validation,candidate:mlp_0,1.2192688681425952,1.2192688681425952,0.0
0,R_rho0p1_D,RAC1P,validation,candidate:mlp_1,1.2235932765214734,1.2235932765214734,0.0
0,R_rho0p1_D,RAC1P,validation,candidate:hist_gb_20,1.4682088878154973,1.4682088878154973,0.0
0,R_rho0p1_D,RAC1P,validation,candidate:hist_gb_5,1.458784596365843,1.458784596365843,0.0
0,R_rho0p1_D,RAC1P,validation,candidate:catchup,1.2266038441025584,1.2266038441025584,0.0
0,R_rho0p1_D,RAC1P,validation,candidate:saved_adversary,1.2360214599910484,1.2360214599910484,0.0
0,R_rho0p1_D,RAC1P,development_evaluation,primary,1.2111194892839057,1.2111194892839057,0.0
0,R_rho0p1_D,RAC1P,development_evaluation,pooled,1.2111194892839057,1.2111194892839057,0.0
0,R_rho0p1_D,RAC1P,development_evaluation,candidate:logistic,1.2092660569780496,1.2092660569780496,0.0
0,R_rho0p1_D,RAC1P,development_evaluation,candidate:mlp_0,1.2111194892839057,1.2111194892839057,0.0
0,R_rho0p1_D,RAC1P,development_evaluation,candidate:mlp_1,1.214522517615146,1.214522517615146,0.0
0,R_rho0p1_D,RAC1P,development_evaluation,candidate:hist_gb_20,1.4381806723779471,1.4381806723779471,0.0
0,R_rho0p1_D,RAC1P,development_evaluation,candidate:hist_gb_5,1.4213235303347067,1.4213235303347067,0.0
0,R_rho0p1_D,RAC1P,development_evaluation,candidate:catchup,1.2239355027220684,1.2239355027220684,0.0
0,R_rho0p1_D,RAC1P,development_evaluation,candidate:saved_adversary,1.2352826714614338,1.2352826714614338,0.0
0,R_rho0p1_D,RAC1P,validation_person_weighted,primary,1.2258115385304238,1.2258115385304238,0.0
0,R_rho0p1_D,RAC1P,validation_person_weighted,pooled,1.2258115385304238,1.2258115385304238,0.0
0,R_rho0p1_D,RAC1P,validation_person_weighted,candidate:logistic,1.2286872956277368,1.2286872956277368,0.0
0,R_rho0p1_D,RAC1P,validation_person_weighted,candidate:mlp_0,1.2258115385304238,1.2258115385304238,0.0
0,R_rho0p1_D,RAC1P,validation_person_weighted,candidate:mlp_1,1.2320852077857405,1.2320852077857405,0.0
0,R_rho0p1_D,RAC1P,validation_person_weighted,candidate:hist_gb_20,1.4878995237194064,1.4878995237194064,0.0
0,R_rho0p1_D,RAC1P,validation_person_weighted,candidate:hist_gb_5,1.475719705148474,1.475719705148474,0.0
0,R_rho0p1_D,RAC1P,validation_person_weighted,candidate:catchup,1.2362111300420533,1.2362111300420533,0.0
0,R_rho0p1_D,RAC1P,validation_person_weighted,candidate:saved_adversary,1.2554175903582159,1.2554175903582159,0.0
0,R_rho0p1_D,RAC1P,development_evaluation_person_weighted,primary,1.1897687831488657,1.1897687831488657,0.0
0,R_rho0p1_D,RAC1P,development_evaluation_person_weighted,pooled,1.1897687831488657,1.1897687831488657,0.0
0,R_rho0p1_D,RAC1P,development_evaluation_person_weighted,candidate:logistic,1.1905581349562822,1.1905581349562822,0.0
0,R_rho0p1_D,RAC1P,development_evaluation_person_weighted,candidate:mlp_0,1.1897687831488657,1.1897687831488657,0.0
0,R_rho0p1_D,RAC1P,development_evaluation_person_weighted,candidate:mlp_1,1.194049632604162,1.194049632604162,0.0
0,R_rho0p1_D,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_20,1.4023096667433679,1.4023096667433679,0.0
0,R_rho0p1_D,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_5,1.3892560620338317,1.3892560620338317,0.0
0,R_rho0p1_D,RAC1P,development_evaluation_person_weighted,candidate:catchup,1.2014347235959688,1.2014347235959688,0.0
0,R_rho0p1_D,RAC1P,development_evaluation_person_weighted,candidate:saved_adversary,1.2163818370605914,1.2163818370605914,0.0
0,R_rho0_C,SEX,validation,primary,0.6502939096400555,0.6502939096400555,0.0
0,R_rho0_C,SEX,validation,pooled,0.6502939096400555,0.6502939096400555,0.0
0,R_rho0_C,SEX,validation,candidate:logistic,0.6674273886340208,0.6674273886340208,0.0
0,R_rho0_C,SEX,validation,candidate:mlp_0,0.6515172537736541,0.6515172537736541,0.0
0,R_rho0_C,SEX,validation,candidate:mlp_1,0.6502939096400555,0.6502939096400555,0.0
0,R_rho0_C,SEX,validation,candidate:hist_gb_20,0.6711432939268905,0.6711432939268905,0.0
0,R_rho0_C,SEX,validation,candidate:hist_gb_5,0.6746335798373018,0.6746335798373018,0.0
0,R_rho0_C,SEX,validation,candidate:catchup,0.6688192519312368,0.6688192519312368,0.0
0,R_rho0_C,SEX,validation,candidate:saved_adversary,0.6995694782944166,0.6995694782944166,0.0
0,R_rho0_C,SEX,development_evaluation,primary,0.6614342722774925,0.6614342722774925,0.0
0,R_rho0_C,SEX,development_evaluation,pooled,0.6614342722774925,0.6614342722774925,0.0
0,R_rho0_C,SEX,development_evaluation,candidate:logistic,0.6726801902225459,0.6726801902225459,0.0
0,R_rho0_C,SEX,development_evaluation,candidate:mlp_0,0.658119452477057,0.658119452477057,0.0
0,R_rho0_C,SEX,development_evaluation,candidate:mlp_1,0.6614342722774925,0.6614342722774925,0.0
