seed,role,target,audit_budget,selector,split,reference_teacher,arm,comparison,E_rho0,E_rho0p1,reference_rho0,reference_rho0p1,E_reconstruction_delta,reference_reconstruction_delta,left_minus_right,signed_gain_interaction
0,transfer,civilian_at_work,,primary,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.0024968862012482718,-0.00035635419853286,0.0028532403997811318,
0,transfer,civilian_at_work,,primary,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.0024968862012482718,0.0034427932956728746,-0.0009459070944246029,
0,transfer,civilian_at_work,,primary,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.0018068971694912839,-4.9099572126953817e-05,0.0018559967416182377,
0,transfer,civilian_at_work,,primary,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.0018068971694912839,-0.002046576626122787,0.0038534737956140708,
0,transfer,civilian_at_work,,primary,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.005185225865752596,-0.0008980651794372463,0.0060832910451898425,
0,transfer,civilian_at_work,,primary,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.005185225865752596,0.003480799807817292,0.0017044260579353043,
0,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.0020560726074617675,-0.0011031563371160513,0.0031592289445778188,
0,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.0020560726074617675,-0.002210015224557771,0.004266087832019538,
0,transfer,public_coverage,,primary,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.002056898945519414,0.000587035256672086,0.0014698636888473282,
0,transfer,public_coverage,,primary,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.002056898945519414,-0.0020020042971411467,0.004058903242660561,
