seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,evidence_audit_budget,origin_metrics,origin_release,validation_auroc,validation_coverage_complete
0,transfer,R_rho0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,True,False,2048,"[665,1383]",True,0,0,0.6857582886209393,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,True,False,2048,"[665,1383]",True,5,40,0.40439394372762233,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,True,False,2048,"[665,1383]",True,10,80,0.30947368691685195,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,True,False,2048,"[665,1383]",True,15,120,0.3032507115070955,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,True,False,2048,"[665,1383]",True,20,160,0.3032459686866105,True,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,True,False,2048,"[665,1383]",True,25,200,0.30468974349724803,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,True,False,2048,"[665,1383]",True,30,240,0.30649440397256894,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,True,False,2048,"[665,1383]",True,35,280,0.30840880982679664,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,civilian_at_work,mlp,mlp,False,False,True,False,,True,False,2048,"[665,1383]",True,40,320,0.31113251766726396,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,0,0,0.6341282822741,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,5,40,0.5062403839576626,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,10,80,0.4941705243573393,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,15,120,0.491750767493134,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,20,160,0.49055542804645874,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,25,200,0.48998304450880154,True,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,30,240,0.4916045010280009,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,35,280,0.49410265423781635,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,R_rho0p1_W,public_coverage,mlp,mlp,True,True,True,True,,True,False,2048,"[1531,517]",True,40,320,0.49587855495086774,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,W,,
0,transfer,beta1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,True,False,2048,"[500,1548]",True,0,0,0.621882864584461,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_warmup_only,,
0,transfer,beta1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,True,False,2048,"[500,1548]",True,5,40,0.5184775284735988,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_warmup_only,,
0,transfer,beta1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,True,False,2048,"[500,1548]",True,10,80,0.5072015695880091,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_warmup_only,,
0,transfer,beta1_C_warmup_only,same_residence,mlp,mlp,True,True,True,True,,True,False,2048,"[500,1548]",True,15,120,0.5072335691496536,False,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_warmup_only,,
