release,role,target,audit_budget,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
R_rho0p1_C,audit,RAC1P,120,pooled,development_evaluation_person_weighted,log_loss,3,3,True,1.210146841149017,0.0366644726210249
R_rho0p1_C,audit,RAC1P,120,pooled,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.07709508086986012,0.0045459707673480895
R_rho0p1_C,audit,SEX,360,primary,validation,log_loss,3,3,True,0.6552574542600844,0.0073587042506089795
R_rho0p1_C,audit,SEX,360,primary,validation,signed_prior_relative_gain,3,3,True,0.03713016430673729,0.007696120929413594
R_rho0p1_C,audit,SEX,360,primary,development_evaluation,log_loss,3,3,True,0.6577056238889316,0.003022828021480325
R_rho0p1_C,audit,SEX,360,primary,development_evaluation,signed_prior_relative_gain,3,3,True,0.034981079867735056,0.0025069983437416756
R_rho0p1_C,audit,SEX,360,primary,validation_person_weighted,log_loss,3,3,True,0.6570707993881273,0.012894165901115837
R_rho0p1_C,audit,SEX,360,primary,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.03525421393372415,0.012897549393108134
R_rho0p1_C,audit,SEX,360,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.660913947814633,0.0011292870196661922
R_rho0p1_C,audit,SEX,360,primary,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.031199475005354877,0.0015995612814186763
R_rho0p1_C,audit,RAC1P,360,primary,validation,log_loss,3,3,True,1.2078725372168049,0.010051907566840584
R_rho0p1_C,audit,RAC1P,360,primary,validation,signed_prior_relative_gain,3,3,True,0.07562451610791772,0.015081065560194897
R_rho0p1_C,audit,RAC1P,360,primary,development_evaluation,log_loss,3,3,True,1.2094700530467146,0.018910040897338016
R_rho0p1_C,audit,RAC1P,360,primary,development_evaluation,signed_prior_relative_gain,3,3,True,0.08057259611735075,0.007407733281900256
R_rho0p1_C,audit,RAC1P,360,primary,validation_person_weighted,log_loss,3,3,True,1.2131941428213697,0.011020645833585375
R_rho0p1_C,audit,RAC1P,360,primary,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.0715105893018672,0.012374934601303508
R_rho0p1_C,audit,RAC1P,360,primary,development_evaluation_person_weighted,log_loss,3,3,True,1.210146841149017,0.0366644726210249
R_rho0p1_C,audit,RAC1P,360,primary,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.07709508086986012,0.0045459707673480895
R_rho0p1_C,audit,SEX,360,pooled,validation,log_loss,3,3,True,0.6552574542600844,0.0073587042506089795
R_rho0p1_C,audit,SEX,360,pooled,validation,signed_prior_relative_gain,3,3,True,0.03713016430673729,0.007696120929413594
R_rho0p1_C,audit,SEX,360,pooled,development_evaluation,log_loss,3,3,True,0.6577056238889316,0.003022828021480325
R_rho0p1_C,audit,SEX,360,pooled,development_evaluation,signed_prior_relative_gain,3,3,True,0.034981079867735056,0.0025069983437416756
R_rho0p1_C,audit,SEX,360,pooled,validation_person_weighted,log_loss,3,3,True,0.6570707993881273,0.012894165901115837
R_rho0p1_C,audit,SEX,360,pooled,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.03525421393372415,0.012897549393108134
R_rho0p1_C,audit,SEX,360,pooled,development_evaluation_person_weighted,log_loss,3,3,True,0.660913947814633,0.0011292870196661922
