seed,release,target,candidate,new_fitting,selected_epoch,last_epoch,last_minus_best_validation_loss
0,PCA16,RAC1P,mlp_0,False,15,360,0.3551860237963449
0,PCA16,RAC1P,mlp_1,False,20,360,0.36408479105058644
1,beta1_C_warmup_only,SEX,mlp_0,False,15,360,0.3432270254526042
1,beta1_C_warmup_only,SEX,mlp_1,False,20,360,0.3672078118226102
1,beta1_C_warmup_only,SEX,catchup,False,5,360,0.4634788006266075
1,beta1_C_warmup_only,RAC1P,mlp_0,False,35,360,0.2957582628796962
1,beta1_C_warmup_only,RAC1P,mlp_1,False,25,360,0.4615237490528379
1,beta1_C_warmup_only,RAC1P,catchup,False,5,360,0.4192276750428394
1,beta1_D_warmup_only,SEX,mlp_0,False,25,360,0.32294896170081866
1,beta1_D_warmup_only,SEX,mlp_1,False,15,360,0.2916021116185482
1,beta1_D_warmup_only,SEX,catchup,False,5,360,0.3925469044692369
1,beta1_D_warmup_only,RAC1P,mlp_0,False,50,360,0.2720195809762218
1,beta1_D_warmup_only,RAC1P,mlp_1,False,60,360,0.31688035259601377
1,beta1_D_warmup_only,RAC1P,catchup,False,5,360,0.33542246289438293
1,R_rho0p1_C,SEX,mlp_0,False,20,360,0.36363613177047893
1,R_rho0p1_C,SEX,mlp_1,False,15,360,0.34762845610046156
1,R_rho0p1_C,SEX,catchup,False,5,360,0.4162124124717008
1,R_rho0p1_C,RAC1P,mlp_0,False,20,360,0.31219714647755903
1,R_rho0p1_C,RAC1P,mlp_1,False,20,360,0.4021742902809651
1,R_rho0p1_C,RAC1P,catchup,False,5,360,0.3240980695777025
1,R_rho0p1_D,SEX,mlp_0,False,20,360,0.3662229963088307
1,R_rho0p1_D,SEX,mlp_1,False,15,360,0.38099651785812527
1,R_rho0p1_D,SEX,catchup,False,5,360,0.347238848230801
1,R_rho0p1_D,RAC1P,mlp_0,False,20,360,0.3139929711257945
1,R_rho0p1_D,RAC1P,mlp_1,False,20,360,0.428970237013907
1,R_rho0p1_D,RAC1P,catchup,False,5,360,0.26217657781381387
1,B_rich_bank,SEX,mlp_0,False,20,360,0.1127520034619579
1,B_rich_bank,SEX,mlp_1,False,20,360,0.10494980070344495
1,B_rich_bank,RAC1P,mlp_0,False,20,360,0.09462584749288538
1,B_rich_bank,RAC1P,mlp_1,False,25,360,0.09095008264469162
1,B_rich_bank_leace,SEX,mlp_0,False,15,120,0.039355733158307205
1,B_rich_bank_leace,SEX,mlp_1,False,15,120,0.04206247398082141
1,B_rich_bank_leace,RAC1P,mlp_0,False,35,120,0.01688276454669202
1,B_rich_bank_leace,RAC1P,mlp_1,False,70,120,0.008018397808525535
1,C_tree_bank,SEX,mlp_0,False,20,360,0.2439608572721348
1,C_tree_bank,SEX,mlp_1,False,10,360,0.29011704213562284
1,C_tree_bank,RAC1P,mlp_0,False,30,360,0.20425439878839136
1,C_tree_bank,RAC1P,mlp_1,False,25,360,0.2211003869708752
1,C_tree_bank_leace,SEX,mlp_0,False,10,120,0.06180626082996221
1,C_tree_bank_leace,SEX,mlp_1,False,10,120,0.09614714854964479
1,C_tree_bank_leace,RAC1P,mlp_0,False,50,120,0.046055812517649564
1,C_tree_bank_leace,RAC1P,mlp_1,False,40,120,0.03404062557606968
1,E_pca,SEX,mlp_0,False,10,120,0.2642749119220107
1,E_pca,SEX,mlp_1,False,10,120,0.24166865043339847
1,E_pca,RAC1P,mlp_0,False,15,120,0.24660817815113778
1,E_pca,RAC1P,mlp_1,False,15,120,0.20321675386151883
1,E_pca_leace,SEX,mlp_0,False,15,120,0.15302383329200597
1,E_pca_leace,SEX,mlp_1,False,15,120,0.14864960852155373
1,E_pca_leace,RAC1P,mlp_0,False,30,120,0.14842355969903176
1,E_pca_leace,RAC1P,mlp_1,False,25,120,0.1269241166639603
1,exposed,SEX,mlp_0,False,360,360,0.0
1,exposed,SEX,mlp_1,False,360,360,0.0
1,exposed,RAC1P,mlp_0,False,360,360,0.0
1,exposed,RAC1P,mlp_1,False,360,360,0.0
1,C_init,SEX,mlp_0,False,15,360,0.29067076916380663
1,C_init,SEX,mlp_1,False,15,360,0.26633629304559847
1,C_init,SEX,catchup,False,5,360,0.41802433243301773
1,C_init,RAC1P,mlp_0,False,35,360,0.27697691499025545
1,C_init,RAC1P,mlp_1,False,25,360,0.3172969898307676
1,C_init,RAC1P,catchup,False,5,360,0.5743853370615213
1,D_init,SEX,mlp_0,False,15,360,0.21256916221078748
1,D_init,SEX,mlp_1,False,20,360,0.24489231183775906
1,D_init,SEX,catchup,False,5,360,0.376999953253655
1,D_init,RAC1P,mlp_0,False,50,360,0.19288535852961863
1,D_init,RAC1P,mlp_1,False,40,360,0.24237748583761531
1,D_init,RAC1P,catchup,False,5,360,0.4775686686148679
1,C_bottleneck,SEX,mlp_0,False,30,120,0.05225745638532964
1,C_bottleneck,SEX,mlp_1,False,25,120,0.06656686400107403
1,C_bottleneck,SEX,catchup,False,15,120,0.10305400327055037
1,C_bottleneck,RAC1P,mlp_0,False,35,120,0.05112249916157019
1,C_bottleneck,RAC1P,mlp_1,False,40,120,0.04263579014677088
1,C_bottleneck,RAC1P,catchup,False,5,120,0.1325936175063791
1,D_protected,SEX,mlp_0,False,30,120,0.04400093841813335
1,D_protected,SEX,mlp_1,False,25,120,0.05402977795826047
1,D_protected,SEX,catchup,False,5,120,0.10690814712408825
1,D_protected,RAC1P,mlp_0,False,50,120,0.036549841488348944
1,D_protected,RAC1P,mlp_1,False,60,120,0.026901960259396507
1,D_protected,RAC1P,catchup,False,5,120,0.11495421316102061
1,PCA16,SEX,mlp_0,False,20,360,0.3284625109902536
1,PCA16,SEX,mlp_1,False,15,360,0.31318148139358903
1,PCA16,RAC1P,mlp_0,False,20,360,0.32189221971356097
1,PCA16,RAC1P,mlp_1,False,20,360,0.40754522417375494
2,beta1_C_warmup_only,SEX,mlp_0,False,20,360,0.3882558782183132
