comparison,left,right,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,primary,validation_person_weighted,3,3,True,0.024528216842213624,0.0066057039504674306,"{""0"":0.0313536293375809,""1"":0.024064346446571294,""2"":0.018166674742488675}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,primary,development_evaluation_person_weighted,3,3,True,0.02385578958778667,0.0017056284458602015,"{""0"":0.02314628662227247,""1"":0.022619433735455274,""2"":0.02580164840563226}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,120,pooled,validation,3,3,True,0.005269936701133848,0.0021210252886243847,"{""0"":0.004607681314698464,""1"":0.0035590527324511623,""2"":0.0076430760562519184}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,120,pooled,development_evaluation,3,3,True,0.0026536113108919976,0.00548283614942267,"{""0"":5.2058376316499455e-05,""1"":-0.0010441554083764348,""2"":0.008952930964735928}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,120,pooled,validation_person_weighted,3,3,True,0.007365851119384333,0.0016409891570530876,"{""0"":0.008713990712272301,""1"":0.0055386398996397634,""2"":0.007844922746240934}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,120,pooled,development_evaluation_person_weighted,3,3,True,0.0032630717371741427,0.003301198290372214,"{""0"":0.0011280022757278463,""1"":0.0015958269615282683,""2"":0.007065385974266314}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,pooled,validation,3,3,True,-0.004924275402225176,0.005942708723668464,"{""0"":-0.008649016940739829,""1"":0.0019291385774053982,""2"":-0.008052947843341096}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,pooled,development_evaluation,3,3,True,0.0010417262047373033,0.0012666191436869784,"{""0"":-0.0003943548669755881,""1"":0.0019997196979735232,""2"":0.0015198137832139746}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,pooled,validation_person_weighted,3,3,True,-0.0022694240594186934,0.0068667241831696525,"{""0"":-0.0010585839854282408,""1"":0.00391134045340058,""2"":-0.00966102864622842}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,120,pooled,development_evaluation_person_weighted,3,3,True,0.004670827428541635,0.0015473454038917218,"{""0"":0.0039353979864531485,""1"":0.003628352286224601,""2"":0.006448732012947156}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,primary,validation,3,3,True,0.01403937265386157,0.0056511208056313576,"{""0"":0.018355871853052763,""1"":0.01611917005228003,""2"":0.0076430760562519184}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,primary,development_evaluation,3,3,True,0.00903761543747091,0.00047267997679845114,"{""0"":0.009546913523490574,""1"":0.008613001824186228,""2"":0.008952930964735928}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,primary,validation_person_weighted,3,3,True,0.017220023554672115,0.009599843455254298,"{""0"":0.027029839862684923,""1"":0.016785308055090487,""2"":0.007844922746240934}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,primary,development_evaluation_person_weighted,3,3,True,0.00918821629914098,0.0028185923607209275,"{""0"":0.012386137126152774,""1"":0.00811312579700385,""2"":0.007065385974266314}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,primary,validation,3,3,True,0.025926167303966647,0.0032431896649991877,"{""0"":0.029567183422433585,""1"":0.02486429645839694,""2"":0.02334702203106942}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,primary,development_evaluation,3,3,True,0.021423167754512844,0.0022485915102212254,"{""0"":0.01962191258062873,""1"":0.023943293297228774,""2"":0.020704297385681025}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,primary,validation_person_weighted,3,3,True,0.024528216842213624,0.0066057039504674306,"{""0"":0.0313536293375809,""1"":0.024064346446571294,""2"":0.018166674742488675}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,primary,development_evaluation_person_weighted,3,3,True,0.02385578958778667,0.0017056284458602015,"{""0"":0.02314628662227247,""1"":0.022619433735455274,""2"":0.02580164840563226}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,pooled,validation,3,3,True,0.005269936701133848,0.0021210252886243847,"{""0"":0.004607681314698464,""1"":0.0035590527324511623,""2"":0.0076430760562519184}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,pooled,development_evaluation,3,3,True,0.0026536113108919976,0.00548283614942267,"{""0"":5.2058376316499455e-05,""1"":-0.0010441554083764348,""2"":0.008952930964735928}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,pooled,validation_person_weighted,3,3,True,0.007365851119384333,0.0016409891570530876,"{""0"":0.008713990712272301,""1"":0.0055386398996397634,""2"":0.007844922746240934}"
